"cty","Name","High_School_Graduation_Rate_rP_gP_p50"
"cty51103","Lancaster County, VA",0.9434
"cty46097","Miner County, SD",0.9434
"cty17053","Ford County, IL",0.9431
"cty48411","San Saba County, TX",0.9428
"cty49055","Wayne County, UT",0.9426
"cty54067","Nicholas County, WV",0.9422
"cty51021","Bland County, VA",0.9416
"cty35033","Mora County, NM",0.9413
"cty42047","Elk County, PA",0.9412
"cty20023","Cheyenne County, KS",0.9411
"cty24001","Allegany County, MD",0.9411
"cty47135","Perry County, TN",0.9402
"cty38023","Divide County, ND",0.9398
"cty46049","Faulk County, SD",0.9394
"cty37039","Cherokee County, NC",0.9389
"cty19009","Audubon County, IA",0.9389
"cty31167","Stanton County, NE",0.9387
"cty38061","Mountrail County, ND",0.9382
"cty31057","Dundy County, NE",0.9377
"cty24047","Worcester County, MD",0.9375
"cty20201","Washington County, KS",0.9374
"cty47095","Lake County, TN",0.9373
"cty55023","Crawford County, WI",0.9371
"cty19017","Bremer County, IA",0.936
"cty17061","Greene County, IL",0.936
"cty48191","Hall County, TX",0.9359
"cty30067","Park County, MT",0.9358
"cty16071","Oneida County, ID",0.9348
"cty56027","Niobrara County, WY",0.9346
"cty48319","Mason County, TX",0.9345
"cty49043","Summit County, UT",0.9341
"cty42021","Cambria County, PA",0.934
"cty17171","Scott County, IL",0.9337
"cty31099","Kearney County, NE",0.9336
"cty27149","Stevens County, MN",0.9334
"cty47027","Clay County, TN",0.9333
"cty51017","Bath County, VA",0.933
"cty48505","Zapata County, TX",0.933
"cty02150","Kodiak Island Borough, AK",0.9329
"cty54041","Lewis County, WV",0.9324
"cty27091","Martin County, MN",0.9324
"cty54007","Braxton County, WV",0.9324
"cty31089","Holt County, NE",0.9323
"cty51097","King and Queen County, VA",0.9323
"cty31121","Merrick County, NE",0.9322
"cty38097","Traill County, ND",0.9322
"cty54093","Tucker County, WV",0.932
"cty19119","Lyon County, IA",0.9318
"cty40005","Atoka County, OK",0.9317
"cty46079","Lake County, SD",0.9313
"cty19039","Clarke County, IA",0.9313
"cty38025","Dunn County, ND",0.9312
"cty17169","Schuyler County, IL",0.9311
"cty38069","Pierce County, ND",0.931
"cty02220","Sitka City and Borough, AK",0.9308
"cty29223","Wayne County, MO",0.9308
"cty46037","Day County, SD",0.9307
"cty47133","Overton County, TN",0.9307
"cty08107","Routt County, CO",0.9304
"cty16013","Blaine County, ID",0.9303
"cty49031","Piute County, UT",0.9303
"cty31179","Wayne County, NE",0.9303
"cty20181","Sherman County, KS",0.9302
"cty38031","Foster County, ND",0.9301
"cty20029","Cloud County, KS",0.93
"cty12041","Gilchrist County, FL",0.9298
"cty38003","Barnes County, ND",0.9296
"cty20147","Phillips County, KS",0.9295
"cty19075","Grundy County, IA",0.9295
"cty51570","Colonial Heights city, VA",0.9294
"cty17191","Wayne County, IL",0.9294
"cty27087","Mahnomen County, MN",0.9293
"cty16059","Lemhi County, ID",0.9293
"cty16065","Madison County, ID",0.9291
"cty20073","Greenwood County, KS",0.929
"cty48075","Childress County, TX",0.9288
"cty20135","Ness County, KS",0.9288
"cty48065","Carson County, TX",0.9288
"cty51105","Lee County, VA",0.9287
"cty22123","West Carroll Parish, LA",0.9286
"cty17133","Monroe County, IL",0.9286
"cty17153","Pulaski County, IL",0.9285
"cty51520","Bristol city, VA",0.9285
"cty24023","Garrett County, MD",0.9283
"cty20123","Mitchell County, KS",0.9283
"cty08017","Cheyenne County, CO",0.9283
"cty31173","Thurston County, NE",0.9282
"cty21165","Menifee County, KY",0.9281
"cty55007","Bayfield County, WI",0.928
"cty15001","Hawaii County, HI",0.928
"cty19019","Buchanan County, IA",0.9278
"cty36079","Putnam County, NY",0.9277
"cty48435","Sutton County, TX",0.9277
"cty20089","Jewell County, KS",0.9276
"cty54071","Pendleton County, WV",0.9276
"cty30059","Meagher County, MT",0.9275
"cty49029","Morgan County, UT",0.9273
"cty51063","Floyd County, VA",0.9273
"cty19055","Delaware County, IA",0.9272
"cty05137","Stone County, AR",0.9272
"cty19095","Iowa County, IA",0.927
"cty55091","Pepin County, WI",0.927
"cty55011","Buffalo County, WI",0.9269
"cty16041","Franklin County, ID",0.9269
"cty17025","Clay County, IL",0.9268
"cty40035","Craig County, OK",0.9267
"cty06041","Marin County, CA",0.9265
"cty46021","Campbell County, SD",0.9265
"cty54109","Wyoming County, WV",0.9265
"cty31183","Wheeler County, NE",0.9264
"cty17067","Hancock County, IL",0.9263
"cty54017","Doddridge County, WV",0.9263
"cty20011","Bourbon County, KS",0.9263
"cty48447","Throckmorton County, TX",0.9262
"cty51595","Emporia city, VA",0.9261
"cty20157","Republic County, KS",0.9261
"cty19079","Hamilton County, IA",0.9258
"cty38021","Dickey County, ND",0.9257
"cty08063","Kit Carson County, CO",0.9257
"cty55047","Green Lake County, WI",0.9254
"cty51185","Tazewell County, VA",0.9254
"cty34003","Bergen County, NJ",0.9252
"cty51045","Craig County, VA",0.9252
"cty15003","Honolulu County, HI",0.925
"cty20049","Elk County, KS",0.9245
"cty51530","Buena Vista city, VA",0.9244
"cty38049","McHenry County, ND",0.9243
"cty05073","Lafayette County, AR",0.9243
"cty54075","Pocahontas County, WV",0.924
"cty51035","Carroll County, VA",0.924
"cty53013","Columbia County, WA",0.924
"cty37041","Chowan County, NC",0.9238
"cty20085","Jackson County, KS",0.9237
"cty56011","Crook County, WY",0.9235
"cty29033","Carroll County, MO",0.9233
"cty40023","Choctaw County, OK",0.9232
"cty37103","Jones County, NC",0.9232
"cty55073","Marathon County, WI",0.9231
"cty31095","Jefferson County, NE",0.923
"cty48405","San Augustine County, TX",0.9229
"cty08021","Conejos County, CO",0.9228
"cty27125","Red Lake County, MN",0.9227
"cty51173","Smyth County, VA",0.9227
"cty24027","Howard County, MD",0.9226
"cty19037","Chickasaw County, IA",0.9224
"cty31097","Johnson County, NE",0.9224
"cty42051","Fayette County, PA",0.9223
"cty17189","Washington County, IL",0.9223
"cty20101","Lane County, KS",0.9223
"cty55093","Pierce County, WI",0.9221
"cty20131","Nemaha County, KS",0.9221
"cty17005","Bond County, IL",0.922
"cty47109","McNairy County, TN",0.922
"cty41063","Wallowa County, OR",0.9219
"cty30053","Lincoln County, MT",0.9219
"cty31017","Brown County, NE",0.9219
"cty05019","Clark County, AR",0.9219
"cty17009","Brown County, IL",0.9218
"cty19029","Cass County, IA",0.9217
"cty20051","Ellis County, KS",0.9217
"cty19043","Clayton County, IA",0.9217
"cty29039","Cedar County, MO",0.9216
"cty40057","Harmon County, OK",0.9214
"cty30083","Richland County, MT",0.9213
"cty35053","Socorro County, NM",0.9212
"cty48107","Crosby County, TX",0.9211
"cty37173","Swain County, NC",0.921
"cty34019","Hunterdon County, NJ",0.921
"cty15009","Maui County, HI",0.9209
"cty39067","Harrison County, OH",0.9208
"cty19185","Wayne County, IA",0.9208
"cty42057","Fulton County, PA",0.9208
"cty51157","Rappahannock County, VA",0.9207
"cty38037","Grant County, ND",0.9205
"cty54015","Clay County, WV",0.9205
"cty38013","Burke County, ND",0.9205
"cty19083","Hardin County, IA",0.9204
"cty36033","Franklin County, NY",0.9203
"cty17033","Crawford County, IL",0.9203
"cty05011","Bradley County, AR",0.9202
"cty31129","Nuckolls County, NE",0.9201
"cty48047","Brooks County, TX",0.9201
"cty16057","Latah County, ID",0.92
"cty17049","Effingham County, IL",0.9198
"cty36059","Nassau County, NY",0.9197
"cty39013","Belmont County, OH",0.9197
"cty19089","Howard County, IA",0.9197
"cty51027","Buchanan County, VA",0.9197
"cty37121","Mitchell County, NC",0.9196
"cty38077","Richland County, ND",0.9196
"cty27033","Cottonwood County, MN",0.9196
"cty47175","Van Buren County, TN",0.919
"cty29171","Putnam County, MO",0.919
"cty37187","Washington County, NC",0.9188
"cty55121","Trempealeau County, WI",0.9188
"cty20003","Anderson County, KS",0.9186
"cty27071","Koochiching County, MN",0.9184
"cty27015","Brown County, MN",0.9184
"cty30009","Carbon County, MT",0.9181
"cty54051","Marshall County, WV",0.9179
"cty20063","Gove County, KS",0.9178
"cty51610","Falls Church city, VA",0.9178
"cty55078","Menominee County, WI",0.9176
"cty20161","Riley County, KS",0.9176
"cty54077","Preston County, WV",0.9176
"cty51155","Pulaski County, VA",0.9176
"cty16047","Gooding County, ID",0.9175
"cty25021","Norfolk County, MA",0.9174
"cty27173","Yellow Medicine County, MN",0.9174
"cty38093","Stutsman County, ND",0.9174
"cty55099","Price County, WI",0.9174
"cty19023","Butler County, IA",0.9173
"cty19121","Madison County, IA",0.9172
"cty42079","Luzerne County, PA",0.9172
"cty26083","Keweenaw County, MI",0.9171
"cty44001","Bristol County, RI",0.9171
"cty48359","Oldham County, TX",0.917
"cty53023","Garfield County, WA",0.9169
"cty50003","Bennington County, VT",0.9168
"cty19135","Monroe County, IA",0.9166
"cty29211","Sullivan County, MO",0.9166
"cty19191","Winneshiek County, IA",0.9164
"cty20017","Chase County, KS",0.9164
"cty48127","Dimmit County, TX",0.9164
"cty54069","Ohio County, WV",0.9164
"cty17015","Carroll County, IL",0.9164
"cty17109","McDonough County, IL",0.9163
"cty21143","Lyon County, KY",0.9163
"cty49001","Beaver County, UT",0.9162
"cty29179","Reynolds County, MO",0.9161
"cty19149","Plymouth County, IA",0.9159
"cty27055","Houston County, MN",0.9159
"cty51135","Nottoway County, VA",0.9159
"cty20065","Graham County, KS",0.9158
"cty54085","Ritchie County, WV",0.9157
"cty51630","Fredericksburg city, VA",0.9157
"cty51029","Buckingham County, VA",0.9157
"cty55049","Iowa County, WI",0.9154
"cty51019","Bedford County, VA",0.9153
"cty19195","Worth County, IA",0.9153
"cty17105","Livingston County, IL",0.9152
"cty06011","Colusa County, CA",0.9152
"cty48239","Jackson County, TX",0.9151
"cty39121","Noble County, OH",0.9151
"cty21155","Marion County, KY",0.9151
"cty31147","Richardson County, NE",0.915
"cty51083","Halifax County, VA",0.9149
"cty17159","Richland County, IL",0.9148
"cty42059","Greene County, PA",0.9148
"cty21131","Leslie County, KY",0.9147
"cty24039","Somerset County, MD",0.9146
"cty17027","Clinton County, IL",0.9146
"cty51071","Giles County, VA",0.9146
"cty16043","Fremont County, ID",0.9145
"cty06075","San Francisco County, CA",0.9143
"cty53031","Jefferson County, WA",0.9143
"cty51830","Williamsburg city, VA",0.9143
"cty21087","Green County, KY",0.9143
"cty17085","Jo Daviess County, IL",0.9142
"cty05117","Prairie County, AR",0.914
"cty19087","Henry County, IA",0.914
"cty05109","Pike County, AR",0.914
"cty27127","Redwood County, MN",0.914
"cty20117","Marshall County, KS",0.9139
"cty29041","Chariton County, MO",0.9139
"cty34027","Morris County, NJ",0.9138
"cty05021","Clay County, AR",0.9138
"cty42013","Blair County, PA",0.9137
"cty27103","Nicollet County, MN",0.9137
"cty17145","Perry County, IL",0.9136
"cty46067","Hutchinson County, SD",0.9136
"cty48033","Borden County, TX",0.9136
"cty42003","Allegheny County, PA",0.9135
"cty20193","Thomas County, KS",0.9135
"cty50011","Franklin County, VT",0.9134
"cty45027","Clarendon County, SC",0.9134
"cty21055","Crittenden County, KY",0.9134
"cty19187","Webster County, IA",0.9134
"cty31159","Seward County, NE",0.9133
"cty09005","Litchfield County, CT",0.9133
"cty13209","Montgomery County, GA",0.9132
"cty42063","Indiana County, PA",0.9132
"cty51161","Roanoke County, VA",0.9131
"cty20105","Lincoln County, KS",0.913
"cty31133","Pawnee County, NE",0.913
"cty48017","Bailey County, TX",0.9129
"cty19117","Lucas County, IA",0.9129
"cty42007","Beaver County, PA",0.9129
"cty54033","Harrison County, WV",0.9129
"cty35006","Cibola County, NM",0.9128
"cty21091","Hancock County, KY",0.9128
"cty29197","Schuyler County, MO",0.9128
"cty32021","Mineral County, NV",0.9127
"cty55003","Ashland County, WI",0.9126
"cty38047","Logan County, ND",0.9126
"cty17149","Pike County, IL",0.9125
"cty21181","Nicholas County, KY",0.9125
"cty46087","McCook County, SD",0.9125
"cty51197","Wythe County, VA",0.9124
"cty13315","Wilcox County, GA",0.9124
"cty37113","Macon County, NC",0.9123
"cty31127","Nemaha County, NE",0.9123
"cty24029","Kent County, MD",0.9123
"cty19005","Allamakee County, IA",0.9122
"cty48119","Delta County, TX",0.9122
"cty05141","Van Buren County, AR",0.9121
"cty38081","Sargent County, ND",0.9121
"cty55097","Portage County, WI",0.9121
"cty23007","Franklin County, ME",0.912
"cty54057","Mineral County, WV",0.912
"cty05023","Cleburne County, AR",0.9119
"cty21171","Monroe County, KY",0.9119
"cty06091","Sierra County, CA",0.9118
"cty55051","Iron County, WI",0.9118
"cty23021","Piscataquis County, ME",0.9117
"cty26063","Huron County, MI",0.9117
"cty39081","Jefferson County, OH",0.9117
"cty47029","Cocke County, TN",0.9117
"cty19197","Wright County, IA",0.9116
"cty53043","Lincoln County, WA",0.9115
"cty46083","Lincoln County, SD",0.9115
"cty27143","Sibley County, MN",0.9115
"cty48501","Yoakum County, TX",0.9114
"cty37011","Avery County, NC",0.9113
"cty27165","Watonwan County, MN",0.9113
"cty29001","Adair County, MO",0.9113
"cty27051","Grant County, MN",0.9112
"cty19063","Emmet County, IA",0.9111
"cty38015","Burleigh County, ND",0.911
"cty19165","Shelby County, IA",0.911
"cty05005","Baxter County, AR",0.911
"cty48031","Blanco County, TX",0.9109
"cty16073","Owyhee County, ID",0.9109
"cty22107","Tensas Parish, LA",0.9109
"cty47181","Wayne County, TN",0.9109
"cty55035","Eau Claire County, WI",0.9108
"cty17023","Clark County, IL",0.9108
"cty06063","Plumas County, CA",0.9108
"cty31027","Cedar County, NE",0.9107
"cty37055","Dare County, NC",0.9107
"cty20109","Logan County, KS",0.9106
"cty31033","Cheyenne County, NE",0.9105
"cty48243","Jeff Davis County, TX",0.9105
"cty55063","La Crosse County, WI",0.9104
"cty29015","Benton County, MO",0.9104
"cty49051","Wasatch County, UT",0.9104
"cty46013","Brown County, SD",0.9103
"cty20103","Leavenworth County, KS",0.9102
"cty31093","Howard County, NE",0.9102
"cty46073","Jerauld County, SD",0.9102
"cty19091","Humboldt County, IA",0.9102
"cty42005","Armstrong County, PA",0.9102
"cty05017","Chicot County, AR",0.9101
"cty31015","Boyd County, NE",0.9101
"cty41037","Lake County, OR",0.9101
"cty31063","Frontier County, NE",0.91
"cty42069","Lackawanna County, PA",0.9099
"cty05053","Grant County, AR",0.9098
"cty46111","Sanborn County, SD",0.9098
"cty46115","Spink County, SD",0.9097
"cty51181","Surry County, VA",0.9096
"cty55109","St. Croix County, WI",0.9096
"cty19065","Fayette County, IA",0.9096
"cty46135","Yankton County, SD",0.9096
"cty19169","Story County, IA",0.9096
"cty48101","Cottle County, TX",0.9096
"cty51720","Norton city, VA",0.9095
"cty17035","Cumberland County, IL",0.9094
"cty37079","Greene County, NC",0.9094
"cty17059","Gallatin County, IL",0.9093
"cty27083","Lyon County, MN",0.9093
"cty54081","Raleigh County, WV",0.9093
"cty34025","Monmouth County, NJ",0.9092
"cty16081","Teton County, ID",0.9092
"cty19061","Dubuque County, IA",0.9092
"cty42129","Westmoreland County, PA",0.9092
"cty42033","Clearfield County, PA",0.9092
"cty19125","Marion County, IA",0.9092
"cty39175","Wyandot County, OH",0.909
"cty54083","Randolph County, WV",0.909
"cty38055","McLean County, ND",0.9088
"cty19159","Ringgold County, IA",0.9088
"cty31071","Garfield County, NE",0.9087
"cty27151","Swift County, MN",0.9086
"cty08097","Pitkin County, CO",0.9085
"cty38101","Ward County, ND",0.9084
"cty02110","Juneau City and Borough, AK",0.9084
"cty42125","Washington County, PA",0.9084
"cty08089","Otero County, CO",0.9084
"cty21059","Daviess County, KY",0.9084
"cty12045","Gulf County, FL",0.9083
"cty19047","Crawford County, IA",0.9083
"cty55107","Rusk County, WI",0.9083
"cty29053","Cooper County, MO",0.9082
"cty19157","Poweshiek County, IA",0.9081
"cty36029","Erie County, NY",0.908
"cty42045","Delaware County, PA",0.9079
"cty42017","Bucks County, PA",0.9079
"cty38095","Towner County, ND",0.9079
"cty31031","Cherry County, NE",0.9079
"cty23003","Aroostook County, ME",0.9078
"cty37005","Alleghany County, NC",0.9078
"cty46033","Custer County, SD",0.9077
"cty26109","Menominee County, MI",0.9076
"cty51169","Scott County, VA",0.9074
"cty31175","Valley County, NE",0.9074
"cty20127","Morris County, KS",0.9074
"cty06105","Trinity County, CA",0.9073
"cty34023","Middlesex County, NJ",0.9071
"cty20137","Norton County, KS",0.9071
"cty20031","Coffey County, KS",0.9069
"cty30001","Beaverhead County, MT",0.9069
"cty06017","El Dorado County, CA",0.9068
"cty27097","Morrison County, MN",0.9068
"cty19025","Calhoun County, IA",0.9068
"cty19167","Sioux County, IA",0.9067
"cty05083","Logan County, AR",0.9067
"cty29153","Ozark County, MO",0.9067
"cty05049","Fulton County, AR",0.9066
"cty05009","Boone County, AR",0.9065
"cty42019","Butler County, PA",0.9065
"cty38035","Grand Forks County, ND",0.9064
"cty06005","Amador County, CA",0.9064
"cty20185","Stafford County, KS",0.9064
"cty40065","Jackson County, OK",0.9063
"cty55119","Taylor County, WI",0.9063
"cty38089","Stark County, ND",0.9062
"cty51051","Dickenson County, VA",0.9062
"cty51121","Montgomery County, VA",0.906
"cty42025","Carbon County, PA",0.906
"cty46091","Marshall County, SD",0.906
"cty48223","Hopkins County, TX",0.906
"cty05129","Searcy County, AR",0.9059
"cty13267","Tattnall County, GA",0.9059
"cty27121","Pope County, MN",0.9059
"cty38017","Cass County, ND",0.9058
"cty48171","Gillespie County, TX",0.9057
"cty23029","Washington County, ME",0.9056
"cty51089","Henry County, VA",0.9055
"cty17043","DuPage County, IL",0.9054
"cty54001","Barbour County, WV",0.9054
"cty42107","Schuylkill County, PA",0.9054
"cty16007","Bear Lake County, ID",0.9054
"cty28009","Benton County, MS",0.9054
"cty05099","Nevada County, AR",0.9053
"cty19057","Des Moines County, IA",0.9053
"cty46125","Turner County, SD",0.9052
"cty26047","Emmet County, MI",0.9051
"cty17001","Adams County, IL",0.9051
"cty54101","Webster County, WV",0.9051
"cty12067","Lafayette County, FL",0.9051
"cty27119","Polk County, MN",0.905
"cty31007","Banner County, NE",0.905
"cty55131","Washington County, WI",0.905
"cty27017","Carlton County, MN",0.9049
"cty19161","Sac County, IA",0.9049
"cty19051","Davis County, IA",0.9049
"cty42061","Huntingdon County, PA",0.9049
"cty36085","Richmond County, NY",0.9049
"cty21207","Russell County, KY",0.9048
"cty01129","Washington County, AL",0.9047
"cty37087","Haywood County, NC",0.9047
"cty46057","Hamlin County, SD",0.9047
"cty51077","Grayson County, VA",0.9046
"cty19077","Guthrie County, IA",0.9045
"cty27089","Marshall County, MN",0.9044
"cty25001","Barnstable County, MA",0.9043
"cty12059","Holmes County, FL",0.9043
"cty27159","Wadena County, MN",0.9043
"cty20191","Sumner County, KS",0.9042
"cty46005","Beadle County, SD",0.9042
"cty54055","Mercer County, WV",0.904
"cty46081","Lawrence County, SD",0.904
"cty48357","Ochiltree County, TX",0.9039
"cty19001","Adair County, IA",0.9038
"cty51750","Radford city, VA",0.9038
"cty25017","Middlesex County, MA",0.9037
"cty24031","Montgomery County, MD",0.9037
"cty47087","Jackson County, TN",0.9037
"cty39073","Hocking County, OH",0.9037
"cty19097","Jackson County, IA",0.9037
"cty05045","Faulkner County, AR",0.9036
"cty17147","Piatt County, IL",0.9036
"cty20005","Atchison County, KS",0.9036
"cty05047","Franklin County, AR",0.9035
"cty40141","Tillman County, OK",0.9034
"cty53051","Pend Oreille County, WA",0.9034
"cty27129","Renville County, MN",0.9033
"cty20149","Pottawatomie County, KS",0.9033
"cty29025","Caldwell County, MO",0.9032
"cty46137","Ziebach County, SD",0.9031
"cty31151","Saline County, NE",0.903
"cty05065","Izard County, AR",0.903
"cty55089","Ozaukee County, WI",0.903
"cty05107","Phillips County, AR",0.9029
"cty17155","Putnam County, IL",0.9029
"cty21001","Adair County, KY",0.9029
"cty47057","Grainger County, TN",0.9029
"cty19041","Clay County, IA",0.9029
"cty42083","McKean County, PA",0.9028
"cty51037","Charlotte County, VA",0.9028
"cty21019","Boyd County, KY",0.9028
"cty06027","Inyo County, CA",0.9027
"cty19131","Mitchell County, IA",0.9027
"cty44003","Kent County, RI",0.9027
"cty39167","Washington County, OH",0.9027
"cty17077","Jackson County, IL",0.9026
"cty47107","McMinn County, TN",0.9026
"cty47033","Crockett County, TN",0.9026
"cty51111","Lunenburg County, VA",0.9026
"cty42111","Somerset County, PA",0.9025
"cty55115","Shawano County, WI",0.9024
"cty19177","Van Buren County, IA",0.9023
"cty51057","Essex County, VA",0.9023
"cty48307","McCulloch County, TX",0.9023
"cty02195","Petersburg Borough, AK",0.9022
"cty40103","Noble County, OK",0.9021
"cty53055","San Juan County, WA",0.9021
"cty47159","Smith County, TN",0.9021
"cty31081","Hamilton County, NE",0.9021
"cty55037","Florence County, WI",0.902
"cty47039","Decatur County, TN",0.902
"cty49005","Cache County, UT",0.9019
"cty20001","Allen County, KS",0.9019
"cty28143","Tunica County, MS",0.9019
"cty27117","Pipestone County, MN",0.9019
"cty17073","Henry County, IL",0.9019
"cty09013","Tolland County, CT",0.9019
"cty42127","Wayne County, PA",0.9018
"cty18147","Spencer County, IN",0.9018
"cty55033","Dunn County, WI",0.9018
"cty27019","Carver County, MN",0.9017
"cty18129","Posey County, IN",0.9017
"cty51191","Washington County, VA",0.9017
"cty02050","Bethel Census Area, AK",0.9016
"cty51195","Wise County, VA",0.9016
"cty48283","La Salle County, TX",0.9016
"cty47079","Henry County, TN",0.9016
"cty31067","Gage County, NE",0.9015
"cty17129","Menard County, IL",0.9015
"cty51095","James City County, VA",0.9015
"cty26041","Delta County, MI",0.9013
"cty36063","Niagara County, NY",0.9013
"cty36001","Albany County, NY",0.9013
"cty36043","Herkimer County, NY",0.9013
"cty20153","Rawlins County, KS",0.9012
"cty24013","Carroll County, MD",0.9011
"cty05105","Perry County, AR",0.9011
"cty44005","Newport County, RI",0.9011
"cty54049","Marion County, WV",0.901
"cty27069","Kittson County, MN",0.901
"cty05001","Arkansas County, AR",0.901
"cty40099","Murray County, OK",0.9009
"cty36103","Suffolk County, NY",0.9009
"cty48399","Runnels County, TX",0.9009
"cty31003","Antelope County, NE",0.9009
"cty55055","Jefferson County, WI",0.9009
"cty51049","Cumberland County, VA",0.9009
"cty30049","Lewis and Clark County, MT",0.9008
"cty47069","Hardeman County, TN",0.9008
"cty39011","Auglaize County, OH",0.9008
"cty53039","Klickitat County, WA",0.9008
"cty19105","Jones County, IA",0.9008
"cty26097","Mackinac County, MI",0.9007
"cty24035","Queen Anne's County, MD",0.9006
"cty41025","Harney County, OR",0.9006
"cty31153","Sarpy County, NE",0.9004
"cty26053","Gogebic County, MI",0.9004
"cty47063","Hamblen County, TN",0.9004
"cty05043","Drew County, AR",0.9004
"cty55043","Grant County, WI",0.9004
"cty20167","Russell County, KS",0.9004
"cty02122","Kenai Peninsula Borough, AK",0.9003
"cty19111","Lee County, IA",0.9003
"cty29151","Osage County, MO",0.9002
"cty19171","Tama County, IA",0.9001
"cty12013","Calhoun County, FL",0.9001
"cty51059","Fairfax County, VA",0.9
"cty26103","Marquette County, MI",0.8999
"cty17185","Wabash County, IL",0.8999
"cty42091","Montgomery County, PA",0.8998
"cty08035","Douglas County, CO",0.8998
"cty51167","Russell County, VA",0.8998
"cty54005","Boone County, WV",0.8997
"cty38019","Cavalier County, ND",0.8997
"cty51079","Greene County, VA",0.8997
"cty16069","Nez Perce County, ID",0.8996
"cty19107","Keokuk County, IA",0.8996
"cty21035","Calloway County, KY",0.8996
"cty21183","Ohio County, KY",0.8996
"cty51183","Sussex County, VA",0.8996
"cty19137","Montgomery County, IA",0.8995
"cty47161","Stewart County, TN",0.8994
"cty36093","Schenectady County, NY",0.8993
"cty21217","Taylor County, KY",0.8993
"cty26131","Ontonagon County, MI",0.8993
"cty41003","Benton County, OR",0.8991
"cty21127","Lawrence County, KY",0.8991
"cty21011","Bath County, KY",0.8991
"cty51031","Campbell County, VA",0.899
"cty31013","Box Butte County, NE",0.899
"cty46129","Walworth County, SD",0.8989
"cty40043","Dewey County, OK",0.8989
"cty54035","Jackson County, WV",0.8989
"cty27105","Nobles County, MN",0.8989
"cty19027","Carroll County, IA",0.8988
"cty25003","Berkshire County, MA",0.8988
"cty39059","Guernsey County, OH",0.8988
"cty19101","Jefferson County, IA",0.8988
"cty21115","Johnson County, KY",0.8988
"cty49021","Iron County, UT",0.8987
"cty38009","Bottineau County, ND",0.8987
"cty42131","Wyoming County, PA",0.8986
"cty36003","Allegany County, NY",0.8986
"cty31139","Pierce County, NE",0.8986
"cty05015","Carroll County, AR",0.8985
"cty31011","Boone County, NE",0.8984
"cty47141","Putnam County, TN",0.8984
"cty19123","Mahaska County, IA",0.8984
"cty32001","Churchill County, NV",0.8983
"cty55141","Wood County, WI",0.8983
"cty17157","Randolph County, IL",0.8983
"cty24041","Talbot County, MD",0.8983
"cty31019","Buffalo County, NE",0.8983
"cty26161","Washtenaw County, MI",0.8982
"cty48083","Coleman County, TX",0.8982
"cty39087","Lawrence County, OH",0.8982
"cty05135","Sharp County, AR",0.8981
"cty47023","Chester County, TN",0.8981
"cty29227","Worth County, MO",0.898
"cty30093","Silver Bow County, MT",0.8979
"cty21231","Wayne County, KY",0.8979
"cty46039","Deuel County, SD",0.8979
"cty27169","Winona County, MN",0.8979
"cty34005","Burlington County, NJ",0.8978
"cty21109","Jackson County, KY",0.8978
"cty06061","Placer County, CA",0.8977
"cty27031","Cook County, MN",0.8977
"cty17117","Macoupin County, IL",0.8977
"cty19067","Floyd County, IA",0.8976
"cty21199","Pulaski County, KY",0.8976
"cty19175","Union County, IA",0.8976
