"cty","Name","High_School_Graduation_Rate_rP_gP_p50"
"cty46063","Harding County, SD",1
"cty38033","Golden Valley County, ND",1
"cty31113","Logan County, NE",1
"cty02068","Denali Borough, AK",1
"cty30075","Powder River County, MT",1
"cty48433","Stonewall County, TX",0.9964
"cty31069","Garden County, NE",0.9935
"cty06051","Mono County, CA",0.9905
"cty30055","McCone County, MT",0.9851
"cty48417","Shackelford County, TX",0.9823
"cty20083","Hodgeman County, KS",0.9788
"cty40025","Cimarron County, OK",0.978
"cty06003","Alpine County, CA",0.9744
"cty48095","Concho County, TX",0.9735
"cty31149","Rock County, NE",0.9715
"cty38043","Kidder County, ND",0.9698
"cty41055","Sherman County, OR",0.9686
"cty46007","Bennett County, SD",0.9684
"cty35011","De Baca County, NM",0.968
"cty46055","Haakon County, SD",0.9678
"cty40055","Greer County, OK",0.9662
"cty08023","Costilla County, CO",0.9661
"cty30045","Judith Basin County, MT",0.9658
"cty27155","Traverse County, MN",0.9643
"cty54105","Wirt County, WV",0.9618
"cty19143","Osceola County, IA",0.9608
"cty02275","Wrangell City and Borough, AK",0.9605
"cty08117","Summit County, CO",0.9601
"cty31125","Nance County, NE",0.9594
"cty16033","Clark County, ID",0.9593
"cty17069","Hardin County, IL",0.9582
"cty17079","Jasper County, IL",0.957
"cty20033","Comanche County, KS",0.9568
"cty17065","Hamilton County, IL",0.9535
"cty31061","Franklin County, NE",0.9527
"cty31059","Fillmore County, NE",0.9522
"cty38007","Billings County, ND",0.9521
"cty53069","Wahkiakum County, WA",0.9508
"cty51113","Madison County, VA",0.9507
"cty20039","Decatur County, KS",0.9507
"cty46119","Sully County, SD",0.9506
"cty49017","Garfield County, UT",0.9503
"cty51133","Northumberland County, VA",0.9499
"cty02105","Hoonah-Angoon Census Area, AK",0.9499
"cty30097","Sweet Grass County, MT",0.9497
"cty51127","New Kent County, VA",0.9491
"cty48327","Menard County, TX",0.9486
"cty47137","Pickett County, TN",0.9485
"cty25019","Nantucket County, MA",0.9458
"cty54009","Brooke County, WV",0.9455
"cty31085","Hayes County, NE",0.9451
"cty21135","Lewis County, KY",0.9443
"cty20013","Brown County, KS",0.9434
