"cty","Name","High_School_Graduation_Rate_rP_gP_p25"
"cty49031","Piute County, UT",1
"cty38023","Divide County, ND",1
"cty25019","Nantucket County, MA",1
"cty02068","Denali Borough, AK",1
"cty06051","Mono County, CA",1
"cty32017","Lincoln County, NV",1
"cty31113","Logan County, NE",0.9975
"cty48033","Borden County, TX",0.9871
"cty30095","Stillwater County, MT",0.9829
"cty02016","Aleutians West Census Area, AK",0.982
"cty20033","Comanche County, KS",0.9759
"cty30055","McCone County, MT",0.9746
"cty02195","Petersburg Borough, AK",0.9733
"cty48433","Stonewall County, TX",0.9722
"cty38011","Bowman County, ND",0.9716
"cty38061","Mountrail County, ND",0.9661
"cty46055","Haakon County, SD",0.9588
"cty31125","Nance County, NE",0.9588
"cty49029","Morgan County, UT",0.9573
"cty31071","Garfield County, NE",0.9565
"cty08097","Pitkin County, CO",0.9537
"cty48065","Carson County, TX",0.9523
"cty20123","Mitchell County, KS",0.9522
"cty20031","Coffey County, KS",0.9517
"cty51103","Lancaster County, VA",0.9514
"cty46039","Deuel County, SD",0.9506
"cty31129","Nuckolls County, NE",0.9484
"cty38097","Traill County, ND",0.9472
"cty31069","Garden County, NE",0.9471
"cty31139","Pierce County, NE",0.9471
"cty20187","Stanton County, KS",0.9468
"cty08063","Kit Carson County, CO",0.9399
"cty51157","Rappahannock County, VA",0.9394
"cty46049","Faulk County, SD",0.9391
"cty19017","Bremer County, IA",0.9387
"cty20017","Chase County, KS",0.9354
"cty38021","Dickey County, ND",0.9352
"cty48095","Concho County, TX",0.9342
"cty30059","Meagher County, MT",0.9341
"cty17079","Jasper County, IL",0.9335
"cty48393","Roberts County, TX",0.9334
"cty08009","Baca County, CO",0.9333
"cty38037","Grant County, ND",0.933
"cty20065","Graham County, KS",0.9329
"cty46043","Douglas County, SD",0.9326
"cty19091","Humboldt County, IA",0.9325
"cty30075","Powder River County, MT",0.932
"cty51127","New Kent County, VA",0.9316
"cty31013","Box Butte County, NE",0.9298
"cty20195","Trego County, KS",0.929
"cty41055","Sherman County, OR",0.9286
"cty51720","Norton city, VA",0.9286
"cty20083","Hodgeman County, KS",0.9284
"cty53069","Wahkiakum County, WA",0.9279
"cty38047","Logan County, ND",0.9278
"cty38029","Emmons County, ND",0.9277
"cty38081","Sargent County, ND",0.9271
"cty19055","Delaware County, IA",0.9267
"cty19101","Jefferson County, IA",0.9267
"cty27155","Traverse County, MN",0.9262
"cty31183","Wheeler County, NE",0.9256
"cty46003","Aurora County, SD",0.9254
"cty16071","Oneida County, ID",0.9254
"cty20089","Jewell County, KS",0.9253
"cty46073","Jerauld County, SD",0.9227
"cty08061","Kiowa County, CO",0.9226
"cty46079","Lake County, SD",0.9222
"cty30097","Sweet Grass County, MT",0.9217
"cty55093","Pierce County, WI",0.9216
"cty19075","Grundy County, IA",0.9216
"cty20147","Phillips County, KS",0.9207
"cty31127","Nemaha County, NE",0.9206
"cty46071","Jackson County, SD",0.9204
"cty08117","Summit County, CO",0.9203
"cty31095","Jefferson County, NE",0.9179
"cty19095","Iowa County, IA",0.9178
"cty17171","Scott County, IL",0.9177
"cty46089","McPherson County, SD",0.9168
"cty17009","Brown County, IL",0.9161
"cty38049","McHenry County, ND",0.9157
"cty38069","Pierce County, ND",0.915
"cty31029","Chase County, NE",0.9148
"cty46125","Turner County, SD",0.9138
"cty42053","Forest County, PA",0.9128
"cty19005","Allamakee County, IA",0.9126
"cty31179","Wayne County, NE",0.9119
"cty20039","Decatur County, KS",0.9118
"cty20185","Stafford County, KS",0.9115
"cty31073","Gosper County, NE",0.9114
"cty38003","Barnes County, ND",0.9108
"cty19009","Audubon County, IA",0.9103
"cty51097","King and Queen County, VA",0.9102
"cty17085","Jo Daviess County, IL",0.9101
"cty55047","Green Lake County, WI",0.9101
"cty36041","Hamilton County, NY",0.9099
"cty17065","Hamilton County, IL",0.9098
"cty31099","Kearney County, NE",0.9084
"cty27149","Stevens County, MN",0.9083
"cty16065","Madison County, ID",0.9078
"cty38087","Slope County, ND",0.9075
"cty38031","Foster County, ND",0.9075
"cty56039","Teton County, WY",0.9073
"cty19109","Kossuth County, IA",0.9073
"cty31167","Stanton County, NE",0.9071
"cty55011","Buffalo County, WI",0.9069
"cty27173","Yellow Medicine County, MN",0.9068
"cty31027","Cedar County, NE",0.9065
"cty49043","Summit County, UT",0.9063
"cty38051","McIntosh County, ND",0.9062
"cty38033","Golden Valley County, ND",0.906
"cty20023","Cheyenne County, KS",0.9059
"cty38039","Griggs County, ND",0.9057
"cty19019","Buchanan County, IA",0.9054
"cty17189","Washington County, IL",0.9052
"cty48333","Mills County, TX",0.9051
"cty06003","Alpine County, CA",0.9049
"cty19003","Adams County, IA",0.9048
"cty31059","Fillmore County, NE",0.9045
"cty27069","Kittson County, MN",0.9043
"cty06041","Marin County, CA",0.9041
"cty31039","Cuming County, NE",0.9041
"cty30025","Fallon County, MT",0.9033
"cty19185","Wayne County, IA",0.9033
"cty37055","Dare County, NC",0.9032
"cty36079","Putnam County, NY",0.9027
"cty48129","Donley County, TX",0.9025
"cty02275","Wrangell City and Borough, AK",0.9022
"cty31147","Richardson County, NE",0.9018
"cty29103","Knox County, MO",0.9016
"cty23021","Piscataquis County, ME",0.9015
