"cty","Name","High_School_Graduation_Rate_rP_gP_p25"
"cty38025","Dunn County, ND",0.9015
"cty26083","Keweenaw County, MI",0.9014
"cty51017","Bath County, VA",0.9008
"cty24001","Allegany County, MD",0.9008
"cty42047","Elk County, PA",0.9006
"cty19149","Plymouth County, IA",0.9006
"cty31085","Hayes County, NE",0.9005
"cty19191","Winneshiek County, IA",0.9003
"cty34019","Hunterdon County, NJ",0.9001
"cty20153","Rawlins County, KS",0.9
"cty49051","Wasatch County, UT",0.8999
"cty20131","Nemaha County, KS",0.8998
"cty17133","Monroe County, IL",0.8997
"cty54009","Brooke County, WV",0.8993
"cty55121","Trempealeau County, WI",0.8991
"cty20049","Elk County, KS",0.899
"cty27143","Sibley County, MN",0.899
"cty27015","Brown County, MN",0.8987
"cty56011","Crook County, WY",0.8985
"cty29041","Chariton County, MO",0.8984
"cty31163","Sherman County, NE",0.8984
"cty17155","Putnam County, IL",0.8978
"cty31093","Howard County, NE",0.8978
"cty55051","Iron County, WI",0.8974
"cty19077","Guthrie County, IA",0.8971
"cty19143","Osceola County, IA",0.897
"cty16041","Franklin County, ID",0.8969
"cty30083","Richland County, MT",0.8965
"cty20063","Gove County, KS",0.8964
"cty19151","Pocahontas County, IA",0.8964
"cty19083","Hardin County, IA",0.8958
"cty27081","Lincoln County, MN",0.8958
"cty20085","Jackson County, KS",0.8957
"cty20201","Washington County, KS",0.8956
"cty35055","Taos County, NM",0.8949
"cty27125","Red Lake County, MN",0.8948
"cty17053","Ford County, IL",0.8948
"cty21131","Leslie County, KY",0.8947
"cty08023","Costilla County, CO",0.8946
"cty27101","Murray County, MN",0.8945
"cty46097","Miner County, SD",0.8944
"cty38043","Kidder County, ND",0.8942
"cty05129","Searcy County, AR",0.8938
"cty48417","Shackelford County, TX",0.8935
"cty27087","Mahnomen County, MN",0.8934
"cty20157","Republic County, KS",0.8932
"cty31159","Seward County, NE",0.8931
"cty48295","Lipscomb County, TX",0.8931
"cty02150","Kodiak Island Borough, AK",0.8923
"cty15001","Hawaii County, HI",0.8923
"cty30021","Dawson County, MT",0.8921
"cty27031","Cook County, MN",0.8918
"cty54109","Wyoming County, WV",0.8917
"cty38065","Oliver County, ND",0.8913
"cty55049","Iowa County, WI",0.8912
"cty31051","Dixon County, NE",0.8912
"cty51133","Northumberland County, VA",0.8911
"cty46053","Gregory County, SD",0.891
"cty20051","Ellis County, KS",0.8907
"cty31033","Cheyenne County, NE",0.8902
"cty56027","Niobrara County, WY",0.8902
"cty55035","Eau Claire County, WI",0.8898
"cty20043","Doniphan County, KS",0.8897
"cty16033","Clark County, ID",0.8893
"cty48359","Oldham County, TX",0.8892
"cty27117","Pipestone County, MN",0.8891
"cty31149","Rock County, NE",0.8888
"cty34003","Bergen County, NJ",0.8887
"cty31151","Saline County, NE",0.8884
"cty27103","Nicollet County, MN",0.8884
"cty38095","Towner County, ND",0.8881
"cty55099","Price County, WI",0.888
"cty55109","St. Croix County, WI",0.8879
"cty31065","Furnas County, NE",0.8879
"cty27055","Houston County, MN",0.8877
"cty55073","Marathon County, WI",0.8876
"cty19131","Mitchell County, IA",0.8875
"cty19037","Chickasaw County, IA",0.8869
"cty56023","Lincoln County, WY",0.8868
"cty19065","Fayette County, IA",0.8865
"cty31121","Merrick County, NE",0.8862
"cty19027","Carroll County, IA",0.8859
"cty27073","Lac qui Parle County, MN",0.8858
"cty53051","Pend Oreille County, WA",0.8857
"cty26131","Ontonagon County, MI",0.8856
"cty31089","Holt County, NE",0.8855
"cty19167","Sioux County, IA",0.8854
"cty56035","Sublette County, WY",0.8854
"cty20105","Lincoln County, KS",0.885
"cty29171","Putnam County, MO",0.885
"cty19079","Hamilton County, IA",0.885
"cty46123","Tripp County, SD",0.8849
"cty24047","Worcester County, MD",0.8847
"cty55123","Vernon County, WI",0.8846
"cty27063","Jackson County, MN",0.8846
"cty42021","Cambria County, PA",0.8844
"cty20073","Greenwood County, KS",0.884
"cty17067","Hancock County, IL",0.8834
"cty27011","Big Stone County, MN",0.8833
"cty46063","Harding County, SD",0.8828
"cty51063","Floyd County, VA",0.8828
"cty55007","Bayfield County, WI",0.8827
"cty25021","Norfolk County, MA",0.8823
"cty31015","Boyd County, NE",0.8821
"cty19039","Clarke County, IA",0.8821
"cty27121","Pope County, MN",0.8817
"cty08073","Lincoln County, CO",0.8814
"cty31165","Sioux County, NE",0.8813
"cty17131","Mercer County, IL",0.8811
"cty38007","Billings County, ND",0.8809
"cty19023","Butler County, IA",0.8809
"cty19029","Cass County, IA",0.8808
"cty55023","Crawford County, WI",0.8806
"cty19161","Sac County, IA",0.8806
"cty27009","Benton County, MN",0.8805
"cty02220","Sitka City and Borough, AK",0.8802
"cty27145","Stearns County, MN",0.88
"cty02105","Hoonah-Angoon Census Area, AK",0.8799
"cty48243","Jeff Davis County, TX",0.8799
"cty38089","Stark County, ND",0.8798
"cty16023","Butte County, ID",0.8797
"cty44001","Bristol County, RI",0.8797
"cty05019","Clark County, AR",0.8795
"cty38077","Richland County, ND",0.8793
"cty50003","Bennington County, VT",0.8793
"cty55097","Portage County, WI",0.8793
"cty38105","Williams County, ND",0.8791
"cty06105","Trinity County, CA",0.8789
"cty21135","Lewis County, KY",0.8785
"cty16007","Bear Lake County, ID",0.8784
"cty27167","Wilkin County, MN",0.8784
"cty27091","Martin County, MN",0.8782
"cty51185","Tazewell County, VA",0.8781
"cty23007","Franklin County, ME",0.878
"cty15009","Maui County, HI",0.8778
"cty27071","Koochiching County, MN",0.8778
"cty19043","Clayton County, IA",0.8778
"cty50005","Caledonia County, VT",0.8777
"cty27151","Swift County, MN",0.8776
"cty06075","San Francisco County, CA",0.8774
"cty27153","Todd County, MN",0.8772
"cty51105","Lee County, VA",0.8771
"cty54067","Nicholas County, WV",0.877
"cty31169","Thayer County, NE",0.8769
"cty18147","Spencer County, IN",0.8767
"cty15003","Honolulu County, HI",0.8763
"cty16029","Caribou County, ID",0.8763
"cty20161","Riley County, KS",0.8762
"cty27023","Chippewa County, MN",0.8762
"cty38045","LaMoure County, ND",0.8762
"cty31107","Knox County, NE",0.8761
"cty55033","Dunn County, WI",0.8759
"cty19105","Jones County, IA",0.8758
"cty48075","Childress County, TX",0.8756
"cty29223","Wayne County, MO",0.8754
"cty19087","Henry County, IA",0.8754
"cty55065","Lafayette County, WI",0.875
"cty31023","Butler County, NE",0.8749
"cty51570","Colonial Heights city, VA",0.8748
"cty27041","Douglas County, MN",0.8746
"cty30071","Phillips County, MT",0.8745
"cty48327","Menard County, TX",0.8745
"cty48197","Hardeman County, TX",0.8745
"cty19165","Shelby County, IA",0.8743
"cty46083","Lincoln County, SD",0.8742
"cty53031","Jefferson County, WA",0.8741
"cty42025","Carbon County, PA",0.874
"cty35033","Mora County, NM",0.8738
"cty31003","Antelope County, NE",0.8737
"cty27111","Otter Tail County, MN",0.8736
"cty27127","Redwood County, MN",0.8735
"cty17027","Clinton County, IL",0.8734
"cty56001","Albany County, WY",0.8734
"cty16057","Latah County, ID",0.8732
"cty19119","Lyon County, IA",0.873
"cty51057","Essex County, VA",0.8729
"cty29147","Nodaway County, MO",0.8729
"cty27135","Roseau County, MN",0.8728
"cty19041","Clay County, IA",0.8728
"cty46009","Bon Homme County, SD",0.8727
"cty30067","Park County, MT",0.8726
"cty24027","Howard County, MD",0.8725
"cty29111","Lewis County, MO",0.8724
"cty46061","Hanson County, SD",0.8724
"cty27019","Carver County, MN",0.8723
"cty19089","Howard County, IA",0.872
"cty29033","Carroll County, MO",0.872
"cty51111","Lunenburg County, VA",0.8719
"cty20029","Cloud County, KS",0.8718
"cty27129","Renville County, MN",0.8717
"cty20109","Logan County, KS",0.8717
"cty29025","Caldwell County, MO",0.8716
"cty20117","Marshall County, KS",0.8713
"cty42129","Westmoreland County, PA",0.8712
"cty19097","Jackson County, IA",0.8712
"cty39081","Jefferson County, OH",0.8711
"cty31175","Valley County, NE",0.8711
"cty30003","Big Horn County, MT",0.8709
"cty46025","Clark County, SD",0.8708
"cty39013","Belmont County, OH",0.8708
"cty34027","Morris County, NJ",0.8707
"cty47137","Pickett County, TN",0.8705
"cty46037","Day County, SD",0.8704
"cty37039","Cherokee County, NC",0.8704
"cty38019","Cavalier County, ND",0.8701
"cty06005","Amador County, CA",0.87
"cty26053","Gogebic County, MI",0.87
"cty55063","La Crosse County, WI",0.8693
"cty27039","Dodge County, MN",0.8693
"cty51027","Buchanan County, VA",0.8693
"cty05077","Lee County, AR",0.8691
"cty37177","Tyrrell County, NC",0.869
"cty47067","Hancock County, TN",0.8689
"cty39011","Auglaize County, OH",0.8689
"cty27159","Wadena County, MN",0.8689
"cty48077","Clay County, TX",0.8687
"cty23027","Waldo County, ME",0.8687
"cty41063","Wallowa County, OR",0.8686
"cty55119","Taylor County, WI",0.8686
"cty53065","Stevens County, WA",0.8685
"cty50011","Franklin County, VT",0.8681
"cty49005","Cache County, UT",0.868
"cty42007","Beaver County, PA",0.868
"cty38101","Ward County, ND",0.8676
"cty51173","Smyth County, VA",0.8676
"cty02013","Aleutians East Borough, AK",0.8675
"cty08039","Elbert County, CO",0.8674
"cty19011","Benton County, IA",0.8674
"cty32001","Churchill County, NV",0.8673
"cty31061","Franklin County, NE",0.8673
"cty30081","Ravalli County, MT",0.8672
"cty38099","Walsh County, ND",0.8671
"cty54051","Marshall County, WV",0.8671
"cty23029","Washington County, ME",0.867
"cty30001","Beaverhead County, MT",0.8667
"cty25001","Barnstable County, MA",0.8666
"cty39067","Harrison County, OH",0.8666
"cty05137","Stone County, AR",0.8665
"cty55141","Wood County, WI",0.8663
"cty42069","Lackawanna County, PA",0.8663
"cty19069","Franklin County, IA",0.8662
"cty40093","Major County, OK",0.8661
"cty20193","Thomas County, KS",0.866
"cty09005","Litchfield County, CT",0.8658
"cty17015","Carroll County, IL",0.8656
"cty51113","Madison County, VA",0.8655
"cty48307","McCulloch County, TX",0.8654
"cty38083","Sheridan County, ND",0.8653
"cty55091","Pepin County, WI",0.8652
"cty19061","Dubuque County, IA",0.8651
"cty31031","Cherry County, NE",0.8651
"cty38055","McLean County, ND",0.8648
"cty27133","Rock County, MN",0.8648
"cty48149","Fayette County, TX",0.8647
"cty27051","Grant County, MN",0.8647
"cty20011","Bourbon County, KS",0.8646
"cty20137","Norton County, KS",0.8645
"cty05141","Van Buren County, AR",0.8644
"cty29001","Adair County, MO",0.8644
"cty19141","O'Brien County, IA",0.8644
"cty42005","Armstrong County, PA",0.8644
"cty05023","Cleburne County, AR",0.8643
"cty27097","Morrison County, MN",0.8642
"cty20197","Wabaunsee County, KS",0.8641
"cty23003","Aroostook County, ME",0.864
"cty08103","Rio Blanco County, CO",0.864
"cty47109","McNairy County, TN",0.8638
"cty19059","Dickinson County, IA",0.8638
"cty55029","Door County, WI",0.8635
"cty54057","Mineral County, WV",0.8634
"cty27043","Faribault County, MN",0.8632
"cty55013","Burnett County, WI",0.8631
"cty42059","Greene County, PA",0.8631
"cty20013","Brown County, KS",0.863
"cty36059","Nassau County, NY",0.863
"cty19177","Van Buren County, IA",0.8627
"cty17129","Menard County, IL",0.8627
"cty19195","Worth County, IA",0.8627
"cty55003","Ashland County, WI",0.8625
"cty42003","Allegheny County, PA",0.8625
"cty24039","Somerset County, MD",0.8625
"cty31057","Dundy County, NE",0.8625
"cty42125","Washington County, PA",0.8624
"cty42079","Luzerne County, PA",0.8623
"cty26109","Menominee County, MI",0.8622
"cty46005","Beadle County, SD",0.8622
"cty04011","Greenlee County, AZ",0.8622
"cty26063","Huron County, MI",0.862
"cty29039","Cedar County, MO",0.862
"cty39121","Noble County, OH",0.862
"cty21225","Union County, KY",0.8619
"cty27045","Fillmore County, MN",0.8619
"cty46013","Brown County, SD",0.8618
"cty55043","Grant County, WI",0.8617
"cty27089","Marshall County, MN",0.8615
"cty20181","Sherman County, KS",0.8615
"cty42017","Bucks County, PA",0.8614
"cty47025","Claiborne County, TN",0.8614
"cty26103","Marquette County, MI",0.8613
"cty54007","Braxton County, WV",0.8613
"cty20167","Russell County, KS",0.8613
"cty21035","Calloway County, KY",0.8612
"cty42063","Indiana County, PA",0.8611
"cty55055","Jefferson County, WI",0.8611
"cty53037","Kittitas County, WA",0.8609
"cty19171","Tama County, IA",0.8608
"cty16081","Teton County, ID",0.8608
"cty20149","Pottawatomie County, KS",0.8608
"cty27049","Goodhue County, MN",0.8607
"cty08003","Alamosa County, CO",0.8607
"cty27105","Nobles County, MN",0.8607
"cty20103","Leavenworth County, KS",0.8606
"cty47079","Henry County, TN",0.8606
"cty40129","Roger Mills County, OK",0.8604
"cty19121","Madison County, IA",0.8601
"cty50019","Orleans County, VT",0.8601
"cty19093","Ida County, IA",0.8601
"cty31177","Washington County, NE",0.86
"cty01091","Marengo County, AL",0.86
"cty19157","Poweshiek County, IA",0.86
"cty48259","Kendall County, TX",0.8599
"cty30089","Sanders County, MT",0.8598
"cty55089","Ozaukee County, WI",0.8598
"cty29211","Sullivan County, MO",0.8598
"cty19125","Marion County, IA",0.8597
"cty51610","Falls Church city, VA",0.8596
"cty17103","Lee County, IL",0.8595
"cty42083","McKean County, PA",0.8593
"cty42103","Pike County, PA",0.8593
"cty27017","Carlton County, MN",0.8592
"cty34025","Monmouth County, NJ",0.8592
"cty40035","Craig County, OK",0.8591
"cty19169","Story County, IA",0.8591
"cty17159","Richland County, IL",0.859
"cty51135","Nottoway County, VA",0.8589
"cty51049","Cumberland County, VA",0.8589
"cty19111","Lee County, IA",0.8589
"cty29063","DeKalb County, MO",0.8588
"cty20207","Woodson County, KS",0.8588
"cty26095","Luce County, MI",0.8587
"cty29197","Schuyler County, MO",0.8587
"cty19123","Mahaska County, IA",0.8587
"cty51191","Washington County, VA",0.8586
"cty46111","Sanborn County, SD",0.8586
"cty17105","Livingston County, IL",0.8585
"cty48421","Sherman County, TX",0.8582
"cty18181","White County, IN",0.8581
"cty30053","Lincoln County, MT",0.858
"cty41037","Lake County, OR",0.8579
"cty30049","Lewis and Clark County, MT",0.8578
"cty38015","Burleigh County, ND",0.8576
"cty16043","Fremont County, ID",0.8576
"cty08035","Douglas County, CO",0.8574
"cty17033","Crawford County, IL",0.8572
"cty05043","Drew County, AR",0.8572
"cty06017","El Dorado County, CA",0.8571
"cty36049","Lewis County, NY",0.857
"cty20135","Ness County, KS",0.8568
"cty46051","Grant County, SD",0.8567
"cty27165","Watonwan County, MN",0.8566
"cty19179","Wapello County, IA",0.8564
"cty47159","Smith County, TN",0.8564
"cty20101","Lane County, KS",0.8563
"cty38017","Cass County, ND",0.8562
"cty08107","Routt County, CO",0.8562
"cty38093","Stutsman County, ND",0.856
"cty46081","Lawrence County, SD",0.8557
"cty27083","Lyon County, MN",0.8556
"cty17023","Clark County, IL",0.8555
"cty05099","Nevada County, AR",0.8555
"cty08113","San Miguel County, CO",0.8554
"cty30077","Powell County, MT",0.8553
"cty19197","Wright County, IA",0.8553
"cty17075","Iroquois County, IL",0.8552
"cty30045","Judith Basin County, MT",0.8552
"cty08037","Eagle County, CO",0.8551
"cty31067","Gage County, NE",0.855
"cty17203","Woodford County, IL",0.855
"cty06109","Tuolumne County, CA",0.8549
"cty54049","Marion County, WV",0.8547
"cty46115","Spink County, SD",0.8546
"cty09013","Tolland County, CT",0.8546
"cty47129","Morgan County, TN",0.8542
"cty55137","Waushara County, WI",0.8541
"cty42019","Butler County, PA",0.8541
"cty41015","Curry County, OR",0.8539
"cty17147","Piatt County, IL",0.8539
"cty42013","Blair County, PA",0.8538
"cty51163","Rockbridge County, VA",0.8537
"cty05045","Faulkner County, AR",0.8536
"cty27163","Washington County, MN",0.8536
"cty20127","Morris County, KS",0.8536
"cty54103","Wetzel County, WV",0.8535
"cty55125","Vilas County, WI",0.8535
"cty42045","Delaware County, PA",0.8534
"cty21063","Elliott County, KY",0.8534
"cty55069","Lincoln County, WI",0.8534
"cty27107","Norman County, MN",0.8534
"cty19181","Warren County, IA",0.8534
"cty30091","Sheridan County, MT",0.8533
"cty26141","Presque Isle County, MI",0.8532
"cty05003","Ashley County, AR",0.8531
"cty46019","Butte County, SD",0.8531
"cty41009","Columbia County, OR",0.853
"cty47133","Overton County, TN",0.853
"cty31063","Frontier County, NE",0.853
"cty02122","Kenai Peninsula Borough, AK",0.8528
"cty27077","Lake of the Woods County, MN",0.8528
"cty51101","King William County, VA",0.8528
"cty05049","Fulton County, AR",0.8528
"cty27169","Winona County, MN",0.8528
"cty17061","Greene County, IL",0.8528
"cty06033","Lake County, CA",0.8527
"cty49037","San Juan County, UT",0.8526
"cty23011","Kennebec County, ME",0.8526
"cty26061","Houghton County, MI",0.8526
"cty40059","Harper County, OK",0.8525
"cty17043","DuPage County, IL",0.8523
"cty42131","Wyoming County, PA",0.8523
"cty48447","Throckmorton County, TX",0.8523
"cty42127","Wayne County, PA",0.8522
"cty46045","Edmunds County, SD",0.8521
"cty51169","Scott County, VA",0.8521
"cty54019","Fayette County, WV",0.852
"cty29205","Shelby County, MO",0.8519
"cty02261","Valdez-Cordova Census Area, AK",0.8517
"cty29157","Perry County, MO",0.8517
"cty20095","Kingman County, KS",0.8516
"cty54041","Lewis County, WV",0.8515
"cty26071","Iron County, MI",0.8515
"cty26047","Emmet County, MI",0.8513
"cty46129","Walworth County, SD",0.8512
"cty27033","Cottonwood County, MN",0.8512
"cty48173","Glasscock County, TX",0.8511
"cty05047","Franklin County, AR",0.8511
"cty06063","Plumas County, CA",0.851
"cty06027","Inyo County, CA",0.8507
"cty17005","Bond County, IL",0.8505
"cty55015","Calumet County, WI",0.8504
"cty20183","Smith County, KS",0.8504
"cty46087","McCook County, SD",0.8504
"cty31081","Hamilton County, NE",0.8504
"cty27061","Itasca County, MN",0.8503
"cty08095","Phillips County, CO",0.8503
"cty31143","Polk County, NE",0.8503
"cty48099","Coryell County, TX",0.8502
"cty36033","Franklin County, NY",0.8501
"cty19053","Decatur County, IA",0.8501
"cty54081","Raleigh County, WV",0.8501
"cty40045","Ellis County, OK",0.85
"cty39167","Washington County, OH",0.8499
"cty48223","Hopkins County, TX",0.8499
"cty38059","Morton County, ND",0.8498
"cty46135","Yankton County, SD",0.8498
"cty25023","Plymouth County, MA",0.8497
"cty34005","Burlington County, NJ",0.8497
"cty27013","Blue Earth County, MN",0.8497
"cty31111","Lincoln County, NE",0.8496
"cty48411","San Saba County, TX",0.8496
"cty06061","Placer County, CA",0.8494
"cty51007","Amelia County, VA",0.8494
"cty21189","Owsley County, KY",0.8494
"cty16037","Custer County, ID",0.8493
"cty21045","Casey County, KY",0.8492
"cty46127","Union County, SD",0.8492
"cty16085","Valley County, ID",0.8492
"cty38035","Grand Forks County, ND",0.849
"cty31103","Keya Paha County, NE",0.849
"cty42057","Fulton County, PA",0.849
"cty54105","Wirt County, WV",0.8489
"cty46047","Fall River County, SD",0.8488
"cty42051","Fayette County, PA",0.8488
"cty06089","Shasta County, CA",0.8487
"cty12067","Lafayette County, FL",0.8487
"cty39123","Ottawa County, OH",0.8486
"cty49027","Millard County, UT",0.8486
"cty20191","Sumner County, KS",0.8485
"cty19137","Montgomery County, IA",0.8485
"cty08067","La Plata County, CO",0.8484
"cty37087","Haywood County, NC",0.8483
"cty38067","Pembina County, ND",0.8482
"cty31017","Brown County, NE",0.8482
"cty17025","Clay County, IL",0.8479
"cty54069","Ohio County, WV",0.8479
"cty48385","Real County, TX",0.8477
"cty16049","Idaho County, ID",0.8477
"cty06009","Calaveras County, CA",0.8477
"cty17035","Cumberland County, IL",0.8475
"cty16047","Gooding County, ID",0.8474
"cty55017","Chippewa County, WI",0.8474
"cty18129","Posey County, IN",0.8474
"cty05009","Boone County, AR",0.8473
"cty19001","Adair County, IA",0.8473
"cty06093","Siskiyou County, CA",0.8472
"cty25017","Middlesex County, MA",0.8472
"cty17073","Henry County, IL",0.8471
"cty05121","Randolph County, AR",0.847
"cty24029","Kent County, MD",0.8469
"cty29017","Bollinger County, MO",0.8469
"cty37113","Macon County, NC",0.8468
"cty25015","Hampshire County, MA",0.8468
"cty55131","Washington County, WI",0.8465
"cty54033","Harrison County, WV",0.8464
"cty48081","Coke County, TX",0.8464
"cty17123","Marshall County, IL",0.8463
"cty06007","Butte County, CA",0.8462
"cty39073","Hocking County, OH",0.8462
"cty48087","Collingsworth County, TX",0.8462
"cty30009","Carbon County, MT",0.8462
"cty29149","Oregon County, MO",0.8462
"cty54031","Hardy County, WV",0.8462
"cty20005","Atchison County, KS",0.8461
"cty37121","Mitchell County, NC",0.846
"cty21119","Knott County, KY",0.846
"cty51091","Highland County, VA",0.8458
"cty36081","Queens County, NY",0.8457
"cty24031","Montgomery County, MD",0.8457
"cty27067","Kandiyohi County, MN",0.8457
"cty46021","Campbell County, SD",0.8457
"cty05015","Carroll County, AR",0.8456
"cty20087","Jefferson County, KS",0.8454
"cty20099","Labette County, KS",0.8452
"cty55115","Shawano County, WI",0.8452
"cty48193","Hamilton County, TX",0.8452
"cty31087","Hitchcock County, NE",0.8452
"cty42031","Clarion County, PA",0.8451
"cty51161","Roanoke County, VA",0.845
"cty23005","Cumberland County, ME",0.8449
"cty39137","Putnam County, OH",0.8449
"cty20121","Miami County, KS",0.8448
"cty25003","Berkshire County, MA",0.8447
"cty51119","Middlesex County, VA",0.8446
"cty48435","Sutton County, TX",0.8446
"cty19051","Davis County, IA",0.8445
"cty41003","Benton County, OR",0.8444
"cty21059","Daviess County, KY",0.8444
"cty20035","Cowley County, KS",0.8442
"cty20025","Clark County, KS",0.8442
"cty47039","Decatur County, TN",0.8442
"cty21193","Perry County, KY",0.8441
"cty30057","Madison County, MT",0.8441
"cty17145","Perry County, IL",0.844
"cty42065","Jefferson County, PA",0.844
"cty17109","McDonough County, IL",0.8439
"cty42107","Schuylkill County, PA",0.8439
"cty46057","Hamlin County, SD",0.8439
"cty42033","Clearfield County, PA",0.8438
"cty06057","Nevada County, CA",0.8437
"cty29049","Clinton County, MO",0.8437
"cty19073","Greene County, IA",0.8437
"cty17117","Macoupin County, IL",0.8437
"cty46077","Kingsbury County, SD",0.8437
"cty06011","Colusa County, CA",0.8436
"cty19025","Calhoun County, IA",0.8436
"cty40025","Cimarron County, OK",0.8435
"cty30005","Blaine County, MT",0.8434
"cty26161","Washtenaw County, MI",0.8434
"cty40007","Beaver County, OK",0.8434
"cty31045","Dawes County, NE",0.8433
"cty31019","Buffalo County, NE",0.8433
"cty20179","Sheridan County, KS",0.8432
"cty44005","Newport County, RI",0.8432
"cty54059","Mingo County, WV",0.8432
"cty42091","Montgomery County, PA",0.8431
