"cty","Name","High_School_Graduation_Rate_rP_gP_p75"
"cty48239","Jackson County, TX",0.9728
"cty20135","Ness County, KS",0.9727
"cty21155","Marion County, KY",0.9727
"cty48165","Gaines County, TX",0.9725
"cty17053","Ford County, IL",0.9725
"cty31085","Hayes County, NE",0.9724
"cty54015","Clay County, WV",0.9724
"cty38001","Adams County, ND",0.9722
"cty05083","Logan County, AR",0.9721
"cty20181","Sherman County, KS",0.9721
"cty21151","Madison County, KY",0.972
"cty51071","Giles County, VA",0.9719
"cty55023","Crawford County, WI",0.9715
"cty47069","Hardeman County, TN",0.9713
"cty48447","Throckmorton County, TX",0.9713
"cty17079","Jasper County, IL",0.9713
"cty53043","Lincoln County, WA",0.9711
"cty21137","Lincoln County, KY",0.971
"cty35007","Colfax County, NM",0.9708
"cty32021","Mineral County, NV",0.9708
"cty48493","Wilson County, TX",0.9706
"cty31133","Pawnee County, NE",0.9701
"cty45061","Lee County, SC",0.97
"cty17149","Pike County, IL",0.97
"cty46023","Charles Mix County, SD",0.9699
"cty17185","Wabash County, IL",0.9699
"cty24047","Worcester County, MD",0.9697
"cty47029","Cocke County, TN",0.9693
"cty37011","Avery County, NC",0.9692
"cty29229","Wright County, MO",0.9692
"cty35053","Socorro County, NM",0.969
"cty39115","Morgan County, OH",0.969
"cty49001","Beaver County, UT",0.969
"cty26097","Mackinac County, MI",0.9689
"cty12123","Taylor County, FL",0.9689
"cty21143","Lyon County, KY",0.9689
"cty17049","Effingham County, IL",0.9688
"cty40077","Latimer County, OK",0.9681
"cty40035","Craig County, OK",0.968
"cty53055","San Juan County, WA",0.9679
"cty54073","Pleasants County, WV",0.9678
"cty19119","Lyon County, IA",0.9677
"cty29225","Webster County, MO",0.9676
"cty46037","Day County, SD",0.9675
"cty47175","Van Buren County, TN",0.9674
"cty51197","Wythe County, VA",0.9674
"cty42051","Fayette County, PA",0.9671
"cty28053","Humphreys County, MS",0.9671
"cty48445","Terry County, TX",0.967
"cty05025","Cleveland County, AR",0.967
"cty12045","Gulf County, FL",0.9669
"cty30097","Sweet Grass County, MT",0.9668
"cty31017","Brown County, NE",0.9668
"cty28147","Walthall County, MS",0.9666
"cty53023","Garfield County, WA",0.9663
"cty42047","Elk County, PA",0.966
"cty54077","Preston County, WV",0.9659
"cty21123","Larue County, KY",0.9659
"cty17005","Bond County, IL",0.9657
"cty24001","Allegany County, MD",0.9657
"cty20029","Cloud County, KS",0.9656
"cty21171","Monroe County, KY",0.9656
"cty51009","Amherst County, VA",0.9656
"cty30073","Pondera County, MT",0.9655
"cty27091","Martin County, MN",0.9655
"cty37115","Madison County, NC",0.9655
"cty08049","Grand County, CO",0.9655
"cty51830","Williamsburg city, VA",0.9654
"cty53069","Wahkiakum County, WA",0.9648
"cty28019","Choctaw County, MS",0.9647
"cty55091","Pepin County, WI",0.9647
"cty29223","Wayne County, MO",0.9646
"cty48317","Martin County, TX",0.9646
"cty42057","Fulton County, PA",0.9646
"cty37185","Warren County, NC",0.9645
"cty37121","Mitchell County, NC",0.9645
"cty01123","Tallapoosa County, AL",0.9645
"cty19135","Monroe County, IA",0.9645
"cty45067","Marion County, SC",0.9645
"cty45027","Clarendon County, SC",0.9644
"cty18079","Jennings County, IN",0.9644
"cty05137","Stone County, AR",0.9643
"cty42021","Cambria County, PA",0.9643
"cty16073","Owyhee County, ID",0.964
"cty20011","Bourbon County, KS",0.964
"cty51083","Halifax County, VA",0.964
"cty47057","Grainger County, TN",0.9636
