"cty","Name","College_Graduation_Rate_rP_gP_p50"
"cty19009","Audubon County, IA",0.4033
"cty34025","Monmouth County, NJ",0.403
"cty46053","Gregory County, SD",0.4027
"cty21237","Wolfe County, KY",0.4014
"cty36001","Albany County, NY",0.4008
"cty20051","Ellis County, KS",0.4008
"cty42003","Allegheny County, PA",0.4007
"cty51620","Franklin city, VA",0.4007
"cty19081","Hancock County, IA",0.4005
"cty08003","Alamosa County, CO",0.4002
"cty56001","Albany County, WY",0.4
"cty13109","Evans County, GA",0.3997
"cty21035","Calloway County, KY",0.3994
"cty13113","Fayette County, GA",0.399
"cty19047","Crawford County, IA",0.3988
"cty31137","Phelps County, NE",0.3987
"cty48259","Kendall County, TX",0.3978
"cty30071","Phillips County, MT",0.3977
"cty48011","Armstrong County, TX",0.3977
"cty36103","Suffolk County, NY",0.3969
"cty20047","Edwards County, KS",0.3969
"cty19165","Shelby County, IA",0.3967
"cty28069","Kemper County, MS",0.3967
"cty51678","Lexington city, VA",0.3961
"cty20183","Smith County, KS",0.396
"cty38015","Burleigh County, ND",0.3956
"cty37043","Clay County, NC",0.3954
"cty19109","Kossuth County, IA",0.3954
"cty51013","Arlington County, VA",0.395
"cty48095","Concho County, TX",0.3948
"cty22107","Tensas Parish, LA",0.3947
"cty09001","Fairfield County, CT",0.3939
"cty34017","Hudson County, NJ",0.3937
"cty44009","Washington County, RI",0.3937
"cty33003","Carroll County, NH",0.3932
"cty31011","Boone County, NE",0.3926
"cty38051","McIntosh County, ND",0.3922
"cty31105","Kimball County, NE",0.3922
"cty38003","Barnes County, ND",0.3921
"cty34037","Sussex County, NJ",0.3915
"cty54069","Ohio County, WV",0.3915
"cty31081","Hamilton County, NE",0.3915
"cty23005","Cumberland County, ME",0.3912
"cty19149","Plymouth County, IA",0.3912
"cty50015","Lamoille County, VT",0.3903
"cty40129","Roger Mills County, OK",0.3901
"cty25009","Essex County, MA",0.3894
"cty19119","Lyon County, IA",0.3893
"cty48109","Culberson County, TX",0.3892
"cty48009","Archer County, TX",0.3889
"cty20167","Russell County, KS",0.3887
"cty17079","Jasper County, IL",0.3886
"cty29227","Worth County, MO",0.388
"cty41003","Benton County, OR",0.3879
"cty13283","Treutlen County, GA",0.3877
"cty36047","Kings County, NY",0.3876
"cty48171","Gillespie County, TX",0.3875
"cty29019","Boone County, MO",0.3874
"cty40039","Custer County, OK",0.3873
"cty20203","Wichita County, KS",0.3871
