"cty","Name","Household_Income_rP_gP_p50"
"cty38003","Barnes County, ND",57514
"cty46115","Spink County, SD",57500
"cty27045","Fillmore County, MN",57431
"cty27063","Jackson County, MN",57343
"cty31029","Chase County, NE",57310
"cty19149","Plymouth County, IA",57217
"cty19093","Ida County, IA",57180
"cty46079","Lake County, SD",57073
"cty31057","Dundy County, NE",57034
"cty48081","Coke County, TX",57006
"cty27015","Brown County, MN",57000
"cty30091","Sheridan County, MT",56942
"cty20201","Washington County, KS",56936
"cty46051","Grant County, SD",56913
"cty19075","Grundy County, IA",56889
"cty48357","Ochiltree County, TX",56836
"cty48003","Andrews County, TX",56796
"cty20025","Clark County, KS",56779
"cty19165","Shelby County, IA",56743
"cty27127","Redwood County, MN",56716
"cty46037","Day County, SD",56700
"cty19005","Allamakee County, IA",56698
"cty56019","Johnson County, WY",56689
"cty49033","Rich County, UT",56688
"cty19143","Osceola County, IA",56670
"cty31093","Howard County, NE",56658
"cty55091","Pepin County, WI",56657
"cty20153","Rawlins County, KS",56617
"cty31023","Butler County, NE",56613
"cty31087","Hitchcock County, NE",56588
"cty27073","Lac qui Parle County, MN",56537
"cty27151","Swift County, MN",56530
"cty46123","Tripp County, SD",56468
"cty48393","Roberts County, TX",56441
"cty27051","Grant County, MN",56433
"cty38067","Pembina County, ND",56334
"cty17013","Calhoun County, IL",56279
"cty46015","Brule County, SD",56260
"cty20119","Meade County, KS",56199
"cty19017","Bremer County, IA",56134
"cty38099","Walsh County, ND",56115
"cty40043","Dewey County, OK",56101
"cty19047","Crawford County, IA",56062
"cty48235","Irion County, TX",56050
"cty31097","Johnson County, NE",56034
"cty19089","Howard County, IA",56004
"cty27107","Norman County, MN",55970
"cty31081","Hamilton County, NE",55925
"cty31015","Boyd County, NE",55915
"cty49047","Uintah County, UT",55913
"cty30011","Carter County, MT",55908
"cty48105","Crockett County, TX",55895
"cty38015","Burleigh County, ND",55885
"cty31051","Dixon County, NE",55810
"cty27167","Wilkin County, MN",55804
"cty48195","Hansford County, TX",55776
"cty40045","Ellis County, OK",55774
"cty31121","Merrick County, NE",55687
"cty31061","Franklin County, NE",55680
"cty31159","Seward County, NE",55657
"cty20089","Jewell County, KS",55639
"cty20117","Marshall County, KS",55636
"cty31049","Deuel County, NE",55613
"cty27145","Stearns County, MN",55598
"cty19083","Hardin County, IA",55589
"cty31137","Phelps County, NE",55581
"cty16037","Custer County, ID",55539
"cty20183","Smith County, KS",55534
"cty31183","Wheeler County, NE",55507
"cty27041","Douglas County, MN",55474
"cty08125","Yuma County, CO",55466
"cty08111","San Juan County, CO",55464
"cty48447","Throckmorton County, TX",55448
"cty53043","Lincoln County, WA",55426
"cty38093","Stutsman County, ND",55399
"cty48495","Winkler County, TX",55390
"cty56031","Platte County, WY",55343
"cty56035","Sublette County, WY",55342
"cty49013","Duchesne County, UT",55338
"cty40093","Major County, OK",55324
"cty20193","Thomas County, KS",55315
"cty19081","Hancock County, IA",55309
"cty19189","Winnebago County, IA",55277
"cty27033","Cottonwood County, MN",55255
"cty48165","Gaines County, TX",55222
"cty39107","Mercer County, OH",55200
"cty46129","Walworth County, SD",55195
"cty48205","Hartley County, TX",55182
"cty31133","Pawnee County, NE",55169
"cty49029","Morgan County, UT",55101
"cty30071","Phillips County, MT",55088
"cty19025","Calhoun County, IA",55080
"cty48475","Ward County, TX",55066
"cty38101","Ward County, ND",55034
"cty27113","Pennington County, MN",55030
"cty19105","Jones County, IA",55013
"cty20141","Osborne County, KS",54983
"cty31105","Kimball County, NE",54955
"cty55065","Lafayette County, WI",54938
"cty27157","Wabasha County, MN",54934
"cty19159","Ringgold County, IA",54928
"cty19019","Buchanan County, IA",54925
"cty42113","Sullivan County, PA",54917
"cty31141","Platte County, NE",54908
"cty08103","Rio Blanco County, CO",54893
"cty48103","Crane County, TX",54844
"cty27093","Meeker County, MN",54834
"cty19065","Fayette County, IA",54825
"cty27029","Clearwater County, MN",54817
"cty31099","Kearney County, NE",54793
"cty35011","De Baca County, NM",54776
"cty20123","Mitchell County, KS",54771
"cty20147","Phillips County, KS",54732
"cty20007","Barber County, KS",54726
"cty31177","Washington County, NE",54704
"cty55093","Pierce County, WI",54690
"cty19095","Iowa County, IA",54667
"cty30073","Pondera County, MT",54644
"cty40073","Kingfisher County, OK",54632
"cty19003","Adams County, IA",54628
"cty31151","Saline County, NE",54605
"cty30065","Musselshell County, MT",54603
"cty20065","Graham County, KS",54603
"cty19061","Dubuque County, IA",54564
"cty27153","Todd County, MN",54564
"cty19077","Guthrie County, IA",54536
"cty49043","Summit County, UT",54518
"cty20053","Ellsworth County, KS",54518
"cty46107","Potter County, SD",54466
"cty48045","Briscoe County, TX",54459
"cty48421","Sherman County, TX",54443
"cty30097","Sweet Grass County, MT",54426
"cty56009","Converse County, WY",54420
"cty20051","Ellis County, KS",54415
"cty27105","Nobles County, MN",54405
"cty31185","York County, NE",54339
"cty49001","Beaver County, UT",54321
"cty30059","Meagher County, MT",54296
"cty46011","Brookings County, SD",54288
"cty20187","Stanton County, KS",54264
"cty31069","Garden County, NE",54260
"cty19021","Buena Vista County, IA",54257
"cty30095","Stillwater County, MT",54243
"cty31045","Dawes County, NE",54168
"cty19067","Floyd County, IA",54131
"cty27039","Dodge County, MN",54081
"cty46039","Deuel County, SD",54073
"cty56023","Lincoln County, WY",54071
"cty19031","Cedar County, IA",54054
"cty48501","Yoakum County, TX",54043
"cty18037","Dubois County, IN",54040
"cty29075","Gentry County, MO",54022
"cty16007","Bear Lake County, ID",54019
"cty46071","Jackson County, SD",53943
"cty20197","Wabaunsee County, KS",53935
"cty49027","Millard County, UT",53935
"cty46075","Jones County, SD",53899
"cty19073","Greene County, IA",53897
"cty48435","Sutton County, TX",53845
"cty19063","Emmet County, IA",53827
"cty27111","Otter Tail County, MN",53809
"cty19097","Jackson County, IA",53787
"cty34003","Bergen County, NJ",53769
"cty30079","Prairie County, MT",53754
"cty46091","Marshall County, SD",53742
"cty08057","Jackson County, CO",53729
"cty20069","Gray County, KS",53729
"cty27043","Faribault County, MN",53716
"cty46023","Charles Mix County, SD",53705
"cty27067","Kandiyohi County, MN",53694
"cty55043","Grant County, WI",53686
"cty27083","Lyon County, MN",53683
"cty55011","Buffalo County, WI",53650
"cty20171","Scott County, KS",53633
"cty27079","Le Sueur County, MN",53607
"cty08063","Kit Carson County, CO",53551
"cty27085","McLeod County, MN",53533
"cty56005","Campbell County, WY",53520
"cty72097","Mayaguez Municipio, PR",53503
"cty27097","Morrison County, MN",53462
"cty20167","Russell County, KS",53461
"cty19107","Keokuk County, IA",53437
"cty48149","Fayette County, TX",53433
"cty27119","Polk County, MN",53394
"cty31161","Sheridan County, NE",53391
"cty40059","Harper County, OK",53390
"cty08115","Sedgwick County, CO",53350
"cty36079","Putnam County, NY",53335
"cty27019","Carver County, MN",53293
"cty30057","Madison County, MT",53290
"cty48023","Baylor County, TX",53265
"cty19011","Benton County, IA",53217
"cty46127","Union County, SD",53151
"cty20081","Haskell County, KS",53148
"cty27135","Roseau County, MN",53088
"cty27055","Houston County, MN",53088
"cty27023","Chippewa County, MN",53076
"cty30039","Granite County, MT",53073
"cty56015","Goshen County, WY",53043
"cty20017","Chase County, KS",52992
"cty19173","Taylor County, IA",52979
"cty48335","Mitchell County, TX",52971
"cty39137","Putnam County, OH",52964
"cty46035","Davison County, SD",52953
"cty31037","Colfax County, NE",52947
"cty46007","Bennett County, SD",52944
"cty40151","Woods County, OK",52935
"cty56039","Teton County, WY",52908
"cty30015","Chouteau County, MT",52901
"cty27159","Wadena County, MN",52836
"cty27103","Nicollet County, MN",52831
"cty27091","Martin County, MN",52806
"cty46083","Lincoln County, SD",52759
"cty40007","Beaver County, OK",52728
"cty31033","Cheyenne County, NE",52721
"cty48175","Goliad County, TX",52714
"cty31117","McPherson County, NE",52688
"cty48237","Jack County, TX",52683
"cty19157","Poweshiek County, IA",52659
"cty34027","Morris County, NJ",52655
"cty31067","Gage County, NE",52653
"cty31013","Box Butte County, NE",52639
"cty38017","Cass County, ND",52636
"cty16041","Franklin County, ID",52619
"cty20157","Republic County, KS",52578
"cty19059","Dickinson County, IA",52577
"cty27049","Goodhue County, MN",52557
"cty29147","Nodaway County, MO",52546
"cty46013","Brown County, SD",52541
"cty08017","Cheyenne County, CO",52531
"cty55119","Taylor County, WI",52477
"cty19041","Clay County, IA",52460
"cty27161","Waseca County, MN",52439
"cty16071","Oneida County, ID",52435
"cty55049","Iowa County, WI",52379
"cty30043","Jefferson County, MT",52376
"cty31167","Stanton County, NE",52365
"cty27027","Clay County, MN",52348
"cty48109","Culberson County, TX",52302
"cty17079","Jasper County, IL",52296
"cty16065","Madison County, ID",52261
"cty51059","Fairfax County, VA",52256
"cty22059","LaSalle Parish, LA",52248
"cty19069","Franklin County, IA",52229
"cty40009","Beckham County, OK",52214
"cty38071","Ramsey County, ND",52210
"cty31071","Garfield County, NE",52143
