"cty","Name","Household_Income_rP_gP_p50"
"cty26109","Menominee County, MI",48129
"cty48297","Live Oak County, TX",48122
"cty41023","Grant County, OR",48122
"cty29087","Holt County, MO",48104
"cty30033","Garfield County, MT",48102
"cty40075","Kiowa County, OK",48096
"cty42107","Schuylkill County, PA",48088
"cty29171","Putnam County, MO",48082
"cty48179","Gray County, TX",48078
"cty30093","Silver Bow County, MT",48077
"cty17193","White County, IL",48072
"cty17073","Henry County, IL",48065
"cty17109","McDonough County, IL",48056
"cty42017","Bucks County, PA",48055
"cty06081","San Mateo County, CA",48012
"cty16043","Fremont County, ID",48008
"cty49011","Davis County, UT",48006
"cty08019","Clear Creek County, CO",47996
"cty08087","Morgan County, CO",47990
"cty49003","Box Elder County, UT",47977
"cty19045","Clinton County, IA",47975
"cty35025","Lea County, NM",47973
"cty20097","Kiowa County, KS",47952
"cty29157","Perry County, MO",47951
"cty17047","Edwards County, IL",47911
"cty17191","Wayne County, IL",47908
"cty42053","Forest County, PA",47896
"cty08029","Delta County, CO",47888
"cty19187","Webster County, IA",47886
"cty27075","Lake County, MN",47879
"cty31079","Hall County, NE",47863
"cty42117","Tioga County, PA",47848
"cty54051","Marshall County, WV",47838
"cty17203","Woodford County, IL",47836
"cty34035","Somerset County, NJ",47832
"cty42047","Elk County, PA",47830
"cty46099","Minnehaha County, SD",47815
"cty48323","Maverick County, TX",47812
"cty48169","Garza County, TX",47804
"cty36103","Suffolk County, NY",47801
"cty51017","Bath County, VA",47775
"cty40095","Marshall County, OK",47743
"cty39067","Harrison County, OH",47729
"cty27059","Isanti County, MN",47711
"cty08035","Douglas County, CO",47709
"cty17011","Bureau County, IL",47707
"cty48227","Howard County, TX",47701
"cty48015","Austin County, TX",47694
"cty72111","Penuelas Municipio, PR",47690
"cty06041","Marin County, CA",47689
"cty20077","Harper County, KS",47682
"cty35015","Eddy County, NM",47677
"cty42127","Wayne County, PA",47671
"cty22113","Vermilion Parish, LA",47667
"cty55125","Vilas County, WI",47652
"cty55135","Waupaca County, WI",47651
"cty48411","San Saba County, TX",47617
"cty48071","Chambers County, TX",47616
"cty40139","Texas County, OK",47615
"cty48059","Callahan County, TX",47608
"cty24027","Howard County, MD",47607
"cty48259","Kendall County, TX",47604
"cty29115","Linn County, MO",47594
"cty32011","Eureka County, NV",47585
"cty17015","Carroll County, IL",47567
"cty16021","Boundary County, ID",47551
"cty20091","Johnson County, KS",47542
"cty20003","Anderson County, KS",47540
"cty22093","St. James Parish, LA",47530
"cty17075","Iroquois County, IL",47522
"cty55041","Forest County, WI",47514
"cty16057","Latah County, ID",47508
"cty55083","Oconto County, WI",47498
"cty55037","Florence County, WI",47494
"cty42097","Northumberland County, PA",47478
"cty20159","Rice County, KS",47467
"cty21091","Hancock County, KY",47465
"cty31111","Lincoln County, NE",47458
"cty32027","Pershing County, NV",47446
"cty27007","Beltrami County, MN",47437
"cty55027","Dodge County, WI",47430
"cty48097","Cooke County, TX",47424
"cty42025","Carbon County, PA",47409
"cty42015","Bradford County, PA",47400
"cty48143","Erath County, TX",47384
"cty19099","Jasper County, IA",47383
"cty06049","Modoc County, CA",47365
"cty48093","Comanche County, TX",47354
"cty55103","Richland County, WI",47334
"cty55115","Shawano County, WI",47319
"cty55055","Jefferson County, WI",47308
"cty19115","Louisa County, IA",47306
"cty42009","Bedford County, PA",47302
"cty16031","Cassia County, ID",47294
"cty36121","Wyoming County, NY",47282
"cty48077","Clay County, TX",47279
"cty17135","Montgomery County, IL",47271
"cty55117","Sheboygan County, WI",47265
"cty48043","Brewster County, TX",47254
"cty20073","Greenwood County, KS",47238
"cty30031","Gallatin County, MT",47232
"cty30085","Roosevelt County, MT",47215
"cty51735","Poquoson city, VA",47215
"cty49025","Kane County, UT",47214
"cty46093","Meade County, SD",47207
"cty17155","Putnam County, IL",47205
"cty36119","Westchester County, NY",47189
"cty39055","Geauga County, OH",47186
"cty56001","Albany County, WY",47177
"cty29057","Dade County, MO",47137
"cty27137","St. Louis County, MN",47122
"cty34025","Monmouth County, NJ",47115
"cty36081","Queens County, NY",47095
"cty44001","Bristol County, RI",47075
"cty56043","Washakie County, WY",47068
"cty17159","Richland County, IL",47065
"cty42001","Adams County, PA",47058
"cty54007","Braxton County, WV",47046
"cty24013","Carroll County, MD",47045
"cty40055","Greer County, OK",47039
"cty35059","Union County, NM",47021
"cty55063","La Crosse County, WI",47017
"cty27071","Koochiching County, MN",46999
"cty41063","Wallowa County, OR",46997
"cty40103","Noble County, OK",46988
"cty06051","Mono County, CA",46983
"cty17025","Clay County, IL",46974
"cty30077","Powell County, MT",46971
"cty27035","Crow Wing County, MN",46966
"cty42033","Clearfield County, PA",46961
"cty55009","Brown County, WI",46960
"cty48199","Hardin County, TX",46958
"cty39157","Tuscarawas County, OH",46931
"cty06085","Santa Clara County, CA",46925
"cty17035","Cumberland County, IL",46922
"cty16011","Bingham County, ID",46917
"cty55075","Marinette County, WI",46914
"cty48381","Randall County, TX",46910
"cty39037","Darke County, OH",46898
"cty42109","Snyder County, PA",46890
"cty30053","Lincoln County, MT",46889
"cty48161","Freestone County, TX",46885
"cty09013","Tolland County, CT",46882
"cty17175","Stark County, IL",46881
"cty16047","Gooding County, ID",46878
"cty42069","Lackawanna County, PA",46874
"cty48249","Jim Wells County, TX",46862
"cty18001","Adams County, IN",46858
"cty08067","La Plata County, CO",46838
"cty22001","Acadia Parish, LA",46829
"cty08015","Chaffee County, CO",46817
"cty42051","Fayette County, PA",46813
"cty29211","Sullivan County, MO",46813
"cty48497","Wise County, TX",46806
"cty18051","Gibson County, IN",46803
"cty08014","Broomfield County, CO",46803
"cty27003","Anoka County, MN",46802
"cty53013","Columbia County, WA",46800
"cty29137","Monroe County, MO",46797
"cty22107","Tensas Parish, LA",46787
"cty17111","McHenry County, IL",46770
"cty17009","Brown County, IL",46766
"cty48057","Calhoun County, TX",46764
"cty55069","Lincoln County, WI",46735
"cty20041","Dickinson County, KS",46700
"cty54101","Webster County, WV",46691
"cty26131","Ontonagon County, MI",46691
"cty17139","Moultrie County, IL",46684
"cty48117","Deaf Smith County, TX",46677
"cty27017","Carlton County, MN",46672
"cty40077","Latimer County, OK",46664
"cty54071","Pendleton County, WV",46662
"cty29111","Lewis County, MO",46661
"cty42041","Cumberland County, PA",46645
"cty31153","Sarpy County, NE",46635
"cty36091","Saratoga County, NY",46632
"cty48197","Hardeman County, TX",46626
"cty22123","West Carroll Parish, LA",46620
"cty17147","Piatt County, IL",46614
"cty48477","Washington County, TX",46597
"cty40047","Garfield County, OK",46588
"cty48083","Coleman County, TX",46572
"cty55111","Sauk County, WI",46556
"cty48341","Moore County, TX",46528
"cty54017","Doddridge County, WV",46527
"cty42029","Chester County, PA",46521
"cty18027","Daviess County, IN",46508
"cty42079","Luzerne County, PA",46505
"cty48127","Dimmit County, TX",46503
"cty17103","Lee County, IL",46503
"cty48493","Wilson County, TX",46502
"cty49021","Iron County, UT",46498
"cty42027","Centre County, PA",46490
"cty22021","Caldwell Parish, LA",46488
"cty30111","Yellowstone County, MT",46481
"cty42037","Columbia County, PA",46479
"cty25023","Plymouth County, MA",46473
"cty39069","Henry County, OH",46463
"cty54097","Upshur County, WV",46450
"cty54021","Gilmer County, WV",46446
"cty30067","Park County, MT",46444
"cty42073","Lawrence County, PA",46425
"cty40029","Coal County, OK",46424
"cty48075","Childress County, TX",46424
"cty21229","Washington County, KY",46392
"cty51013","Arlington County, VA",46391
"cty42075","Lebanon County, PA",46391
"cty18123","Perry County, IN",46382
"cty54085","Ritchie County, WV",46381
"cty54095","Tyler County, WV",46373
"cty18125","Pike County, IN",46372
"cty49019","Grand County, UT",46369
"cty42083","McKean County, PA",46365
"cty55021","Columbia County, WI",46342
"cty20087","Jefferson County, KS",46337
"cty48177","Gonzales County, TX",46332
"cty29135","Moniteau County, MO",46312
"cty47127","Moore County, TN",46308
"cty20139","Osage County, KS",46300
"cty36001","Albany County, NY",46288
"cty25009","Essex County, MA",46286
"cty41049","Morrow County, OR",46286
"cty20127","Morris County, KS",46280
"cty48111","Dallam County, TX",46269
"cty18137","Ripley County, IN",46267
"cty28019","Choctaw County, MS",46264
"cty08039","Elbert County, CO",46255
"cty17001","Adams County, IL",46249
"cty22009","Avoyelles Parish, LA",46228
"cty30089","Sanders County, MT",46225
"cty27031","Cook County, MN",46212
"cty17169","Schuyler County, IL",46198
"cty48069","Castro County, TX",46193
"cty21201","Robertson County, KY",46174
"cty20111","Lyon County, KS",46174
"cty50023","Washington County, VT",46173
"cty39175","Wyandot County, OH",46170
"cty53051","Pend Oreille County, WA",46164
"cty30081","Ravalli County, MT",46158
"cty42057","Fulton County, PA",46156
"cty56007","Carbon County, WY",46150
"cty22109","Terrebonne Parish, LA",46148
"cty48013","Atascosa County, TX",46141
"cty19127","Marshall County, IA",46136
"cty29003","Andrew County, MO",46128
"cty42007","Beaver County, PA",46115
"cty39051","Fulton County, OH",46112
"cty40017","Canadian County, OK",46111
"cty48253","Jones County, TX",46110
"cty20133","Neosho County, KS",46086
"cty48039","Brazoria County, TX",46083
"cty55035","Eau Claire County, WI",46081
"cty35028","Los Alamos County, NM",46080
"cty42115","Susquehanna County, PA",46079
"cty21155","Marion County, KY",46069
"cty49037","San Juan County, UT",46060
"cty42035","Clinton County, PA",46058
"cty42061","Huntingdon County, PA",46047
"cty32007","Elko County, NV",46043
"cty36025","Delaware County, NY",46036
"cty20011","Bourbon County, KS",46033
"cty32015","Lander County, NV",46026
"cty55081","Monroe County, WI",46022
"cty40087","McClain County, OK",46018
"cty26071","Iron County, MI",46014
"cty17105","Livingston County, IL",46001
"cty08081","Moffat County, CO",45990
"cty22025","Catahoula Parish, LA",45983
"cty17051","Fayette County, IL",45968
"cty48419","Shelby County, TX",45951
"cty40137","Stephens County, OK",45945
"cty19101","Jefferson County, IA",45939
"cty17063","Grundy County, IL",45938
"cty29107","Lafayette County, MO",45937
"cty29199","Scotland County, MO",45921
"cty29025","Caldwell County, MO",45916
"cty16077","Power County, ID",45908
"cty17117","Macoupin County, IL",45907
"cty16053","Jerome County, ID",45904
"cty31113","Logan County, NE",45899
"cty51091","Highland County, VA",45894
"cty48261","Kenedy County, TX",45892
"cty48085","Collin County, TX",45886
"cty40049","Garvin County, OK",45883
"cty34041","Warren County, NJ",45878
"cty39123","Ottawa County, OH",45847
"cty18131","Pulaski County, IN",45847
"cty40119","Payne County, OK",45840
"cty24023","Garrett County, MD",45836
"cty18083","Knox County, IN",45800
"cty20005","Atchison County, KS",45799
"cty48331","Milam County, TX",45792
"cty40127","Pushmataha County, OK",45781
"cty42071","Lancaster County, PA",45777
"cty08045","Garfield County, CO",45775
"cty42093","Montour County, PA",45775
"cty19179","Wapello County, IA",45773
"cty55013","Burnett County, WI",45768
"cty17061","Greene County, IL",45764
"cty33015","Rockingham County, NH",45762
"cty40051","Grady County, OK",45756
"cty17033","Crawford County, IL",45743
"cty55053","Jackson County, WI",45742
"cty40085","Love County, OK",45733
"cty21233","Webster County, KY",45708
"cty17093","Kendall County, IL",45706
"cty48247","Jim Hogg County, TX",45698
"cty21039","Carlisle County, KY",45689
"cty19013","Black Hawk County, IA",45686
"cty55129","Washburn County, WI",45681
"cty49007","Carbon County, UT",45675
"cty22097","St. Landry Parish, LA",45673
"cty29139","Montgomery County, MO",45671
"cty09007","Middlesex County, CT",45666
"cty48481","Wharton County, TX",45659
"cty42077","Lehigh County, PA",45652
"cty25027","Worcester County, MA",45647
"cty49053","Washington County, UT",45643
"cty34029","Ocean County, NJ",45643
"cty29117","Livingston County, MO",45637
"cty48409","San Patricio County, TX",45635
"cty48397","Rockwall County, TX",45634
"cty55085","Oneida County, WI",45633
"cty49035","Salt Lake County, UT",45629
"cty42085","Mercer County, PA",45626
"cty06027","Inyo County, CA",45610
"cty16059","Lemhi County, ID",45593
"cty48427","Starr County, TX",45586
"cty17069","Hardin County, IL",45585
"cty06017","El Dorado County, CA",45569
"cty17083","Jersey County, IL",45554
"cty55057","Juneau County, WI",45551
"cty29121","Macon County, MO",45547
"cty50019","Orleans County, VT",45544
"cty55031","Douglas County, WI",45527
"cty55003","Ashland County, WI",45524
"cty40141","Tillman County, OK",45518
"cty29183","St. Charles County, MO",45513
"cty17017","Cass County, IL",45510
"cty12043","Glades County, FL",45502
"cty55139","Winnebago County, WI",45493
"cty48025","Bee County, TX",45493
"cty18171","Warren County, IN",45490
"cty42095","Northampton County, PA",45488
"cty21027","Breckinridge County, KY",45481
"cty18153","Sullivan County, IN",45479
"cty21177","Muhlenberg County, KY",45467
"cty42039","Crawford County, PA",45457
"cty18181","White County, IN",45453
"cty26083","Keweenaw County, MI",45451
"cty22089","St. Charles Parish, LA",45445
"cty08069","Larimer County, CO",45439
"cty19113","Linn County, IA",45432
"cty01075","Lamar County, AL",45429
"cty29163","Pike County, MO",45424
"cty42045","Delaware County, PA",45421
"cty25015","Hampshire County, MA",45412
"cty16087","Washington County, ID",45410
"cty17123","Marshall County, IL",45398
"cty38005","Benson County, ND",45367
"cty55007","Bayfield County, WI",45366
"cty30023","Deer Lodge County, MT",45366
"cty39161","Van Wert County, OH",45363
"cty50027","Windsor County, VT",45357
"cty41055","Sherman County, OR",45349
"cty48163","Frio County, TX",45338
"cty27123","Ramsey County, MN",45324
"cty31109","Lancaster County, NE",45317
"cty36077","Otsego County, NY",45311
"cty48321","Matagorda County, TX",45305
"cty05109","Pike County, AR",45300
"cty25005","Bristol County, MA",45295
"cty54001","Barbour County, WV",45282
"cty01039","Covington County, AL",45282
"cty25001","Barnstable County, MA",45243
"cty48325","Medina County, TX",45243
"cty39125","Paulding County, OH",45240
"cty32033","White Pine County, NV",45240
"cty18179","Wells County, IN",45235
"cty42081","Lycoming County, PA",45235
"cty28041","Greene County, MS",45234
"cty04011","Greenlee County, AZ",45232
"cty26037","Clinton County, MI",45230
"cty39147","Seneca County, OH",45227
"cty20121","Miami County, KS",45219
"cty17101","Lawrence County, IL",45215
"cty09005","Litchfield County, CT",45204
"cty21055","Crittenden County, KY",45193
"cty21171","Monroe County, KY",45183
"cty29011","Barton County, MO",45169
"cty53033","King County, WA",45168
"cty48445","Terry County, TX",45168
"cty50021","Rutland County, VT",45167
"cty48307","McCulloch County, TX",45167
"cty29165","Platte County, MO",45164
"cty08059","Jefferson County, CO",45151
"cty31043","Dakota County, NE",45148
"cty17129","Menard County, IL",45148
"cty05087","Madison County, AR",45144
"cty20161","Riley County, KS",45141
"cty06059","Orange County, CA",45141
"cty36043","Herkimer County, NY",45138
"cty48339","Montgomery County, TX",45133
"cty48157","Fort Bend County, TX",45132
"cty54041","Lewis County, WV",45132
"cty06061","Placer County, CA",45107
"cty19193","Woodbury County, IA",45091
"cty19111","Lee County, IA",45091
"cty33011","Hillsborough County, NH",45083
"cty42103","Pike County, PA",45083
"cty27021","Cass County, MN",45082
"cty30013","Cascade County, MT",45077
"cty47039","Decatur County, TN",45077
"cty17187","Warren County, IL",45073
"cty42003","Allegheny County, PA",45070
"cty18129","Posey County, IN",45070
"cty48035","Bosque County, TX",45068
"cty48353","Nolan County, TX",45066
"cty34039","Union County, NJ",45064
"cty36083","Rensselaer County, NY",45058
"cty22005","Ascension Parish, LA",45051
"cty54049","Marion County, WV",45050
"cty48403","Sabine County, TX",45045
"cty42011","Berks County, PA",45034
"cty17107","Logan County, IL",45026
"cty08077","Mesa County, CO",45017
"cty29185","St. Clair County, MO",45016
"cty26043","Dickinson County, MI",45013
"cty36009","Cattaraugus County, NY",45012
"cty54033","Harrison County, WV",45005
"cty34017","Hudson County, NJ",44995
"cty30049","Lewis and Clark County, MT",44991
"cty18057","Hamilton County, IN",44991
"cty55077","Marquette County, WI",44982
"cty39019","Carroll County, OH",44979
"cty17021","Christian County, IL",44975
"cty48437","Swisher County, TX",44969
"cty42055","Franklin County, PA",44962
"cty32013","Humboldt County, NV",44951
"cty51683","Manassas city, VA",44940
"cty08025","Crowley County, CO",44935
"cty24021","Frederick County, MD",44930
"cty54061","Monongalia County, WV",44929
"cty51678","Lexington city, VA",44928
"cty44009","Washington County, RI",44926
"cty26139","Ottawa County, MI",44926
"cty33007","Coos County, NH",44911
"cty26041","Delta County, MI",44908
"cty18101","Martin County, IN",44899
"cty44003","Kent County, RI",44882
"cty48119","Delta County, TX",44872
"cty53019","Ferry County, WA",44858
"cty56021","Laramie County, WY",44858
"cty53049","Pacific County, WA",44838
"cty29049","Clinton County, MO",44833
"cty18173","Warrick County, IN",44830
"cty42087","Mifflin County, PA",44830
"cty36037","Genesee County, NY",44826
"cty53017","Douglas County, WA",44823
"cty06011","Colusa County, CA",44820
"cty40081","Lincoln County, OK",44815
"cty54069","Ohio County, WV",44814
"cty06005","Amador County, CA",44810
"cty55067","Langlade County, WI",44810
"cty42099","Perry County, PA",44810
"cty06093","Siskiyou County, CA",44809
"cty20079","Harvey County, KS",44809
"cty48279","Lamb County, TX",44809
"cty17165","Saline County, IL",44807
"cty36039","Greene County, NY",44803
"cty19153","Polk County, IA",44801
"cty17005","Bond County, IL",44801
"cty27053","Hennepin County, MN",44800
"cty39173","Wood County, OH",44799
"cty09001","Fairfield County, CT",44798
"cty39103","Medina County, OH",44794
"cty50011","Franklin County, VT",44788
"cty48361","Orange County, TX",44782
"cty48159","Franklin County, TX",44782
"cty48405","San Augustine County, TX",44766
"cty36095","Schoharie County, NY",44766
"cty22041","Franklin Parish, LA",44758
"cty36029","Erie County, NY",44747
"cty36065","Oneida County, NY",44741
"cty29079","Grundy County, MO",44739
"cty48367","Parker County, TX",44738
"cty22027","Claiborne Parish, LA",44735
"cty21149","McLean County, KY",44732
"cty53007","Chelan County, WA",44731
"cty34031","Passaic County, NJ",44728
"cty26119","Montmorency County, MI",44724
"cty31007","Banner County, NE",44719
"cty36093","Schenectady County, NY",44702
"cty17145","Perry County, IL",44697
"cty29089","Howard County, MO",44682
"cty48499","Wood County, TX",44679
"cty18047","Franklin County, IN",44679
"cty08049","Grand County, CO",44672
"cty51157","Rappahannock County, VA",44670
"cty16017","Bonner County, ID",44668
"cty16083","Twin Falls County, ID",44662
"cty50001","Addison County, VT",44659
"cty17099","LaSalle County, IL",44658
"cty48223","Hopkins County, TX",44651
"cty19139","Muscatine County, IA",44649
"cty48091","Comal County, TX",44649
"cty36099","Seneca County, NY",44647
"cty18111","Newton County, IN",44617
"cty15003","Honolulu County, HI",44600
"cty08099","Prowers County, CO",44600
"cty40123","Pontotoc County, OK",44599
"cty48273","Kleberg County, TX",44595
"cty54091","Taylor County, WV",44594
"cty28039","George County, MS",44594
"cty25007","Dukes County, MA",44590
"cty08005","Arapahoe County, CO",44581
"cty55127","Walworth County, WI",44580
"cty08037","Eagle County, CO",44580
"cty21115","Johnson County, KY",44578
"cty53065","Stevens County, WA",44574
"cty55025","Dane County, WI",44573
"cty48401","Rusk County, TX",44570
"cty17141","Ogle County, IL",44568
"cty42013","Blair County, PA",44561
"cty18031","Decatur County, IN",44549
"cty26113","Missaukee County, MI",44539
"cty48465","Val Verde County, TX",44538
"cty35027","Lincoln County, NM",44537
"cty39115","Morgan County, OH",44537
"cty48107","Crosby County, TX",44522
"cty24035","Queen Anne's County, MD",44520
"cty46103","Pennington County, SD",44519
"cty20099","Labette County, KS",44514
"cty53025","Grant County, WA",44503
"cty16045","Gem County, ID",44495
"cty34015","Gloucester County, NJ",44495
"cty18121","Parke County, IN",44483
"cty48469","Victoria County, TX",44481
"cty39149","Shelby County, OH",44475
"cty22049","Jackson Parish, LA",44473
"cty16009","Benewah County, ID",44463
"cty53073","Whatcom County, WA",44463
"cty36027","Dutchess County, NY",44463
"cty48463","Uvalde County, TX",44451
"cty26151","Sanilac County, MI",44448
"cty36089","St. Lawrence County, NY",44446
"cty41025","Harney County, OR",44444
"cty40027","Cleveland County, OK",44440
"cty17037","DeKalb County, IL",44435
"cty21225","Union County, KY",44434
"cty50007","Chittenden County, VT",44431
"cty36051","Livingston County, NY",44430
"cty22053","Jefferson Davis Parish, LA",44419
"cty26103","Marquette County, MI",44408
"cty36053","Madison County, NY",44397
"cty30029","Flathead County, MT",44393
"cty36057","Montgomery County, NY",44392
"cty51141","Patrick County, VA",44390
"cty48441","Taylor County, TX",44380
"cty40091","McIntosh County, OK",44367
"cty21185","Oldham County, KY",44367
"cty20037","Crawford County, KS",44366
"cty36101","Steuben County, NY",44365
"cty16085","Valley County, ID",44364
"cty49057","Weber County, UT",44363
"cty48491","Williamson County, TX",44360
"cty29053","Cooper County, MO",44355
"cty08027","Custer County, CO",44353
"cty50005","Caledonia County, VT",44353
"cty29001","Adair County, MO",44326
"cty48121","Denton County, TX",44320
"cty18045","Fountain County, IN",44320
"cty29081","Harrison County, MO",44316
"cty05129","Searcy County, AR",44314
"cty26011","Arenac County, MI",44313
"cty29173","Ralls County, MO",44312
"cty48007","Aransas County, TX",44309
"cty26089","Leelanau County, MI",44305
"cty08123","Weld County, CO",44302
"cty36069","Ontario County, NY",44299
"cty36123","Yates County, NY",44296
"cty21123","Larue County, KY",44288
"cty30063","Missoula County, MT",44285
"cty08097","Pitkin County, CO",44281
"cty20107","Linn County, KS",44281
"cty51085","Hanover County, VA",44279
"cty42133","York County, PA",44276
"cty53061","Snohomish County, WA",44275
"cty19155","Pottawattamie County, IA",44273
"cty24037","St. Mary's County, MD",44265
"cty06001","Alameda County, CA",44262
"cty29013","Bates County, MO",44256
"cty36031","Essex County, NY",44251
"cty55137","Waushara County, WI",44247
"cty47137","Pickett County, TN",44237
"cty08013","Boulder County, CO",44226
"cty05141","Van Buren County, AR",44226
"cty36113","Warren County, NY",44226
"cty06109","Tuolumne County, CA",44208
"cty19057","Des Moines County, IA",44205
"cty48079","Cochran County, TX",44192
"cty16019","Bonneville County, ID",44191
"cty22087","St. Bernard Parish, LA",44189
"cty22003","Allen Parish, LA",44177
"cty17195","Whiteside County, IL",44175
"cty24009","Calvert County, MD",44171
"cty39085","Lake County, OH",44170
"cty01057","Fayette County, AL",44170
"cty08109","Saguache County, CO",44166
"cty40079","Le Flore County, OK",44163
"cty23021","Piscataquis County, ME",44163
"cty28091","Marion County, MS",44159
"cty32005","Douglas County, NV",44144
"cty51199","York County, VA",44143
"cty13113","Fayette County, GA",44136
"cty29131","Miller County, MO",44133
"cty40131","Rogers County, OK",44128
"cty16073","Owyhee County, ID",44120
"cty39171","Williams County, OH",44111
"cty29051","Cole County, MO",44108
"cty53047","Okanogan County, WA",44102
"cty33009","Grafton County, NH",44080
"cty23003","Aroostook County, ME",44072
"cty19163","Scott County, IA",44066
"cty40083","Logan County, OK",44062
"cty29083","Henry County, MO",44055
"cty41001","Baker County, OR",44047
"cty02100","Haines Borough, AK",44034
"cty33003","Carroll County, NH",44028
"cty06013","Contra Costa County, CA",44025
"cty18099","Marshall County, IN",44016
"cty48221","Hood County, TX",44000
"cty28155","Webster County, MS",43998
"cty18049","Fulton County, IN",43984
"cty48241","Jasper County, TX",43982
"cty51171","Shenandoah County, VA",43979
"cty55051","Iron County, WI",43977
"cty18015","Carroll County, IN",43976
"cty06097","Sonoma County, CA",43973
"cty18063","Hendricks County, IN",43971
"cty48379","Rains County, TX",43960
"cty40071","Kay County, OK",43957
"cty36019","Clinton County, NY",43947
"cty44007","Providence County, RI",43943
"cty40105","Nowata County, OK",43932
"cty08093","Park County, CO",43914
"cty20057","Ford County, KS",43914
"cty22011","Beauregard Parish, LA",43911
"cty51043","Clarke County, VA",43908
"cty20059","Franklin County, KS",43905
"cty48049","Brown County, TX",43900
"cty48429","Stephens County, TX",43892
"cty21059","Daviess County, KY",43888
"cty41061","Union County, OR",43886
"cty34009","Cape May County, NJ",43886
"cty36021","Columbia County, NY",43880
"cty23031","York County, ME",43878
"cty48387","Red River County, TX",43874
"cty18139","Rush County, IN",43868
"cty20155","Reno County, KS",43866
"cty39169","Wayne County, OH",43862
"cty20093","Kearny County, KS",43860
"cty54103","Wetzel County, WV",43859
"cty21033","Caldwell County, KY",43856
"cty06079","San Luis Obispo County, CA",43847
"cty36023","Cortland County, NY",43844
"cty36033","Franklin County, NY",43840
"cty51153","Prince William County, VA",43838
"cty18127","Porter County, IN",43833
"cty17113","McLean County, IL",43824
"cty21183","Ohio County, KY",43820
"cty05133","Sevier County, AR",43813
"cty06113","Yolo County, CA",43807
"cty16003","Adams County, ID",43805
"cty47187","Williamson County, TN",43804
"cty48459","Upshur County, TX",43799
"cty51570","Colonial Heights city, VA",43794
"cty17045","Edgar County, IL",43793
"cty18183","Whitley County, IN",43790
"cty20021","Cherokee County, KS",43788
"cty54057","Mineral County, WV",43787
"cty48229","Hudspeth County, TX",43779
"cty50013","Grand Isle County, VT",43776
"cty47027","Clay County, TN",43764
"cty30037","Golden Valley County, MT",43759
"cty20015","Butler County, KS",43743
"cty17055","Franklin County, IL",43741
"cty40061","Haskell County, OK",43739
"cty22055","Lafayette Parish, LA",43734
"cty39005","Ashland County, OH",43734
"cty20169","Saline County, KS",43733
"cty48217","Hill County, TX",43729
"cty53029","Island County, WA",43726
"cty22063","Livingston Parish, LA",43726
"cty48467","Van Zandt County, TX",43723
"cty35003","Catron County, NM",43722
"cty17181","Union County, IL",43721
"cty24001","Allegany County, MD",43714
"cty72015","Arroyo Municipio, PR",43713
"cty17087","Johnson County, IL",43709
"cty48299","Llano County, TX",43704
"cty28125","Sharkey County, MS",43703
"cty16055","Kootenai County, ID",43698
"cty39083","Knox County, OH",43697
"cty08071","Las Animas County, CO",43696
"cty51159","Richmond County, VA",43689
"cty30047","Lake County, MT",43688
"cty47159","Smith County, TN",43675
"cty40147","Washington County, OK",43668
"cty40015","Caddo County, OK",43667
"cty20001","Allen County, KS",43657
"cty51165","Rockingham County, VA",43647
"cty48291","Liberty County, TX",43646
"cty39039","Defiance County, OH",43645
"cty12067","Lafayette County, FL",43635
"cty48265","Kerr County, TX",43633
"cty20191","Sumner County, KS",43622
"cty40013","Bryan County, OK",43618
"cty53005","Benton County, WA",43616
"cty39167","Washington County, OH",43613
"cty36011","Cayuga County, NY",43611
"cty36115","Washington County, NY",43609
"cty23007","Franklin County, ME",43607
"cty05029","Conway County, AR",43606
"cty48457","Tyler County, TX",43605
"cty22099","St. Martin Parish, LA",43601
"cty54063","Monroe County, WV",43596
"cty36111","Ulster County, NY",43591
"cty29177","Ray County, MO",43587
"cty08007","Archuleta County, CO",43579
"cty41003","Benton County, OR",43577
"cty17057","Fulton County, IL",43576
"cty39059","Guernsey County, OH",43575
"cty41027","Hood River County, OR",43574
"cty44005","Newport County, RI",43561
"cty36071","Orange County, NY",43559
"cty29039","Cedar County, MO",43558
"cty08089","Otero County, CO",43539
"cty48489","Willacy County, TX",43539
"cty06101","Sutter County, CA",43537
"cty40019","Carter County, OK",43537
"cty29179","Reynolds County, MO",43537
"cty05145","White County, AR",43534
"cty16013","Blaine County, ID",43526
"cty05009","Boone County, AR",43526
"cty33013","Merrimack County, NH",43522
"cty21165","Menifee County, KY",43509
"cty54087","Roane County, WV",43506
"cty20055","Finney County, KS",43502
"cty40117","Pawnee County, OK",43499
"cty25011","Franklin County, MA",43495
"cty42123","Warren County, PA",43491
"cty05013","Calhoun County, AR",43471
"cty18061","Harrison County, IN",43468
"cty22043","Grant Parish, LA",43459
"cty21087","Green County, KY",43456
"cty53057","Skagit County, WA",43454
"cty36045","Jefferson County, NY",43453
"cty36013","Chautauqua County, NY",43449
"cty06091","Sierra County, CA",43449
"cty29037","Cass County, MO",43448
"cty39041","Delaware County, OH",43441
"cty54023","Grant County, WV",43436
"cty36003","Allegany County, NY",43435
"cty01129","Washington County, AL",43432
"cty21007","Ballard County, KY",43419
"cty29065","Dent County, MO",43414
"cty08085","Montrose County, CO",43407
"cty06055","Napa County, CA",43403
"cty18113","Noble County, IN",43398
"cty39029","Columbiana County, OH",43396
