"cty","Name","Household_Income_rP_gP_p75"
"cty31179","Wayne County, NE",65828
"cty22107","Tensas Parish, LA",65798
"cty27113","Pennington County, MN",65735
"cty19105","Jones County, IA",65671
"cty31159","Seward County, NE",65653
"cty31103","Keya Paha County, NE",65590
"cty46045","Edmunds County, SD",65589
"cty48207","Haskell County, TX",65571
"cty20183","Smith County, KS",65560
"cty27119","Polk County, MN",65559
"cty19031","Cedar County, IA",65556
"cty48377","Presidio County, TX",65515
"cty20203","Wichita County, KS",65502
"cty19173","Taylor County, IA",65475
"cty31045","Dawes County, NE",65452
"cty08115","Sedgwick County, CO",65451
"cty46015","Brule County, SD",65446
"cty56015","Goshen County, WY",65432
"cty35011","De Baca County, NM",65426
"cty27027","Clay County, MN",65387
"cty20117","Marshall County, KS",65358
"cty27079","Le Sueur County, MN",65313
"cty55091","Pepin County, WI",65307
"cty48399","Runnels County, TX",65280
"cty19089","Howard County, IA",65280
"cty17027","Clinton County, IL",65280
"cty27067","Kandiyohi County, MN",65273
"cty27111","Otter Tail County, MN",65230
"cty19185","Wayne County, IA",65218
"cty46091","Marshall County, SD",65187
"cty40067","Jefferson County, OK",65159
"cty31121","Merrick County, NE",65152
"cty22057","Lafourche Parish, LA",65112
"cty38095","Towner County, ND",65087
"cty20145","Pawnee County, KS",65047
"cty20147","Phillips County, KS",65019
"cty48421","Sherman County, TX",65015
"cty38067","Pembina County, ND",65008
"cty29227","Worth County, MO",64988
"cty17049","Effingham County, IL",64956
"cty31127","Nemaha County, NE",64956
"cty19097","Jackson County, IA",64947
"cty20119","Meade County, KS",64927
"cty27145","Stearns County, MN",64926
"cty20019","Chautauqua County, KS",64876
"cty27085","McLeod County, MN",64860
"cty19059","Dickinson County, IA",64851
"cty48501","Yoakum County, TX",64843
"cty19063","Emmet County, IA",64809
"cty40099","Murray County, OK",64789
"cty27135","Roseau County, MN",64769
"cty53001","Adams County, WA",64712
"cty19019","Buchanan County, IA",64680
"cty46067","Hutchinson County, SD",64668
"cty55011","Buffalo County, WI",64667
"cty42113","Sullivan County, PA",64650
"cty31023","Butler County, NE",64634
"cty27093","Meeker County, MN",64589
"cty48169","Garza County, TX",64584
"cty48503","Young County, TX",64583
"cty31035","Clay County, NE",64509
"cty31033","Cheyenne County, NE",64507
"cty48051","Burleson County, TX",64480
"cty08063","Kit Carson County, CO",64477
"cty46095","Mellette County, SD",64450
"cty20205","Wilson County, KS",64448
"cty36059","Nassau County, NY",64422
"cty29033","Carroll County, MO",64420
"cty55043","Grant County, WI",64388
"cty48009","Archer County, TX",64387
"cty27091","Martin County, MN",64385
"cty19095","Iowa County, IA",64364
"cty19081","Hancock County, IA",64318
"cty29147","Nodaway County, MO",64315
"cty30105","Valley County, MT",64309
"cty20043","Doniphan County, KS",64281
"cty30073","Pondera County, MT",64206
"cty48505","Zapata County, TX",64166
"cty27051","Grant County, MN",64165
"cty48275","Knox County, TX",64128
"cty19195","Worth County, IA",64107
"cty20187","Stanton County, KS",64089
"cty48405","San Augustine County, TX",64071
"cty48329","Midland County, TX",64069
"cty19071","Fremont County, IA",64057
"cty27153","Todd County, MN",64055
"cty31031","Cherry County, NE",64015
"cty27049","Goodhue County, MN",64004
"cty20051","Ellis County, KS",64004
"cty31119","Madison County, NE",63983
"cty19145","Page County, IA",63889
"cty22039","Evangeline Parish, LA",63887
"cty55119","Taylor County, WI",63881
"cty40093","Major County, OK",63879
"cty55061","Kewaunee County, WI",63869
"cty29186","Ste. Genevieve County, MO",63867
"cty34003","Bergen County, NJ",63857
"cty48391","Refugio County, TX",63857
"cty31061","Franklin County, NE",63852
"cty42021","Cambria County, PA",63851
"cty55093","Pierce County, WI",63821
"cty48287","Lee County, TX",63818
"cty48205","Hartley County, TX",63802
"cty31001","Adams County, NE",63798
"cty17079","Jasper County, IL",63780
"cty21039","Carlisle County, KY",63752
"cty40069","Johnston County, OK",63733
"cty19085","Harrison County, IA",63709
"cty27161","Waseca County, MN",63707
"cty27095","Mille Lacs County, MN",63692
"cty49001","Beaver County, UT",63686
"cty46005","Beadle County, SD",63678
"cty42053","Forest County, PA",63675
"cty19157","Poweshiek County, IA",63670
"cty48365","Panola County, TX",63668
"cty08075","Logan County, CO",63651
"cty31049","Deuel County, NE",63640
"cty42005","Armstrong County, PA",63640
"cty22021","Caldwell Parish, LA",63636
"cty27005","Becker County, MN",63614
"cty38039","Griggs County, ND",63607
"cty46115","Spink County, SD",63601
"cty27157","Wabasha County, MN",63590
"cty54013","Calhoun County, WV",63569
"cty48411","San Saba County, TX",63564
"cty17025","Clay County, IL",63551
"cty28125","Sharkey County, MS",63542
"cty38017","Cass County, ND",63536
"cty46029","Codington County, SD",63489
"cty27039","Dodge County, MN",63474
"cty55019","Clark County, WI",63473
"cty54077","Preston County, WV",63470
"cty28019","Choctaw County, MS",63463
"cty48045","Briscoe County, TX",63458
"cty19041","Clay County, IA",63442
"cty40043","Dewey County, OK",63441
"cty19079","Hamilton County, IA",63419
"cty19029","Cass County, IA",63411
"cty46135","Yankton County, SD",63410
"cty30017","Custer County, MT",63390
"cty31177","Washington County, NE",63385
"cty27023","Chippewa County, MN",63378
"cty31051","Dixon County, NE",63346
"cty48017","Bailey County, TX",63343
"cty19117","Lucas County, IA",63336
"cty49029","Morgan County, UT",63280
"cty22025","Catahoula Parish, LA",63240
"cty34027","Morris County, NJ",63239
"cty46011","Brookings County, SD",63212
"cty27019","Carver County, MN",63188
"cty19039","Clarke County, IA",63187
"cty17189","Washington County, IL",63182
"cty55107","Rusk County, WI",63117
"cty48211","Hemphill County, TX",63117
"cty56005","Campbell County, WY",63096
"cty29041","Chariton County, MO",63094
"cty40045","Ellis County, OK",63054
"cty20185","Stafford County, KS",63039
"cty48103","Crane County, TX",63039
"cty27001","Aitkin County, MN",63037
"cty27147","Steele County, MN",63037
"cty55015","Calumet County, WI",63035
"cty22027","Claiborne Parish, LA",63035
"cty48239","Jackson County, TX",63016
"cty19069","Franklin County, IA",62995
"cty18007","Benton County, IN",62987
"cty17059","Gallatin County, IL",62972
"cty22009","Avoyelles Parish, LA",62968
"cty54085","Ritchie County, WV",62931
"cty30091","Sheridan County, MT",62894
"cty19125","Marion County, IA",62894
"cty20189","Stevens County, KS",62879
"cty20009","Barton County, KS",62873
"cty20113","McPherson County, KS",62872
"cty40039","Custer County, OK",62867
"cty36041","Hamilton County, NY",62861
"cty55047","Green Lake County, WI",62835
"cty20085","Jackson County, KS",62831
"cty20157","Republic County, KS",62817
"cty46013","Brown County, SD",62804
"cty16037","Custer County, ID",62798
"cty17149","Pike County, IL",62787
"cty36079","Putnam County, NY",62770
"cty48193","Hamilton County, TX",62767
"cty22041","Franklin Parish, LA",62733
"cty31053","Dodge County, NE",62700
"cty56041","Uinta County, WY",62697
"cty27155","Traverse County, MN",62686
"cty48415","Scurry County, TX",62645
"cty08073","Lincoln County, CO",62630
"cty16007","Bear Lake County, ID",62630
"cty17009","Brown County, IL",62627
"cty31099","Kearney County, NE",62625
"cty48477","Washington County, TX",62621
"cty48135","Ector County, TX",62611
"cty48481","Wharton County, TX",62601
"cty27055","Houston County, MN",62572
"cty19197","Wright County, IA",62564
"cty25021","Norfolk County, MA",62562
"cty17071","Henderson County, IL",62550
"cty30071","Phillips County, MT",62539
"cty31013","Box Butte County, NE",62537
"cty20109","Logan County, KS",62533
"cty17157","Randolph County, IL",62509
"cty48219","Hockley County, TX",62501
"cty55123","Vernon County, WI",62485
"cty42111","Somerset County, PA",62471
"cty27169","Winona County, MN",62468
"cty18147","Spencer County, IN",62437
"cty53023","Garfield County, WA",62424
"cty46083","Lincoln County, SD",62386
"cty48117","Deaf Smith County, TX",62385
"cty42063","Indiana County, PA",62374
"cty39121","Noble County, OH",62367
"cty55049","Iowa County, WI",62363
"cty19011","Benton County, IA",62361
"cty27009","Benton County, MN",62354
"cty39111","Monroe County, OH",62350
"cty38035","Grand Forks County, ND",62336
"cty17171","Scott County, IL",62336
"cty49031","Piute County, UT",62334
"cty42031","Clarion County, PA",62288
"cty19169","Story County, IA",62279
"cty48317","Martin County, TX",62265
"cty18125","Pike County, IN",62262
"cty40007","Beaver County, OK",62239
"cty40095","Marshall County, OK",62222
"cty29115","Linn County, MO",62216
"cty48289","Leon County, TX",62214
"cty46063","Harding County, SD",62201
"cty46127","Union County, SD",62156
"cty20017","Chase County, KS",62137
"cty31069","Garden County, NE",62129
"cty29005","Atchison County, MO",62106
"cty48047","Brooks County, TX",62105
"cty40153","Woodward County, OK",62091
"cty27103","Nicollet County, MN",62046
"cty39013","Belmont County, OH",62025
"cty56013","Fremont County, WY",62019
"cty48015","Austin County, TX",62001
"cty48075","Childress County, TX",61977
"cty17067","Hancock County, IL",61969
"cty31047","Dawson County, NE",61966
"cty40149","Washita County, OK",61950
"cty54007","Braxton County, WV",61948
"cty19015","Boone County, IA",61948
"cty48151","Fisher County, TX",61932
"cty01039","Covington County, AL",61898
"cty56045","Weston County, WY",61894
"cty19175","Union County, IA",61892
"cty29045","Clark County, MO",61861
"cty26061","Houghton County, MI",61859
"cty29151","Osage County, MO",61848
"cty20069","Gray County, KS",61846
"cty20047","Edwards County, KS",61843
"cty48171","Gillespie County, TX",61841
"cty48177","Gonzales County, TX",61832
"cty42107","Schuylkill County, PA",61825
"cty51059","Fairfax County, VA",61788
"cty17191","Wayne County, IL",61769
"cty17065","Hamilton County, IL",61763
"cty55121","Trempealeau County, WI",61733
"cty19007","Appanoose County, IA",61729
"cty49027","Millard County, UT",61686
"cty36085","Richmond County, NY",61676
"cty55039","Fond du Lac County, WI",61675
"cty48333","Mills County, TX",61665
"cty19183","Washington County, IA",61664
"cty26053","Gogebic County, MI",61642
"cty29117","Livingston County, MO",61639
"cty31147","Richardson County, NE",61631
"cty30101","Toole County, MT",61630
"cty48261","Kenedy County, TX",61623
"cty39011","Auglaize County, OH",61614
"cty30011","Carter County, MT",61585
"cty31161","Sheridan County, NE",61581
"cty20025","Clark County, KS",61570
"cty38005","Benson County, ND",61558
"cty17135","Montgomery County, IL",61556
"cty19123","Mahaska County, IA",61551
"cty20151","Pratt County, KS",61542
"cty17173","Shelby County, IL",61538
"cty06051","Mono County, CA",61527
"cty42105","Potter County, PA",61516
"cty42129","Westmoreland County, PA",61509
"cty39157","Tuscarawas County, OH",61467
"cty19187","Webster County, IA",61466
"cty20163","Rooks County, KS",61463
"cty46019","Butte County, SD",61440
"cty31019","Buffalo County, NE",61431
"cty16067","Minidoka County, ID",61396
"cty40047","Garfield County, OK",61393
"cty42051","Fayette County, PA",61392
"cty19177","Van Buren County, IA",61390
"cty08095","Phillips County, CO",61327
"cty19137","Montgomery County, IA",61327
"cty48419","Shelby County, TX",61325
"cty20143","Ottawa County, KS",61304
"cty17185","Wabash County, IL",61299
"cty20067","Grant County, KS",61297
"cty55023","Crawford County, WI",61289
"cty42009","Bedford County, PA",61263
"cty31131","Otoe County, NE",61257
"cty31101","Keith County, NE",61198
"cty54101","Webster County, WV",61181
"cty20029","Cloud County, KS",61177
"cty22001","Acadia Parish, LA",61172
"cty21229","Washington County, KY",61162
"cty29057","Dade County, MO",61152
"cty22085","Sabine Parish, LA",61143
"cty27047","Freeborn County, MN",61143
"cty27007","Beltrami County, MN",61133
"cty16065","Madison County, ID",61122
"cty56023","Lincoln County, WY",61120
"cty42125","Washington County, PA",61115
"cty46101","Moody County, SD",61096
"cty27115","Pine County, MN",61086
"cty19133","Monona County, IA",61052
"cty48065","Carson County, TX",61052
"cty42047","Elk County, PA",61050
"cty20027","Clay County, KS",61049
"cty31145","Red Willow County, NE",61043
"cty48233","Hutchinson County, TX",61041
"cty17101","Lawrence County, IL",61029
"cty55089","Ozaukee County, WI",61011
"cty55005","Barron County, WI",61001
"cty19033","Cerro Gordo County, IA",60995
"cty29157","Perry County, MO",60975
"cty20181","Sherman County, KS",60933
"cty08087","Morgan County, CO",60930
"cty39069","Henry County, OH",60929
"cty30085","Roosevelt County, MT",60921
"cty18123","Perry County, IN",60914
"cty22023","Cameron Parish, LA",60911
"cty56025","Natrona County, WY",60909
"cty38087","Slope County, ND",60892
"cty19181","Warren County, IA",60892
"cty48179","Gray County, TX",60888
"cty17159","Richland County, IL",60863
"cty08025","Crowley County, CO",60862
"cty31157","Scotts Bluff County, NE",60859
"cty17073","Henry County, IL",60855
"cty55033","Dunn County, WI",60852
"cty27139","Scott County, MN",60849
"cty48071","Chambers County, TX",60845
"cty20095","Kingman County, KS",60845
"cty48097","Cooke County, TX",60830
"cty40127","Pushmataha County, OK",60826
"cty31063","Frontier County, NE",60824
"cty48425","Somervell County, TX",60798
"cty20137","Norton County, KS",60787
"cty30015","Chouteau County, MT",60783
"cty54017","Doddridge County, WV",60768
"cty53013","Columbia County, WA",60757
"cty48227","Howard County, TX",60743
"cty19087","Henry County, IA",60741
"cty20179","Sheridan County, KS",60727
"cty17203","Woodford County, IL",60722
"cty27099","Mower County, MN",60693
"cty48323","Maverick County, TX",60680
"cty27131","Rice County, MN",60659
"cty54071","Pendleton County, WV",60658
"cty27163","Washington County, MN",60651
"cty17001","Adams County, IL",60633
"cty06049","Modoc County, CA",60617
"cty48161","Freestone County, TX",60617
"cty17011","Bureau County, IL",60607
"cty21165","Menifee County, KY",60606
"cty17131","Mercer County, IL",60605
"cty20149","Pottawatomie County, KS",60602
"cty31155","Saunders County, NE",60586
"cty25017","Middlesex County, MA",60578
"cty55069","Lincoln County, WI",60572
"cty27037","Dakota County, MN",60561
"cty31079","Hall County, NE",60545
"cty20005","Atchison County, KS",60542
"cty29063","DeKalb County, MO",60533
"cty19135","Monroe County, IA",60526
"cty17133","Monroe County, IL",60522
"cty19053","Decatur County, IA",60515
"cty28091","Marion County, MS",60502
"cty19179","Wapello County, IA",60490
"cty41037","Lake County, OR",60470
"cty17109","McDonough County, IL",60449
"cty48337","Montague County, TX",60442
"cty55131","Washington County, WI",60414
"cty27171","Wright County, MN",60407
"cty17175","Stark County, IL",60406
"cty22097","St. Landry Parish, LA",60385
"cty47039","Decatur County, TN",60385
"cty18001","Adams County, IN",60381
"cty48083","Coleman County, TX",60378
"cty20077","Harper County, KS",60367
"cty36087","Rockland County, NY",60352
"cty54051","Marshall County, WV",60347
"cty19049","Dallas County, IA",60337
"cty27159","Wadena County, MN",60332
"cty31083","Harlan County, NE",60317
"cty20111","Lyon County, KS",60311
"cty42067","Juniata County, PA",60294
"cty46099","Minnehaha County, SD",60292
"cty27013","Blue Earth County, MN",60288
"cty22113","Vermilion Parish, LA",60287
"cty18153","Sullivan County, IN",60271
"cty56003","Big Horn County, WY",60270
"cty55073","Marathon County, WI",60228
"cty55109","St. Croix County, WI",60217
"cty30093","Silver Bow County, MT",60203
"cty51141","Patrick County, VA",60198
"cty42065","Jefferson County, PA",60175
"cty55071","Manitowoc County, WI",60158
"cty48077","Clay County, TX",60157
"cty49015","Emery County, UT",60138
"cty42109","Snyder County, PA",60110
"cty42059","Greene County, PA",60098
"cty29171","Putnam County, MO",60094
"cty55087","Outagamie County, WI",60085
"cty19045","Clinton County, IA",60044
"cty42091","Montgomery County, PA",60018
"cty55045","Green County, WI",60007
"cty27075","Lake County, MN",60000
"cty53075","Whitman County, WA",59987
"cty48445","Terry County, TX",59964
"cty16035","Clearwater County, ID",59962
"cty17075","Iroquois County, IL",59961
"cty17169","Schuyler County, IL",59960
"cty55141","Wood County, WI",59957
"cty55017","Chippewa County, WI",59954
"cty17017","Cass County, IL",59950
"cty51159","Richmond County, VA",59938
"cty46081","Lawrence County, SD",59935
"cty54021","Gilmer County, WV",59915
"cty39161","Van Wert County, OH",59911
"cty34023","Middlesex County, NJ",59908
"cty17043","DuPage County, IL",59905
"cty36049","Lewis County, NY",59887
"cty42085","Mercer County, PA",59880
"cty27065","Kanabec County, MN",59879
"cty34019","Hunterdon County, NJ",59875
"cty19127","Marshall County, IA",59873
"cty08061","Kiowa County, CO",59872
"cty48133","Eastland County, TX",59867
"cty40091","McIntosh County, OK",59864
"cty30057","Madison County, MT",59863
"cty42019","Butler County, PA",59863
"cty05109","Pike County, AR",59832
"cty49039","Sanpete County, UT",59829
"cty17051","Fayette County, IL",59826
"cty48035","Bosque County, TX",59798
"cty27057","Hubbard County, MN",59779
"cty42073","Lawrence County, PA",59771
"cty20097","Kiowa County, KS",59769
"cty21171","Monroe County, KY",59764
"cty17085","Jo Daviess County, IL",59761
"cty16041","Franklin County, ID",59756
"cty27061","Itasca County, MN",59740
"cty46047","Fall River County, SD",59740
"cty17053","Ford County, IL",59732
"cty20105","Lincoln County, KS",59722
