"cty","Name","Household_Income_rP_gP_p75"
"cty48311","McMullen County, TX",129257
"cty31171","Thomas County, NE",101374
"cty48101","Cottle County, TX",99469
"cty38013","Burke County, ND",94537
"cty48433","Stonewall County, TX",92812
"cty48431","Sterling County, TX",92593
"cty30107","Wheatland County, MT",91545
"cty20063","Gove County, KS",86599
"cty46059","Hand County, SD",85702
"cty38033","Golden Valley County, ND",85569
"cty48081","Coke County, TX",84829
"cty46021","Campbell County, SD",84700
"cty20033","Comanche County, KS",83915
"cty38007","Billings County, ND",83910
"cty38083","Sheridan County, ND",83030
"cty48033","Borden County, TX",82273
"cty48327","Menard County, TX",82255
"cty38031","Foster County, ND",82243
"cty48095","Concho County, TX",81995
"cty38023","Divide County, ND",81911
"cty49009","Daggett County, UT",81785
"cty38043","Kidder County, ND",81461
"cty38069","Pierce County, ND",81341
"cty31075","Grant County, NE",80671
"cty38001","Adams County, ND",80436
"cty40129","Roger Mills County, OK",80237
"cty48461","Upton County, TX",80014
"cty31085","Hayes County, NE",79585
"cty31027","Cedar County, NE",79411
"cty46097","Miner County, SD",79271
"cty31011","Boone County, NE",79214
"cty46007","Bennett County, SD",79126
"cty41069","Wheeler County, OR",78709
"cty48413","Schleicher County, TX",78664
"cty27081","Lincoln County, MN",78524
"cty31169","Thayer County, NE",78519
"cty20083","Hodgeman County, KS",78334
"cty46031","Corson County, SD",78037
"cty48285","Lavaca County, TX",77975
"cty48483","Wheeler County, TX",77950
"cty38053","McKenzie County, ND",77628
"cty38065","Oliver County, ND",77564
"cty72097","Mayaguez Municipio, PR",77260
"cty38025","Dunn County, ND",77198
"cty46075","Jones County, SD",77092
"cty38061","Mountrail County, ND",76905
"cty31039","Cuming County, NE",76846
"cty38089","Stark County, ND",76843
"cty38075","Renville County, ND",76803
"cty31003","Antelope County, NE",76662
"cty48105","Crockett County, TX",76563
"cty20131","Nemaha County, KS",76531
"cty19147","Palo Alto County, IA",76394
"cty38045","LaMoure County, ND",76376
"cty19009","Audubon County, IA",76373
"cty20165","Rush County, KS",76341
"cty31165","Sioux County, NE",76117
"cty08111","San Juan County, CO",76109
"cty31059","Fillmore County, NE",75948
"cty31073","Gosper County, NE",75927
"cty30075","Powder River County, MT",75818
"cty38021","Dickey County, ND",75702
"cty20199","Wallace County, KS",75360
"cty38105","Williams County, ND",75255
"cty48173","Glasscock County, TX",75244
"cty46003","Aurora County, SD",74923
"cty38037","Grant County, ND",74896
"cty48195","Hansford County, TX",74676
"cty30055","McCone County, MT",74492
"cty48137","Edwards County, TX",74466
"cty31115","Loup County, NE",74414
"cty38029","Emmons County, ND",74379
"cty38055","McLean County, ND",74359
"cty38049","McHenry County, ND",74247
"cty31149","Rock County, NE",74181
"cty30019","Daniels County, MT",73986
"cty38019","Cavalier County, ND",73902
"cty27101","Murray County, MN",73821
"cty19151","Pocahontas County, IA",73809
"cty38009","Bottineau County, ND",73770
"cty19109","Kossuth County, IA",73645
"cty46049","Faulk County, SD",73610
"cty48383","Reagan County, TX",73553
"cty19027","Carroll County, IA",73540
"cty38091","Steele County, ND",73507
"cty31095","Jefferson County, NE",73395
"cty31065","Furnas County, NE",73378
"cty46025","Clark County, SD",73371
"cty20135","Ness County, KS",73360
"cty38097","Traill County, ND",73230
"cty38011","Bowman County, ND",73203
"cty46055","Haakon County, SD",73144
"cty31181","Webster County, NE",73074
"cty38057","Mercer County, ND",72972
"cty46111","Sanborn County, SD",72955
"cty46087","McCook County, SD",72887
"cty19167","Sioux County, IA",72832
"cty38081","Sargent County, ND",72701
"cty20053","Ellsworth County, KS",72620
"cty31017","Brown County, NE",72604
"cty31135","Perkins County, NE",72579
"cty40057","Harmon County, OK",72550
"cty30061","Mineral County, MT",72415
"cty27133","Rock County, MN",72212
"cty48191","Hall County, TX",72179
"cty27149","Stevens County, MN",72178
"cty46073","Jerauld County, SD",72143
"cty31129","Nuckolls County, NE",72115
"cty19037","Chickasaw County, IA",72064
"cty40003","Alfalfa County, OK",72016
"cty31183","Wheeler County, NE",71981
"cty38027","Eddy County, ND",71940
"cty46089","McPherson County, SD",71906
"cty46061","Hanson County, SD",71855
"cty19091","Humboldt County, IA",71700
"cty31175","Valley County, NE",71700
"cty38073","Ransom County, ND",71623
"cty20195","Trego County, KS",71554
"cty38103","Wells County, ND",71463
"cty27125","Red Lake County, MN",71411
"cty19119","Lyon County, IA",71319
"cty27073","Lac qui Parle County, MN",71253
"cty38077","Richland County, ND",71236
"cty27069","Kittson County, MN",71184
"cty56011","Crook County, WY",71161
"cty31163","Sherman County, NE",71137
"cty46129","Walworth County, SD",71008
"cty27173","Yellow Medicine County, MN",70999
"cty31089","Holt County, NE",70994
"cty19021","Buena Vista County, IA",70986
"cty35021","Harding County, NM",70953
"cty48357","Ochiltree County, TX",70886
"cty38051","McIntosh County, ND",70852
"cty19131","Mitchell County, IA",70795
"cty30059","Meagher County, MT",70780
"cty22059","LaSalle Parish, LA",70767
"cty27011","Big Stone County, MN",70765
"cty31077","Greeley County, NE",70754
"cty46053","Gregory County, SD",70697
"cty30083","Richland County, MT",70693
"cty48335","Mitchell County, TX",70675
"cty19141","O'Brien County, IA",70640
"cty46043","Douglas County, SD",70627
"cty38059","Morton County, ND",70593
"cty46069","Hyde County, SD",70554
"cty46051","Grant County, SD",70343
"cty40053","Grant County, OK",70336
"cty19083","Hardin County, IA",70251
"cty46071","Jackson County, SD",70249
"cty19161","Sac County, IA",70249
"cty20201","Washington County, KS",70213
"cty31093","Howard County, NE",70089
"cty27167","Wilkin County, MN",70042
"cty19047","Crawford County, IA",69795
"cty48255","Karnes County, TX",69764
"cty48237","Jack County, TX",69755
"cty46037","Day County, SD",69753
"cty16061","Lewis County, ID",69739
"cty48165","Gaines County, TX",69686
"cty27151","Swift County, MN",69582
"cty20089","Jewell County, KS",69581
"cty19023","Butler County, IA",69498
"cty08103","Rio Blanco County, CO",69457
"cty48435","Sutton County, TX",69387
"cty31105","Kimball County, NE",69356
"cty48149","Fayette County, TX",69334
"cty31143","Polk County, NE",69265
"cty19005","Allamakee County, IA",69241
"cty39107","Mercer County, OH",69174
"cty08125","Yuma County, CO",69164
"cty48023","Baylor County, TX",69130
"cty17013","Calhoun County, IL",69035
"cty54093","Tucker County, WV",69020
"cty48087","Collingsworth County, TX",69002
"cty48109","Culberson County, TX",68951
"cty38093","Stutsman County, ND",68944
"cty40073","Kingfisher County, OK",68938
"cty46057","Hamlin County, SD",68938
"cty20023","Cheyenne County, KS",68808
"cty72015","Arroyo Municipio, PR",68785
"cty31139","Pierce County, NE",68759
"cty20141","Osborne County, KS",68726
"cty20039","Decatur County, KS",68701
"cty20207","Woodson County, KS",68666
"cty38099","Walsh County, ND",68626
"cty30025","Fallon County, MT",68619
"cty19159","Ringgold County, IA",68603
"cty46123","Tripp County, SD",68592
"cty19025","Calhoun County, IA",68586
"cty20065","Graham County, KS",68561
"cty31037","Colfax County, NE",68517
"cty20153","Rawlins County, KS",68469
"cty30021","Dawson County, MT",68460
"cty19043","Clayton County, IA",68460
"cty22093","St. James Parish, LA",68420
"cty46077","Kingsbury County, SD",68329
"cty56017","Hot Springs County, WY",68297
"cty48295","Lipscomb County, TX",68248
"cty31185","York County, NE",68236
"cty56031","Platte County, WY",68151
"cty20197","Wabaunsee County, KS",68142
"cty27129","Renville County, MN",68135
"cty38101","Ward County, ND",68104
"cty27033","Cottonwood County, MN",68077
"cty46105","Perkins County, SD",68064
"cty19075","Grundy County, IA",68062
"cty38003","Barnes County, ND",68024
"cty19165","Shelby County, IA",68021
"cty38063","Nelson County, ND",67991
"cty48125","Dickens County, TX",67983
"cty40011","Blaine County, OK",67977
"cty27165","Watonwan County, MN",67976
"cty27063","Jackson County, MN",67962
"cty48153","Floyd County, TX",67923
"cty72111","Penuelas Municipio, PR",67922
"cty18037","Dubois County, IN",67886
"cty27089","Marshall County, MN",67885
"cty40075","Kiowa County, OK",67868
"cty31057","Dundy County, NE",67858
"cty19067","Floyd County, IA",67856
"cty46023","Charles Mix County, SD",67815
"cty19035","Cherokee County, IA",67811
"cty27015","Brown County, MN",67791
"cty27143","Sibley County, MN",67782
"cty19055","Delaware County, IA",67772
"cty31081","Hamilton County, NE",67744
"cty27121","Pope County, MN",67725
"cty27105","Nobles County, MN",67617
"cty48447","Throckmorton County, TX",67614
"cty20071","Greeley County, KS",67595
"cty27117","Pipestone County, MN",67588
"cty20013","Brown County, KS",67550
"cty19073","Greene County, IA",67542
"cty19003","Adams County, IA",67515
"cty27083","Lyon County, MN",67463
"cty19189","Winnebago County, IA",67460
"cty56035","Sublette County, WY",67406
"cty30033","Garfield County, MT",67398
"cty20007","Barber County, KS",67391
"cty20123","Mitchell County, KS",67312
"cty19017","Bremer County, IA",67293
"cty20075","Hamilton County, KS",67292
"cty40063","Hughes County, OK",67276
"cty19065","Fayette County, IA",67249
"cty20167","Russell County, KS",67237
"cty41021","Gilliam County, OR",67226
"cty46119","Sully County, SD",67213
"cty19093","Ida County, IA",67197
"cty38015","Burleigh County, ND",67178
"cty56019","Johnson County, WY",67157
"cty30079","Prairie County, MT",67145
"cty40009","Beckham County, OK",67063
"cty49033","Rich County, UT",67008
"cty49013","Duchesne County, UT",67004
"cty38071","Ramsey County, ND",66976
"cty31151","Saline County, NE",66900
"cty31125","Nance County, NE",66897
"cty31173","Thurston County, NE",66867
"cty31097","Johnson County, NE",66824
"cty48175","Goliad County, TX",66822
"cty31067","Gage County, NE",66822
"cty31041","Custer County, NE",66815
"cty48115","Dawson County, TX",66810
"cty19143","Osceola County, IA",66797
"cty48495","Winkler County, TX",66768
"cty19061","Dubuque County, IA",66738
"cty48359","Oldham County, TX",66738
"cty48003","Andrews County, TX",66725
"cty29129","Mercer County, MO",66723
"cty31107","Knox County, NE",66715
"cty39137","Putnam County, OH",66707
"cty53043","Lincoln County, WA",66700
"cty27107","Norman County, MN",66698
"cty31133","Pawnee County, NE",66685
"cty48123","DeWitt County, TX",66670
"cty48475","Ward County, TX",66595
"cty55065","Lafayette County, WI",66572
"cty27029","Clearwater County, MN",66507
"cty20101","Lane County, KS",66495
"cty20171","Scott County, KS",66478
"cty31029","Chase County, NE",66474
"cty46109","Roberts County, SD",66433
"cty46009","Bon Homme County, SD",66415
"cty38041","Hettinger County, ND",66409
"cty22007","Assumption Parish, LA",66363
"cty40151","Woods County, OK",66315
"cty20193","Thomas County, KS",66310
"cty46079","Lake County, SD",66280
"cty19149","Plymouth County, IA",66280
"cty19191","Winneshiek County, IA",66277
"cty56009","Converse County, WY",66195
"cty27043","Faribault County, MN",66184
"cty31137","Phelps County, NE",66174
"cty49017","Garfield County, UT",66172
"cty29075","Gentry County, MO",66140
"cty46125","Turner County, SD",66133
"cty27097","Morrison County, MN",66117
"cty48417","Shackelford County, TX",66104
"cty49047","Uintah County, UT",66091
"cty48089","Colorado County, TX",66086
"cty27045","Fillmore County, MN",66017
"cty31141","Platte County, NE",65999
"cty27041","Douglas County, MN",65993
"cty19077","Guthrie County, IA",65950
"cty48369","Parmer County, TX",65924
"cty30065","Musselshell County, MT",65892
"cty27127","Redwood County, MN",65881
"cty46065","Hughes County, SD",65846
"cty19107","Keokuk County, IA",65840
"cty46035","Davison County, SD",65831
