"cty","Name","College_Graduation_Rate_rP_gP_p75"
"cty20199","Wallace County, KS",1
"cty30025","Fallon County, MT",1
"cty05129","Searcy County, AR",1
"cty48433","Stonewall County, TX",1
"cty20157","Republic County, KS",1
"cty31149","Rock County, NE",1
"cty35011","De Baca County, NM",1
"cty40059","Harper County, OK",0.9805
"cty38025","Dunn County, ND",0.9712
"cty40057","Harmon County, OK",0.9439
"cty48109","Culberson County, TX",0.8909
"cty31133","Pawnee County, NE",0.8859
"cty48169","Garza County, TX",0.8738
"cty20023","Cheyenne County, KS",0.8633
"cty48153","Floyd County, TX",0.8563
"cty46085","Lyman County, SD",0.8477
"cty46129","Walworth County, SD",0.8296
"cty08009","Baca County, CO",0.8289
"cty21053","Clinton County, KY",0.8199
"cty38005","Benson County, ND",0.8176
"cty46021","Campbell County, SD",0.7933
"cty38011","Bowman County, ND",0.7931
"cty40149","Washita County, OK",0.7854
"cty31071","Garfield County, NE",0.7842
"cty01105","Perry County, AL",0.776
"cty37177","Tyrrell County, NC",0.7637
"cty46069","Hyde County, SD",0.76
"cty08063","Kit Carson County, CO",0.7594
"cty28051","Holmes County, MS",0.7572
"cty46091","Marshall County, SD",0.7496
"cty31135","Perkins County, NE",0.7484
"cty05061","Howard County, AR",0.7481
"cty30099","Teton County, MT",0.7473
"cty08025","Crowley County, CO",0.7466
"cty48095","Concho County, TX",0.7414
"cty46055","Haakon County, SD",0.7411
"cty19007","Appanoose County, IA",0.7398
"cty13025","Brantley County, GA",0.7383
"cty48087","Collingsworth County, TX",0.7372
"cty46107","Potter County, SD",0.7359
"cty40043","Dewey County, OK",0.7349
"cty46059","Hand County, SD",0.7291
"cty46053","Gregory County, SD",0.7235
"cty48247","Jim Hogg County, TX",0.7208
"cty20195","Trego County, KS",0.7164
"cty48317","Martin County, TX",0.7115
"cty29227","Worth County, MO",0.71
"cty31003","Antelope County, NE",0.7082
"cty48489","Willacy County, TX",0.7059
"cty48437","Swisher County, TX",0.7044
"cty30015","Chouteau County, MT",0.7027
"cty54089","Summers County, WV",0.7014
"cty31169","Thayer County, NE",0.6955
"cty20201","Washington County, KS",0.6941
"cty08021","Conejos County, CO",0.6931
"cty56027","Niobrara County, WY",0.6908
"cty38009","Bottineau County, ND",0.689
"cty20097","Kiowa County, KS",0.6884
"cty20089","Jewell County, KS",0.6869
"cty41025","Harney County, OR",0.6851
"cty28021","Claiborne County, MS",0.6849
"cty21201","Robertson County, KY",0.6812
"cty35033","Mora County, NM",0.6768
"cty13283","Treutlen County, GA",0.6759
"cty48425","Somervell County, TX",0.6751
"cty20163","Rooks County, KS",0.6732
"cty20105","Lincoln County, KS",0.6663
"cty20185","Stafford County, KS",0.6643
"cty40129","Roger Mills County, OK",0.6632
"cty46015","Brule County, SD",0.6626
"cty48149","Fayette County, TX",0.6619
"cty37121","Mitchell County, NC",0.6617
"cty05117","Prairie County, AR",0.661
"cty40069","Johnston County, OK",0.6606
"cty28135","Tallahatchie County, MS",0.6602
"cty13109","Evans County, GA",0.6595
"cty46019","Butte County, SD",0.6586
"cty20039","Decatur County, KS",0.6562
"cty20141","Osborne County, KS",0.6559
"cty01063","Greene County, AL",0.6554
"cty48421","Sherman County, TX",0.6548
"cty54083","Randolph County, WV",0.6543
"cty46003","Aurora County, SD",0.6536
"cty35029","Luna County, NM",0.6518
"cty21033","Caldwell County, KY",0.6498
"cty19147","Palo Alto County, IA",0.6492
"cty28069","Kemper County, MS",0.6482
"cty31073","Gosper County, NE",0.6454
"cty54021","Gilmer County, WV",0.6453
"cty46123","Tripp County, SD",0.6422
"cty19165","Shelby County, IA",0.6394
"cty21109","Jackson County, KY",0.6383
"cty54015","Clay County, WV",0.6378
"cty31101","Keith County, NE",0.636
"cty21153","Magoffin County, KY",0.6356
"cty46025","Clark County, SD",0.6354
"cty30061","Mineral County, MT",0.6336
"cty37043","Clay County, NC",0.6332
"cty20171","Scott County, KS",0.6324
"cty46067","Hutchinson County, SD",0.6323
"cty20129","Morton County, KS",0.6318
"cty22107","Tensas Parish, LA",0.6307
"cty08051","Gunnison County, CO",0.63
"cty31015","Boyd County, NE",0.6299
"cty28125","Sharkey County, MS",0.6298
"cty13165","Jenkins County, GA",0.6276
"cty48047","Brooks County, TX",0.6275
"cty17071","Henderson County, IL",0.6273
"cty16081","Teton County, ID",0.6271
"cty20207","Woodson County, KS",0.6271
"cty35041","Roosevelt County, NM",0.6257
"cty21001","Adair County, KY",0.6246
"cty34003","Bergen County, NJ",0.6226
"cty45005","Allendale County, SC",0.6207
"cty20183","Smith County, KS",0.6204
