"cty","Name","College_Graduation_Rate_rP_gP_p75"
"cty22035","East Carroll Parish, LA",0.6198
"cty31061","Franklin County, NE",0.6189
"cty51147","Prince Edward County, VA",0.6182
"cty47027","Clay County, TN",0.6182
"cty19173","Taylor County, IA",0.6177
"cty31035","Clay County, NE",0.6173
"cty17169","Schuyler County, IL",0.6166
"cty05027","Columbia County, AR",0.6164
"cty36059","Nassau County, NY",0.6161
"cty20063","Gove County, KS",0.6161
"cty56039","Teton County, WY",0.6151
"cty54067","Nicholas County, WV",0.6151
"cty48445","Terry County, TX",0.614
"cty20151","Pratt County, KS",0.6135
"cty16085","Valley County, ID",0.6135
"cty46027","Clay County, SD",0.613
"cty48007","Aransas County, TX",0.6128
"cty30003","Big Horn County, MT",0.6115
"cty51045","Craig County, VA",0.6113
"cty13273","Terrell County, GA",0.6105
"cty05019","Clark County, AR",0.6104
"cty54041","Lewis County, WV",0.6103
"cty21013","Bell County, KY",0.6102
"cty28031","Covington County, MS",0.6098
"cty38053","McKenzie County, ND",0.6096
"cty34027","Morris County, NJ",0.6092
"cty20065","Graham County, KS",0.6092
"cty40045","Ellis County, OK",0.6089
"cty28101","Newton County, MS",0.6084
"cty42069","Lackawanna County, PA",0.6058
"cty54017","Doddridge County, WV",0.6057
"cty20193","Thomas County, KS",0.6056
"cty40055","Greer County, OK",0.6053
"cty17025","Clay County, IL",0.6045
"cty38003","Barnes County, ND",0.6033
"cty06075","San Francisco County, CA",0.6029
"cty48483","Wheeler County, TX",0.6021
"cty51610","Falls Church city, VA",0.6021
"cty54027","Hampshire County, WV",0.6014
"cty51520","Bristol city, VA",0.6013
"cty01027","Clay County, AL",0.6011
"cty08061","Kiowa County, CO",0.5994
"cty31063","Frontier County, NE",0.5992
"cty17013","Calhoun County, IL",0.5989
"cty31147","Richardson County, NE",0.5988
"cty38029","Emmons County, ND",0.5978
"cty40091","McIntosh County, OK",0.5973
"cty06041","Marin County, CA",0.5972
"cty08037","Eagle County, CO",0.5965
"cty31041","Custer County, NE",0.5962
"cty17187","Warren County, IL",0.5955
"cty40093","Major County, OK",0.5955
"cty01133","Winston County, AL",0.5953
"cty72127","San Juan Municipio, PR",0.5949
"cty29075","Gentry County, MO",0.5949
"cty26083","Keweenaw County, MI",0.5948
"cty31185","York County, NE",0.5945
"cty40039","Custer County, OK",0.5935
"cty46087","McCook County, SD",0.5935
"cty51059","Fairfax County, VA",0.593
"cty29079","Grundy County, MO",0.5928
"cty48295","Lipscomb County, TX",0.5926
"cty24031","Montgomery County, MD",0.5924
"cty48335","Mitchell County, TX",0.5912
"cty28023","Clarke County, MS",0.591
"cty08003","Alamosa County, CO",0.5907
"cty13191","McIntosh County, GA",0.5907
"cty36119","Westchester County, NY",0.5903
"cty28105","Oktibbeha County, MS",0.5903
"cty29229","Wright County, MO",0.5875
"cty19009","Audubon County, IA",0.5875
"cty25021","Norfolk County, MA",0.5871
"cty46125","Turner County, SD",0.5868
"cty20071","Greeley County, KS",0.5868
"cty51620","Franklin city, VA",0.5864
"cty21035","Calloway County, KY",0.5862
"cty19161","Sac County, IA",0.5859
"cty19021","Buena Vista County, IA",0.5856
"cty48399","Runnels County, TX",0.5855
"cty20011","Bourbon County, KS",0.5855
"cty44001","Bristol County, RI",0.5855
"cty49037","San Juan County, UT",0.5854
"cty38095","Towner County, ND",0.5854
"cty51167","Russell County, VA",0.5853
"cty30077","Powell County, MT",0.5843
"cty29005","Atchison County, MO",0.5843
"cty51750","Radford city, VA",0.5841
"cty33003","Carroll County, NH",0.5839
"cty30065","Musselshell County, MT",0.5838
"cty20153","Rawlins County, KS",0.5836
"cty48075","Childress County, TX",0.5834
"cty31049","Deuel County, NE",0.5832
"cty53023","Garfield County, WA",0.5826
"cty38085","Sioux County, ND",0.5824
"cty16049","Idaho County, ID",0.5822
"cty51077","Grayson County, VA",0.5818
"cty31161","Sheridan County, NE",0.5817
"cty31183","Wheeler County, NE",0.5816
"cty17109","McDonough County, IL",0.5815
"cty47071","Hardin County, TN",0.5811
"cty05057","Hempstead County, AR",0.5805
"cty31179","Wayne County, NE",0.5803
"cty24029","Kent County, MD",0.5802
"cty29117","Livingston County, MO",0.5797
"cty40011","Blaine County, OK",0.5794
"cty20085","Jackson County, KS",0.5794
"cty31173","Thurston County, NE",0.5793
"cty53075","Whitman County, WA",0.579
"cty34035","Somerset County, NJ",0.5785
"cty30067","Park County, MT",0.5782
"cty20029","Cloud County, KS",0.5779
"cty48115","Dawson County, TX",0.577
"cty31143","Polk County, NE",0.577
"cty42127","Wayne County, PA",0.5768
"cty28083","Leflore County, MS",0.5764
"cty20131","Nemaha County, KS",0.5759
"cty42053","Forest County, PA",0.5757
"cty29185","St. Clair County, MO",0.5754
"cty28131","Stone County, MS",0.5749
"cty31031","Cherry County, NE",0.5749
"cty17173","Shelby County, IL",0.5746
"cty54087","Roane County, WV",0.5741
"cty51141","Patrick County, VA",0.5739
"cty28157","Wilkinson County, MS",0.5738
"cty42021","Cambria County, PA",0.573
"cty36061","New York County, NY",0.5728
"cty54065","Morgan County, WV",0.5727
"cty51530","Buena Vista city, VA",0.5725
"cty39013","Belmont County, OH",0.5724
"cty31089","Holt County, NE",0.5724
"cty51735","Poquoson city, VA",0.5721
"cty16057","Latah County, ID",0.5714
"cty48165","Gaines County, TX",0.5712
"cty56019","Johnson County, WY",0.5709
"cty19003","Adams County, IA",0.5709
"cty37173","Swain County, NC",0.5708
"cty48195","Hansford County, TX",0.5708
"cty13271","Telfair County, GA",0.5703
"cty39107","Mercer County, OH",0.5703
"cty20167","Russell County, KS",0.5703
"cty21003","Allen County, KY",0.57
"cty13183","Long County, GA",0.5695
"cty31045","Dawes County, NE",0.5691
"cty29033","Carroll County, MO",0.5691
"cty20037","Crawford County, KS",0.5687
"cty38043","Kidder County, ND",0.5687
"cty19089","Howard County, IA",0.568
"cty54069","Ohio County, WV",0.568
"cty19073","Greene County, IA",0.5678
"cty42063","Indiana County, PA",0.5675
"cty19047","Crawford County, IA",0.5674
"cty40025","Cimarron County, OK",0.5673
"cty37189","Watauga County, NC",0.5667
"cty51510","Alexandria city, VA",0.5666
"cty30073","Pondera County, MT",0.5665
"cty40063","Hughes County, OK",0.5665
"cty48163","Frio County, TX",0.566
"cty48171","Gillespie County, TX",0.5656
"cty51173","Smyth County, VA",0.5654
"cty36081","Queens County, NY",0.5653
"cty51830","Williamsburg city, VA",0.5649
"cty54075","Pocahontas County, WV",0.5648
"cty12077","Liberty County, FL",0.5648
"cty19041","Clay County, IA",0.5648
"cty08109","Saguache County, CO",0.5648
"cty37007","Anson County, NC",0.5648
"cty20083","Hodgeman County, KS",0.5645
"cty25017","Middlesex County, MA",0.5644
"cty19143","Osceola County, IA",0.5644
"cty20119","Meade County, KS",0.5644
"cty48427","Starr County, TX",0.5639
"cty41037","Lake County, OR",0.5638
"cty54009","Brooke County, WV",0.5631
"cty50015","Lamoille County, VT",0.5626
"cty19191","Winneshiek County, IA",0.5625
"cty29007","Audrain County, MO",0.562
"cty20101","Lane County, KS",0.562
"cty12045","Gulf County, FL",0.5614
"cty48083","Coleman County, TX",0.5611
"cty37199","Yancey County, NC",0.561
"cty01091","Marengo County, AL",0.5609
"cty48369","Parmer County, TX",0.5605
"cty08107","Routt County, CO",0.5604
"cty36087","Rockland County, NY",0.5602
"cty13205","Mitchell County, GA",0.5602
"cty27069","Kittson County, MN",0.5599
"cty36001","Albany County, NY",0.5597
"cty20051","Ellis County, KS",0.5595
"cty24027","Howard County, MD",0.5592
"cty42003","Allegheny County, PA",0.5587
"cty01057","Fayette County, AL",0.558
"cty40065","Jackson County, OK",0.5574
"cty20027","Clay County, KS",0.5573
"cty46065","Hughes County, SD",0.5572
"cty36109","Tompkins County, NY",0.5572
"cty51067","Franklin County, VA",0.5567
"cty51013","Arlington County, VA",0.5565
"cty29041","Chariton County, MO",0.5563
"cty29135","Moniteau County, MO",0.5559
"cty36079","Putnam County, NY",0.5557
"cty42073","Lawrence County, PA",0.5557
"cty31087","Hitchcock County, NE",0.5555
"cty31095","Jefferson County, NE",0.5552
"cty51131","Northampton County, VA",0.5552
"cty08117","Summit County, CO",0.5548
"cty20161","Riley County, KS",0.5546
"cty54029","Hancock County, WV",0.5546
"cty30049","Lewis and Clark County, MT",0.5543
"cty42091","Montgomery County, PA",0.5543
"cty46009","Bon Homme County, SD",0.5543
"cty22027","Claiborne Parish, LA",0.5541
"cty01093","Marion County, AL",0.5539
"cty12067","Lafayette County, FL",0.5535
"cty05095","Monroe County, AR",0.5531
"cty31037","Colfax County, NE",0.5531
"cty29171","Putnam County, MO",0.5528
"cty30105","Valley County, MT",0.5528
"cty13189","McDuffie County, GA",0.5528
"cty42079","Luzerne County, PA",0.5527
"cty25001","Barnstable County, MA",0.5525
"cty48023","Baylor County, TX",0.5525
"cty31107","Knox County, NE",0.5524
"cty47041","DeKalb County, TN",0.5517
"cty29147","Nodaway County, MO",0.5517
"cty17065","Hamilton County, IL",0.5516
"cty54051","Marshall County, WV",0.5511
"cty39099","Mahoning County, OH",0.551
"cty38015","Burleigh County, ND",0.5508
"cty28117","Prentiss County, MS",0.5507
"cty29019","Boone County, MO",0.5506
"cty27081","Lincoln County, MN",0.5506
"cty20197","Wabaunsee County, KS",0.5506
"cty28143","Tunica County, MS",0.5505
"cty37175","Transylvania County, NC",0.5505
"cty05149","Yell County, AR",0.5504
"cty42111","Somerset County, PA",0.5502
"cty21217","Taylor County, KY",0.5499
"cty01131","Wilcox County, AL",0.5499
"cty13267","Tattnall County, GA",0.5498
"cty48287","Lee County, TX",0.5496
"cty56001","Albany County, WY",0.5494
"cty40153","Woodward County, OK",0.5493
"cty19151","Pocahontas County, IA",0.5493
"cty20099","Labette County, KS",0.5491
"cty19101","Jefferson County, IA",0.5491
"cty31077","Greeley County, NE",0.5487
"cty28095","Monroe County, MS",0.5481
"cty29195","Saline County, MO",0.548
"cty19029","Cass County, IA",0.5479
"cty51183","Sussex County, VA",0.5476
"cty19185","Wayne County, IA",0.5474
"cty31027","Cedar County, NE",0.5473
"cty19083","Hardin County, IA",0.5469
"cty31163","Sherman County, NE",0.5467
"cty31099","Kearney County, NE",0.5465
"cty31159","Seward County, NE",0.5464
"cty51117","Mecklenburg County, VA",0.5461
"cty51640","Galax city, VA",0.5461
"cty01123","Tallapoosa County, AL",0.546
"cty27043","Faribault County, MN",0.5458
"cty05075","Lawrence County, AR",0.5455
"cty36077","Otsego County, NY",0.5455
"cty28027","Coahoma County, MS",0.5452
"cty50027","Windsor County, VT",0.545
"cty31137","Phelps County, NE",0.545
"cty19141","O'Brien County, IA",0.5445
"cty31151","Saline County, NE",0.544
"cty02164","Lake and Peninsula Borough, AK",0.5439
"cty51775","Salem city, VA",0.5437
"cty54033","Harrison County, WV",0.5435
"cty12049","Hardee County, FL",0.5435
"cty27133","Rock County, MN",0.5431
"cty01085","Lowndes County, AL",0.5428
"cty51169","Scott County, VA",0.5426
"cty42129","Westmoreland County, PA",0.5424
"cty28151","Washington County, MS",0.5423
"cty38031","Foster County, ND",0.5418
"cty42045","Delaware County, PA",0.5415
"cty13293","Upson County, GA",0.5413
"cty17079","Jasper County, IL",0.5413
"cty46011","Brookings County, SD",0.541
"cty19039","Clarke County, IA",0.541
"cty01107","Pickens County, AL",0.5407
"cty19027","Carroll County, IA",0.5405
"cty20109","Logan County, KS",0.5405
"cty09001","Fairfield County, CT",0.5404
"cty05043","Drew County, AR",0.5402
"cty23005","Cumberland County, ME",0.54
"cty05021","Clay County, AR",0.54
"cty54049","Marion County, WV",0.5397
"cty40007","Beaver County, OK",0.5396
"cty54073","Pleasants County, WV",0.5394
"cty08091","Ouray County, CO",0.5394
"cty19169","Story County, IA",0.5394
"cty08121","Washington County, CO",0.5393
"cty36065","Oneida County, NY",0.5391
"cty19119","Lyon County, IA",0.5388
"cty17043","DuPage County, IL",0.5386
"cty47035","Cumberland County, TN",0.5386
"cty33009","Grafton County, NH",0.5385
"cty51678","Lexington city, VA",0.5383
"cty50007","Chittenden County, VT",0.5383
"cty34025","Monmouth County, NJ",0.538
"cty48093","Comanche County, TX",0.538
"cty12059","Holmes County, FL",0.538
"cty21021","Boyle County, KY",0.5375
"cty19065","Fayette County, IA",0.5374
"cty13259","Stewart County, GA",0.5373
"cty17145","Perry County, IL",0.5373
"cty05141","Van Buren County, AR",0.537
"cty36085","Richmond County, NY",0.5369
"cty40103","Noble County, OK",0.5368
"cty35013","Do±íáüna County, NM",0.5367
"cty29161","Phelps County, MO",0.5367
"cty51600","Fairfax city, VA",0.5365
"cty37011","Avery County, NC",0.5364
"cty51540","Charlottesville city, VA",0.5363
"cty27105","Nobles County, MN",0.5363
"cty30101","Toole County, MT",0.5359
"cty42125","Washington County, PA",0.5358
"cty54061","Monongalia County, WV",0.5358
"cty19081","Hancock County, IA",0.5356
"cty34023","Middlesex County, NJ",0.5354
"cty51121","Montgomery County, VA",0.5352
"cty54057","Mineral County, WV",0.5349
"cty28011","Bolivar County, MS",0.5347
"cty31069","Garden County, NE",0.5346
"cty21237","Wolfe County, KY",0.5345
"cty36007","Broome County, NY",0.5345
"cty25009","Essex County, MA",0.5343
"cty19103","Johnson County, IA",0.5343
"cty46077","Kingsbury County, SD",0.5342
"cty23007","Franklin County, ME",0.5341
"cty36029","Erie County, NY",0.5337
"cty29139","Montgomery County, MO",0.5337
"cty30093","Silver Bow County, MT",0.5335
"cty48143","Erath County, TX",0.5333
"cty37135","Orange County, NC",0.5333
"cty40123","Pontotoc County, OK",0.5332
"cty48107","Crosby County, TX",0.5331
"cty21155","Marion County, KY",0.533
"cty31033","Cheyenne County, NE",0.5329
"cty35023","Hidalgo County, NM",0.5328
"cty47019","Carter County, TN",0.5328
"cty34019","Hunterdon County, NJ",0.5326
"cty21115","Johnson County, KY",0.5326
"cty31105","Kimball County, NE",0.5325
"cty28107","Panola County, MS",0.5322
"cty20145","Pawnee County, KS",0.5317
"cty31129","Nuckolls County, NE",0.5315
"cty29153","Ozark County, MO",0.5315
"cty38001","Adams County, ND",0.5315
"cty38041","Hettinger County, ND",0.5313
"cty05017","Chicot County, AR",0.5311
"cty44009","Washington County, RI",0.531
"cty28067","Jones County, MS",0.5308
"cty36043","Herkimer County, NY",0.5308
"cty34017","Hudson County, NJ",0.5301
"cty37183","Wake County, NC",0.5299
"cty45067","Marion County, SC",0.5299
"cty48215","Hidalgo County, TX",0.5297
"cty42051","Fayette County, PA",0.5293
"cty54035","Jackson County, WV",0.5291
"cty34013","Essex County, NJ",0.529
"cty20127","Morris County, KS",0.529
"cty46029","Codington County, SD",0.5289
"cty19061","Dubuque County, IA",0.5287
"cty31065","Furnas County, NE",0.5287
"cty23027","Waldo County, ME",0.5285
"cty36113","Warren County, NY",0.5284
"cty21235","Whitley County, KY",0.5277
"cty35053","Socorro County, NM",0.5274
"cty54055","Mercer County, WV",0.5272
"cty28161","Yalobusha County, MS",0.5272
"cty42029","Chester County, PA",0.5271
"cty19109","Kossuth County, IA",0.5271
"cty13075","Cook County, GA",0.527
"cty29121","Macon County, MO",0.5268
"cty27129","Renville County, MN",0.5268
"cty28065","Jefferson Davis County, MS",0.5267
"cty34039","Union County, NJ",0.5266
"cty34031","Passaic County, NJ",0.5265
"cty29053","Cooper County, MO",0.5264
"cty20143","Ottawa County, KS",0.526
"cty38071","Ramsey County, ND",0.5259
"cty45049","Hampton County, SC",0.5259
"cty36103","Suffolk County, NY",0.5256
"cty48249","Jim Wells County, TX",0.5256
"cty51199","York County, VA",0.5256
"cty29217","Vernon County, MO",0.5254
"cty16065","Madison County, ID",0.5252
"cty08073","Lincoln County, CO",0.5248
"cty19145","Page County, IA",0.5246
"cty21071","Floyd County, KY",0.5242
"cty48441","Taylor County, TX",0.524
"cty48117","Deaf Smith County, TX",0.524
"cty16061","Lewis County, ID",0.5235
"cty50009","Essex County, VT",0.5232
"cty46037","Day County, SD",0.5231
"cty44005","Newport County, RI",0.5228
"cty30083","Richland County, MT",0.5227
"cty37005","Alleghany County, NC",0.5226
"cty19037","Chickasaw County, IA",0.5222
"cty28123","Scott County, MS",0.5221
"cty13281","Towns County, GA",0.5219
"cty30063","Missoula County, MT",0.5217
"cty06051","Mono County, CA",0.5217
"cty17171","Scott County, IL",0.5216
"cty20133","Neosho County, KS",0.5216
"cty19189","Winnebago County, IA",0.5216
"cty36111","Ulster County, NY",0.5214
"cty46035","Davison County, SD",0.5212
"cty46013","Brown County, SD",0.5211
"cty51025","Brunswick County, VA",0.5211
"cty36049","Lewis County, NY",0.5211
"cty40029","Coal County, OK",0.5207
"cty34037","Sussex County, NJ",0.5206
"cty54001","Barbour County, WV",0.5206
"cty31119","Madison County, NE",0.5202
"cty54063","Monroe County, WV",0.5202
"cty31051","Dixon County, NE",0.5202
"cty47185","White County, TN",0.5201
"cty27073","Lac qui Parle County, MN",0.5201
"cty36067","Onondaga County, NY",0.52
"cty25003","Berkshire County, MA",0.5199
"cty40105","Nowata County, OK",0.5197
"cty51660","Harrisonburg city, VA",0.5196
"cty19177","Van Buren County, IA",0.5195
"cty01111","Randolph County, AL",0.5194
"cty54097","Upshur County, WV",0.5192
"cty28015","Carroll County, MS",0.5191
"cty51095","James City County, VA",0.5191
"cty51083","Halifax County, VA",0.5191
"cty29215","Texas County, MO",0.519
"cty36091","Saratoga County, NY",0.5189
"cty08097","Pitkin County, CO",0.5188
"cty31123","Morrill County, NE",0.5187
"cty48323","Maverick County, TX",0.5185
"cty35051","Sierra County, NM",0.5185
"cty28053","Humphreys County, MS",0.5184
"cty47139","Polk County, TN",0.5183
"cty48405","San Augustine County, TX",0.5179
"cty19071","Fremont County, IA",0.5174
"cty21177","Muhlenberg County, KY",0.5174
"cty20007","Barber County, KS",0.5172
"cty48063","Camp County, TX",0.5171
"cty42085","Mercer County, PA",0.5171
"cty20091","Johnson County, KS",0.517
"cty17073","Henry County, IL",0.517
"cty48103","Crane County, TX",0.5169
"cty20123","Mitchell County, KS",0.5166
"cty48253","Jones County, TX",0.5165
"cty37099","Jackson County, NC",0.5164
"cty53043","Lincoln County, WA",0.5163
"cty33001","Belknap County, NH",0.5162
"cty09009","New Haven County, CT",0.5161
"cty19159","Ringgold County, IA",0.516
"cty20061","Geary County, KS",0.5157
"cty42049","Erie County, PA",0.5155
"cty37041","Chowan County, NC",0.5155
"cty48481","Wharton County, TX",0.5154
"cty47151","Scott County, TN",0.5154
"cty40119","Payne County, OK",0.5152
"cty42007","Beaver County, PA",0.5152
"cty51003","Albemarle County, VA",0.5151
"cty25025","Suffolk County, MA",0.515
"cty50021","Rutland County, VT",0.5148
"cty27015","Brown County, MN",0.5148
"cty51720","Norton city, VA",0.5148
"cty21121","Knox County, KY",0.5148
"cty13249","Schley County, GA",0.5147
"cty06049","Modoc County, CA",0.5146
"cty48043","Brewster County, TX",0.5146
"cty38021","Dickey County, ND",0.5145
"cty39161","Van Wert County, OH",0.5143
"cty22041","Franklin Parish, LA",0.5143
"cty26071","Iron County, MI",0.5142
"cty12013","Calhoun County, FL",0.5142
"cty05029","Conway County, AR",0.5141
"cty27103","Nicollet County, MN",0.5141
"cty20021","Cherokee County, KS",0.514
"cty28043","Grenada County, MS",0.514
"cty27113","Pennington County, MN",0.5136
"cty40047","Garfield County, OK",0.5134
"cty31145","Red Willow County, NE",0.5132
"cty13067","Cobb County, GA",0.5131
"cty25027","Worcester County, MA",0.5129
"cty56015","Goshen County, WY",0.5128
"cty31047","Dawson County, NE",0.5127
"cty50023","Washington County, VT",0.5126
"cty29151","Osage County, MO",0.5124
"cty36055","Monroe County, NY",0.5122
"cty17001","Adams County, IL",0.5122
"cty42023","Cameron County, PA",0.5121
"cty36069","Ontario County, NY",0.5121
"cty40151","Woods County, OK",0.512
"cty39157","Tuscarawas County, OH",0.512
"cty28049","Hinds County, MS",0.512
"cty55089","Ozaukee County, WI",0.5115
"cty48471","Walker County, TX",0.5114
"cty56003","Big Horn County, WY",0.5113
"cty12001","Alachua County, FL",0.5112
"cty48119","Delta County, TX",0.5111
"cty42107","Schuylkill County, PA",0.511
"cty30071","Phillips County, MT",0.5109
"cty28073","Lamar County, MS",0.5109
"cty48111","Dallam County, TX",0.5108
"cty36047","Kings County, NY",0.5107
"cty46045","Edmunds County, SD",0.5103
"cty13059","Clarke County, GA",0.5102
"cty29011","Barton County, MO",0.5102
"cty47039","Decatur County, TN",0.5102
"cty50003","Bennington County, VT",0.5101
"cty19131","Mitchell County, IA",0.5099
"cty22021","Caldwell Parish, LA",0.5099
"cty54081","Raleigh County, WV",0.5099
"cty02105","Hoonah-Angoon Census Area, AK",0.5099
"cty19025","Calhoun County, IA",0.5097
"cty42097","Northumberland County, PA",0.5095
"cty48077","Clay County, TX",0.5094
"cty27031","Cook County, MN",0.5093
"cty54085","Ritchie County, WV",0.5093
"cty26069","Iosco County, MI",0.5093
"cty47179","Washington County, TN",0.5092
"cty31057","Dundy County, NE",0.5092
"cty19133","Monona County, IA",0.5092
"cty22071","Orleans Parish, LA",0.5091
"cty48325","Medina County, TX",0.509
"cty30031","Gallatin County, MT",0.5089
"cty01015","Calhoun County, AL",0.5089
"cty05137","Stone County, AR",0.5089
"cty41049","Morrow County, OR",0.5084
"cty20045","Douglas County, KS",0.5082
"cty17019","Champaign County, IL",0.5081
"cty48157","Fort Bend County, TX",0.5081
"cty45079","Richland County, SC",0.508
"cty30027","Fergus County, MT",0.508
"cty48193","Hamilton County, TX",0.508
"cty41063","Wallowa County, OR",0.508
"cty29069","Dunklin County, MO",0.508
"cty53001","Adams County, WA",0.508
"cty25023","Plymouth County, MA",0.5079
"cty17125","Mason County, IL",0.5079
"cty42047","Elk County, PA",0.5077
"cty29051","Cole County, MO",0.5077
"cty25015","Hampshire County, MA",0.5076
"cty29031","Cape Girardeau County, MO",0.5076
"cty42017","Bucks County, PA",0.5075
"cty39175","Wyandot County, OH",0.5074
"cty29189","St. Louis County, MO",0.5073
"cty48487","Wilbarger County, TX",0.5073
"cty08013","Boulder County, CO",0.5072
"cty41003","Benton County, OR",0.5071
"cty39155","Trumbull County, OH",0.5069
"cty09007","Middlesex County, CT",0.5069
"cty01013","Butler County, AL",0.5069
"cty51021","Bland County, VA",0.5068
"cty48151","Fisher County, TX",0.5067
"cty48259","Kendall County, TX",0.5065
"cty36093","Schenectady County, NY",0.5065
"cty31081","Hamilton County, NE",0.5065
"cty48501","Yoakum County, TX",0.5064
"cty24019","Dorchester County, MD",0.506
"cty28127","Simpson County, MS",0.5059
"cty21067","Fayette County, KY",0.5057
"cty47025","Claiborne County, TN",0.5056
"cty22103","St. Tammany Parish, LA",0.5053
"cty30053","Lincoln County, MT",0.5052
"cty31083","Harlan County, NE",0.5052
"cty09003","Hartford County, CT",0.5051
"cty45013","Beaufort County, SC",0.5051
"cty17059","Gallatin County, IL",0.5051
"cty34009","Cape May County, NJ",0.5051
"cty39035","Cuyahoga County, OH",0.5049
"cty22033","East Baton Rouge Parish, LA",0.5049
"cty01077","Lauderdale County, AL",0.5049
"cty08125","Yuma County, CO",0.5049
"cty56013","Fremont County, WY",0.5048
"cty42083","McKean County, PA",0.5048
"cty19017","Bremer County, IA",0.5047
