"cty","Name","Household_Income_rP_gP_pall"
"cty29041","Chariton County, MO",50058
"cty51095","James City County, VA",50054
"cty08115","Sedgwick County, CO",50033
"cty42133","York County, PA",50025
"cty26099","Macomb County, MI",50022
"cty31117","McPherson County, NE",49963
"cty22093","St. James Parish, LA",49962
"cty20101","Lane County, KS",49958
"cty17149","Pike County, IL",49952
"cty31083","Harlan County, NE",49950
"cty29051","Cole County, MO",49939
"cty18159","Tipton County, IN",49929
"cty42059","Greene County, PA",49919
"cty17041","Douglas County, IL",49917
"cty55083","Oconto County, WI",49911
"cty31079","Hall County, NE",49891
"cty30093","Silver Bow County, MT",49881
"cty18087","LaGrange County, IN",49880
"cty26111","Midland County, MI",49868
"cty39085","Lake County, OH",49853
"cty49007","Carbon County, UT",49835
"cty08037","Eagle County, CO",49831
"cty17141","Ogle County, IL",49823
"cty48433","Stonewall County, TX",49808
"cty08061","Kiowa County, CO",49779
"cty17109","McDonough County, IL",49729
"cty42007","Beaver County, PA",49723
"cty36071","Orange County, NY",49703
"cty48039","Brazoria County, TX",49701
"cty30099","Teton County, MT",49700
"cty29005","Atchison County, MO",49696
"cty29189","St. Louis County, MO",49692
"cty30007","Broadwater County, MT",49690
"cty13117","Forsyth County, GA",49689
"cty34021","Mercer County, NJ",49689
"cty27095","Mille Lacs County, MN",49685
"cty49039","Sanpete County, UT",49669
"cty51041","Chesterfield County, VA",49668
"cty25001","Barnstable County, MA",49643
"cty36069","Ontario County, NY",49638
"cty17089","Kane County, IL",49634
"cty20161","Riley County, KS",49624
"cty49055","Wayne County, UT",49603
"cty55023","Crawford County, WI",49598
"cty30031","Gallatin County, MT",49580
"cty48491","Williamson County, TX",49572
"cty13219","Oconee County, GA",49569
"cty17053","Ford County, IL",49565
"cty08081","Moffat County, CO",49559
"cty39051","Fulton County, OH",49555
"cty17179","Tazewell County, IL",49554
"cty55075","Marinette County, WI",49540
"cty42069","Lackawanna County, PA",49530
"cty55127","Walworth County, WI",49518
"cty18051","Gibson County, IN",49509
"cty20013","Brown County, KS",49507
"cty54073","Pleasants County, WV",49499
"cty48199","Hardin County, TX",49490
"cty27071","Koochiching County, MN",49485
"cty39123","Ottawa County, OH",49470
"cty56043","Washakie County, WY",49460
"cty19051","Davis County, IA",49441
"cty48333","Mills County, TX",49428
"cty20115","Marion County, KS",49426
"cty26043","Dickinson County, MI",49413
"cty48015","Austin County, TX",49413
"cty19177","Van Buren County, IA",49409
"cty31123","Morrill County, NE",49403
"cty36121","Wyoming County, NY",49399
"cty48011","Armstrong County, TX",49397
"cty41003","Benton County, OR",49377
"cty48431","Sterling County, TX",49371
"cty02068","Denali Borough, AK",49370
"cty50023","Washington County, VT",49366
"cty55115","Shawano County, WI",49346
"cty48165","Gaines County, TX",49326
"cty17135","Montgomery County, IL",49290
"cty27065","Kanabec County, MN",49279
"cty31071","Garfield County, NE",49276
"cty26161","Washtenaw County, MI",49262
"cty27035","Crow Wing County, MN",49262
"cty21091","Hancock County, KY",49239
"cty26109","Menominee County, MI",49234
"cty36041","Hamilton County, NY",49224
"cty54061","Monongalia County, WV",49218
"cty18123","Perry County, IN",49216
"cty17099","LaSalle County, IL",49205
"cty26141","Presque Isle County, MI",49202
"cty19115","Louisa County, IA",49196
"cty40017","Canadian County, OK",49183
"cty53005","Benton County, WA",49178
"cty30051","Liberty County, MT",49163
"cty18081","Johnson County, IN",49151
"cty42107","Schuylkill County, PA",49134
"cty32015","Lander County, NV",49126
"cty30045","Judith Basin County, MT",49117
"cty55125","Vilas County, WI",49112
"cty24017","Charles County, MD",49104
"cty26103","Marquette County, MI",49075
"cty55085","Oneida County, WI",49063
"cty27115","Pine County, MN",49055
"cty36037","Genesee County, NY",49047
"cty08095","Phillips County, CO",49047
"cty16049","Idaho County, ID",49035
"cty31055","Douglas County, NE",49029
"cty20047","Edwards County, KS",48976
"cty46019","Butte County, SD",48974
"cty08121","Washington County, CO",48963
"cty16035","Clearwater County, ID",48962
"cty29047","Clay County, MO",48950
"cty53061","Snohomish County, WA",48932
"cty17015","Carroll County, IL",48915
"cty19139","Muscatine County, IA",48913
"cty30111","Yellowstone County, MT",48907
"cty48447","Throckmorton County, TX",48898
"cty08067","La Plata County, CO",48896
"cty22059","LaSalle Parish, LA",48895
"cty22057","Lafourche Parish, LA",48877
"cty20087","Jefferson County, KS",48852
"cty18047","Franklin County, IN",48851
"cty42079","Luzerne County, PA",48841
"cty33013","Merrimack County, NH",48840
"cty48237","Jack County, TX",48836
"cty25007","Dukes County, MA",48827
"cty32011","Eureka County, NV",48820
"cty17175","Stark County, IL",48808
"cty17083","Jersey County, IL",48804
"cty26053","Gogebic County, MI",48796
"cty30001","Beaverhead County, MT",48770
"cty21015","Boone County, KY",48765
"cty19039","Clarke County, IA",48744
"cty51570","Colonial Heights city, VA",48719
"cty30059","Meagher County, MT",48716
"cty17171","Scott County, IL",48710
"cty16023","Butte County, ID",48707
"cty36067","Onondaga County, NY",48706
"cty17009","Brown County, IL",48705
"cty41067","Washington County, OR",48703
"cty17023","Clark County, IL",48701
"cty51075","Goochland County, VA",48694
"cty08009","Baca County, CO",48685
"cty50027","Windsor County, VT",48683
"cty32027","Pershing County, NV",48671
"cty48317","Martin County, TX",48667
"cty19133","Monona County, IA",48661
"cty55107","Rusk County, WI",48660
"cty48179","Gray County, TX",48639
"cty39039","Defiance County, OH",48638
"cty42105","Potter County, PA",48624
"cty56007","Carbon County, WY",48599
"cty32013","Humboldt County, NV",48595
"cty20015","Butler County, KS",48586
"cty40153","Woodward County, OK",48575
"cty20097","Kiowa County, KS",48574
"cty32009","Esmeralda County, NV",48561
"cty41005","Clackamas County, OR",48554
"cty24005","Baltimore County, MD",48552
"cty42025","Carbon County, PA",48551
"cty13073","Columbia County, GA",48550
"cty55037","Florence County, WI",48549
"cty48289","Leon County, TX",48549
"cty49057","Weber County, UT",48547
"cty37183","Wake County, NC",48527
"cty13067","Cobb County, GA",48526
"cty39037","Darke County, OH",48506
"cty17001","Adams County, IL",48498
"cty16011","Bingham County, ID",48472
"cty20121","Miami County, KS",48467
"cty49021","Iron County, UT",48453
"cty26089","Leelanau County, MI",48452
"cty27007","Beltrami County, MN",48450
"cty17035","Cumberland County, IL",48446
"cty54051","Marshall County, WV",48445
"cty31031","Cherry County, NE",48443
"cty23005","Cumberland County, ME",48441
"cty17075","Iroquois County, IL",48415
"cty31183","Wheeler County, NE",48412
"cty16019","Bonneville County, ID",48399
"cty17107","Logan County, IL",48399
"cty29003","Andrew County, MO",48358
"cty20043","Doniphan County, KS",48354
"cty19185","Wayne County, IA",48351
"cty39063","Hancock County, OH",48350
"cty36055","Monroe County, NY",48331
"cty42099","Perry County, PA",48306
"cty48263","Kent County, TX",48301
"cty36049","Lewis County, NY",48300
"cty20079","Harvey County, KS",48298
"cty31157","Scotts Bluff County, NE",48287
"cty39125","Paulding County, OH",48284
"cty21037","Campbell County, KY",48283
"cty17117","Macoupin County, IL",48276
"cty19193","Woodbury County, IA",48264
"cty06097","Sonoma County, CA",48258
"cty39159","Union County, OH",48258
"cty51023","Botetourt County, VA",48257
"cty09011","New London County, CT",48244
"cty41023","Grant County, OR",48190
"cty51043","Clarke County, VA",48171
"cty06001","Alameda County, CA",48159
"cty08045","Garfield County, CO",48126
"cty42067","Juniata County, PA",48125
"cty48171","Gillespie County, TX",48099
"cty39149","Shelby County, OH",48088
"cty36113","Warren County, NY",48072
"cty49025","Kane County, UT",48067
"cty33009","Grafton County, NH",48066
"cty36065","Oneida County, NY",48064
"cty22005","Ascension Parish, LA",48062
"cty36051","Livingston County, NY",48056
"cty17139","Moultrie County, IL",48048
"cty40039","Custer County, OK",48043
"cty18125","Pike County, IN",48039
"cty06059","Orange County, CA",48034
"cty18183","Whitley County, IN",48032
"cty53017","Douglas County, WA",48025
"cty48135","Ector County, TX",48003
"cty34033","Salem County, NJ",48003
"cty42015","Bradford County, PA",48000
"cty18131","Pulaski County, IN",47992
"cty42111","Somerset County, PA",47983
"cty39013","Belmont County, OH",47979
"cty19057","Des Moines County, IA",47977
"cty54069","Ohio County, WV",47967
"cty36053","Madison County, NY",47963
"cty42065","Jefferson County, PA",47963
"cty33017","Strafford County, NH",47927
"cty48287","Lee County, TX",47926
"cty30049","Lewis and Clark County, MT",47915
"cty34031","Passaic County, NJ",47907
"cty20185","Stafford County, KS",47873
"cty26115","Monroe County, MI",47865
"cty39161","Van Wert County, OH",47864
"cty50013","Grand Isle County, VT",47857
"cty42037","Columbia County, PA",47857
"cty42109","Snyder County, PA",47856
"cty40009","Beckham County, OK",47830
"cty08015","Chaffee County, CO",47830
"cty06027","Inyo County, CA",47814
"cty48319","Mason County, TX",47798
"cty20159","Rice County, KS",47786
"cty17005","Bond County, IL",47784
"cty18171","Warren County, IN",47783
"cty29045","Clark County, MO",47755
"cty17059","Gallatin County, IL",47740
"cty17195","Whiteside County, IL",47717
"cty48091","Comal County, TX",47710
"cty04011","Greenlee County, AZ",47710
"cty18111","Newton County, IN",47708
"cty39109","Miami County, OH",47703
"cty55103","Richland County, WI",47700
"cty46093","Meade County, SD",47697
"cty39175","Wyandot County, OH",47696
"cty48415","Scurry County, TX",47691
"cty42055","Franklin County, PA",47682
"cty18031","Decatur County, IN",47675
"cty27057","Hubbard County, MN",47667
"cty18029","Dearborn County, IN",47657
"cty17193","White County, IL",47645
"cty51017","Bath County, VA",47635
"cty18033","DeKalb County, IN",47627
"cty37135","Orange County, NC",47620
"cty29063","DeKalb County, MO",47606
"cty30027","Fergus County, MT",47600
"cty15003","Honolulu County, HI",47594
"cty20207","Woodson County, KS",47588
"cty39045","Fairfield County, OH",47579
"cty42127","Wayne County, PA",47558
"cty56021","Laramie County, WY",47554
"cty17033","Crawford County, IL",47553
"cty50001","Addison County, VT",47540
"cty34009","Cape May County, NJ",47531
"cty20105","Lincoln County, KS",47490
"cty48365","Panola County, TX",47488
"cty19111","Lee County, IA",47484
"cty42117","Tioga County, PA",47476
"cty39111","Monroe County, OH",47475
"cty06055","Napa County, CA",47473
"cty26045","Eaton County, MI",47457
"cty06005","Amador County, CA",47456
"cty36111","Ulster County, NY",47437
"cty30079","Prairie County, MT",47433
"cty17019","Champaign County, IL",47431
"cty36109","Tompkins County, NY",47429
"cty39121","Noble County, OH",47418
"cty42097","Northumberland County, PA",47405
"cty49045","Tooele County, UT",47398
"cty40147","Washington County, OK",47395
"cty55081","Monroe County, WI",47388
"cty48477","Washington County, TX",47384
"cty20139","Osage County, KS",47382
"cty39157","Tuscarawas County, OH",47378
"cty47127","Moore County, TN",47376
"cty16031","Cassia County, ID",47363
"cty49053","Washington County, UT",47356
"cty17065","Hamilton County, IL",47352
"cty20045","Douglas County, KS",47345
"cty53001","Adams County, WA",47331
"cty39075","Holmes County, OH",47330
"cty23031","York County, ME",47312
"cty17159","Richland County, IL",47285
"cty18181","White County, IN",47274
"cty20111","Lyon County, KS",47271
"cty20041","Dickinson County, KS",47254
"cty41055","Sherman County, OR",47244
"cty42103","Pike County, PA",47233
"cty53073","Whatcom County, WA",47231
"cty42073","Lawrence County, PA",47227
"cty55101","Racine County, WI",47221
"cty33005","Cheshire County, NH",47215
"cty50021","Rutland County, VT",47207
"cty20005","Atchison County, KS",47205
"cty18015","Carroll County, IN",47204
"cty36021","Columbia County, NY",47204
"cty18099","Marshall County, IN",47203
"cty29037","Cass County, MO",47200
"cty32033","White Pine County, NV",47197
"cty36007","Broome County, NY",47181
"cty17007","Boone County, IL",47165
"cty29071","Franklin County, MO",47159
"cty48335","Mitchell County, TX",47154
"cty13135","Gwinnett County, GA",47147
"cty18085","Kosciusko County, IN",47135
"cty29049","Clinton County, MO",47123
"cty18083","Knox County, IN",47118
"cty55031","Douglas County, WI",47111
"cty40027","Cleveland County, OK",47098
"cty27031","Cook County, MN",47078
"cty19101","Jefferson County, IA",47052
"cty20003","Anderson County, KS",47049
"cty08119","Teller County, CO",47047
"cty08093","Park County, CO",47044
"cty48497","Wise County, TX",47027
"cty48239","Jackson County, TX",47019
"cty17047","Edwards County, IL",47019
"cty17021","Christian County, IL",47002
"cty40149","Washita County, OK",47000
"cty51145","Powhatan County, VA",46997
"cty42085","Mercer County, PA",46956
"cty48367","Parker County, TX",46947
"cty08073","Lincoln County, CO",46942
"cty06051","Mono County, CA",46941
"cty41037","Lake County, OR",46934
"cty26055","Grand Traverse County, MI",46927
"cty22007","Assumption Parish, LA",46917
"cty17161","Rock Island County, IL",46905
"cty29107","Lafayette County, MO",46888
"cty24041","Talbot County, MD",46857
"cty48077","Clay County, TX",46823
"cty32005","Douglas County, NV",46814
"cty48023","Baylor County, TX",46798
"cty21039","Carlisle County, KY",46791
"cty53007","Chelan County, WA",46787
"cty29087","Holt County, MO",46775
"cty26041","Delta County, MI",46769
"cty18043","Floyd County, IN",46744
"cty16001","Ada County, ID",46735
"cty39057","Greene County, OH",46731
"cty41063","Wallowa County, OR",46730
"cty36019","Clinton County, NY",46718
"cty53013","Columbia County, WA",46717
"cty20169","Saline County, KS",46716
"cty51177","Spotsylvania County, VA",46707
"cty51165","Rockingham County, VA",46698
"cty42033","Clearfield County, PA",46696
"cty18113","Noble County, IN",46690
"cty20077","Harper County, KS",46690
"cty25013","Hampden County, MA",46661
"cty17177","Stephenson County, IL",46661
"cty40103","Noble County, OK",46660
"cty46103","Pennington County, SD",46658
"cty42083","McKean County, PA",46655
"cty29031","Cape Girardeau County, MO",46653
"cty39169","Wayne County, OH",46651
"cty22103","St. Tammany Parish, LA",46638
"cty29033","Carroll County, MO",46629
"cty40119","Payne County, OK",46628
"cty44007","Providence County, RI",46623
"cty20103","Leavenworth County, KS",46618
"cty19007","Appanoose County, IA",46603
"cty29117","Livingston County, MO",46586
"cty16061","Lewis County, ID",46566
"cty40131","Rogers County, OK",46565
"cty25003","Berkshire County, MA",46555
"cty51157","Rappahannock County, VA",46555
"cty26131","Ontonagon County, MI",46552
"cty51019","Bedford County, VA",46549
"cty25011","Franklin County, MA",46543
"cty41049","Morrow County, OR",46539
"cty16013","Blaine County, ID",46535
"cty39171","Williams County, OH",46534
"cty36099","Seneca County, NY",46533
"cty26077","Kalamazoo County, MI",46524
"cty48297","Live Oak County, TX",46523
"cty16067","Minidoka County, ID",46515
"cty53029","Island County, WA",46494
"cty46109","Roberts County, SD",46484
"cty36077","Otsego County, NY",46481
"cty49019","Grand County, UT",46481
"cty30063","Missoula County, MT",46468
"cty40139","Texas County, OK",46464
"cty19053","Decatur County, IA",46463
"cty29205","Shelby County, MO",46454
"cty20073","Greenwood County, KS",46453
"cty42081","Lycoming County, PA",46437
"cty51127","New Kent County, VA",46435
"cty29219","Warren County, MO",46429
"cty48361","Orange County, TX",46423
"cty19179","Wapello County, IA",46409
"cty17191","Wayne County, IL",46404
"cty20127","Morris County, KS",46403
"cty06079","San Luis Obispo County, CA",46392
"cty16043","Fremont County, ID",46381
"cty36039","Greene County, NY",46375
"cty26005","Allegan County, MI",46361
"cty17137","Morgan County, IL",46355
"cty48493","Wilson County, TX",46355
"cty21059","Daviess County, KY",46340
"cty39147","Seneca County, OH",46335
"cty18139","Rush County, IN",46323
"cty29135","Moniteau County, MO",46319
"cty33007","Coos County, NH",46316
"cty26137","Otsego County, MI",46315
"cty51069","Frederick County, VA",46314
"cty31047","Dawson County, NE",46314
"cty26071","Iron County, MI",46309
"cty26081","Kent County, MI",46305
"cty08029","Delta County, CO",46305
"cty55003","Ashland County, WI",46301
"cty42061","Huntingdon County, PA",46296
"cty48057","Calhoun County, TX",46296
"cty21225","Union County, KY",46279
"cty08087","Morgan County, CO",46262
"cty36063","Niagara County, NY",46253
"cty42009","Bedford County, PA",46249
"cty53035","Kitsap County, WA",46245
"cty40087","McClain County, OK",46242
"cty48337","Montague County, TX",46230
"cty29137","Monroe County, MO",46229
"cty06113","Yolo County, CA",46224
"cty42053","Forest County, PA",46206
"cty18045","Fountain County, IN",46204
"cty31043","Dakota County, NE",46149
"cty42049","Erie County, PA",46140
"cty27087","Mahnomen County, MN",46133
"cty39017","Butler County, OH",46131
"cty55057","Juneau County, WI",46129
"cty42039","Crawford County, PA",46129
"cty20191","Sumner County, KS",46128
"cty34007","Camden County, NJ",46126
"cty30103","Treasure County, MT",46115
"cty19155","Pottawattamie County, IA",46112
"cty54095","Tyler County, WV",46111
"cty17169","Schuyler County, IL",46109
"cty26087","Lapeer County, MI",46108
"cty17119","Madison County, IL",46101
"cty48087","Collingsworth County, TX",46090
"cty48503","Young County, TX",46084
"cty53067","Thurston County, WA",46081
"cty13057","Cherokee County, GA",46081
"cty48371","Pecos County, TX",46079
"cty54049","Marion County, WV",46061
"cty18153","Sullivan County, IN",46059
"cty48059","Callahan County, TX",46055
"cty54079","Putnam County, WV",46047
"cty21117","Kenton County, KY",46040
"cty55041","Forest County, WI",46038
"cty35015","Eddy County, NM",46030
"cty08077","Mesa County, CO",46026
"cty18003","Allen County, IN",46025
"cty08021","Conejos County, CO",46025
"cty18027","Daviess County, IN",46014
"cty50011","Franklin County, VT",46010
"cty26047","Emmet County, MI",46010
"cty08123","Weld County, CO",46001
"cty54033","Harrison County, WV",46000
"cty06109","Tuolumne County, CA",45990
"cty33003","Carroll County, NH",45969
"cty36011","Cayuga County, NY",45968
"cty54093","Tucker County, WV",45955
"cty29111","Lewis County, MO",45930
"cty51121","Montgomery County, VA",45930
"cty55105","Rock County, WI",45914
"cty48219","Hockley County, TX",45911
"cty36101","Steuben County, NY",45907
"cty55007","Bayfield County, WI",45901
"cty48097","Cooke County, TX",45892
"cty53011","Clark County, WA",45887
"cty30013","Cascade County, MT",45880
"cty36043","Herkimer County, NY",45874
"cty26073","Isabella County, MI",45873
"cty31113","Logan County, NE",45868
"cty17025","Clay County, IL",45866
"cty06111","Ventura County, CA",45864
"cty18049","Fulton County, IN",45863
"cty06057","Nevada County, CA",45854
"cty36117","Wayne County, NY",45853
"cty31007","Banner County, NE",45851
"cty42035","Clinton County, PA",45849
"cty48051","Burleson County, TX",45828
"cty55053","Jackson County, WI",45816
"cty36107","Tioga County, NY",45807
"cty18061","Harrison County, IN",45797
"cty36095","Schoharie County, NY",45786
"cty42051","Fayette County, PA",45779
"cty20155","Reno County, KS",45772
"cty06035","Lassen County, CA",45761
"cty08047","Gilpin County, CO",45756
"cty16005","Bannock County, ID",45750
"cty20011","Bourbon County, KS",45750
"cty18151","Steuben County, IN",45749
"cty26017","Bay County, MI",45739
"cty54013","Calhoun County, WV",45726
"cty48221","Hood County, TX",45725
"cty18107","Montgomery County, IN",45714
"cty42115","Susquehanna County, PA",45707
"cty18005","Bartholomew County, IN",45704
"cty51510","Alexandria city, VA",45701
"cty17167","Sangamon County, IL",45699
"cty22113","Vermilion Parish, LA",45699
"cty42057","Fulton County, PA",45691
"cty33001","Belknap County, NH",45683
"cty42043","Dauphin County, PA",45670
"cty54103","Wetzel County, WV",45664
"cty17051","Fayette County, IL",45663
"cty26015","Barry County, MI",45656
"cty48255","Karnes County, TX",45655
"cty06049","Modoc County, CA",45649
"cty55129","Washburn County, WI",45648
"cty29177","Ray County, MO",45646
"cty21233","Webster County, KY",45636
"cty16033","Clark County, ID",45633
"cty39005","Ashland County, OH",45622
"cty22085","Sabine Parish, LA",45613
"cty18101","Martin County, IN",45610
"cty20133","Neosho County, KS",45601
"cty16077","Power County, ID",45595
"cty26067","Ionia County, MI",45593
"cty36025","Delaware County, NY",45582
"cty16069","Nez Perce County, ID",45581
"cty29001","Adair County, MO",45566
"cty51775","Salem city, VA",45551
"cty08033","Dolores County, CO",45550
"cty42013","Blair County, PA",45549
"cty53057","Skagit County, WA",45536
"cty26151","Sanilac County, MI",45535
"cty54077","Preston County, WV",45532
"cty17039","De Witt County, IL",45525
"cty51099","King George County, VA",45512
"cty30081","Ravalli County, MT",45505
"cty41061","Union County, OR",45483
"cty20177","Shawnee County, KS",45481
"cty29129","Mercer County, MO",45470
"cty17095","Knox County, IL",45465
"cty08049","Grand County, CO",45464
"cty55059","Kenosha County, WI",45439
"cty55067","Langlade County, WI",45432
"cty39067","Harrison County, OH",45423
"cty55077","Marquette County, WI",45423
"cty18121","Parke County, IN",45417
"cty22055","Lafayette Parish, LA",45404
"cty17091","Kankakee County, IL",45400
"cty17187","Warren County, IL",45399
"cty48143","Erath County, TX",45391
"cty36009","Cattaraugus County, NY",45389
"cty48137","Edwards County, TX",45388
"cty48341","Moore County, TX",45386
"cty29025","Caldwell County, MO",45374
"cty48089","Colorado County, TX",45361
"cty20059","Franklin County, KS",45356
"cty36081","Queens County, NY",45330
"cty26083","Keweenaw County, MI",45322
"cty06095","Solano County, CA",45309
"cty22109","Terrebonne Parish, LA",45308
"cty53051","Pend Oreille County, WA",45286
"cty16021","Boundary County, ID",45286
"cty29019","Boone County, MO",45283
"cty53025","Grant County, WA",45267
"cty42123","Warren County, PA",45261
"cty53063","Spokane County, WA",45258
"cty39025","Clermont County, OH",45255
"cty36023","Cortland County, NY",45250
"cty18069","Huntington County, IN",45244
"cty39143","Sandusky County, OH",45238
"cty29103","Knox County, MO",45213
"cty24023","Garrett County, MD",45203
"cty29113","Lincoln County, MO",45202
"cty40047","Garfield County, OK",45187
"cty47189","Wilson County, TN",45175
"cty08027","Custer County, CO",45172
"cty21149","McLean County, KY",45168
"cty55013","Burnett County, WI",45163
"cty48161","Freestone County, TX",45162
"cty30077","Powell County, MT",45151
"cty53055","San Juan County, WA",45149
"cty29099","Jefferson County, MO",45147
"cty09015","Windham County, CT",45141
"cty06091","Sierra County, CA",45137
"cty39133","Portage County, OH",45131
"cty40051","Grady County, OK",45130
"cty48043","Brewster County, TX",45127
"cty26091","Lenawee County, MI",45125
"cty17145","Perry County, IL",45112
"cty53065","Stevens County, WA",45111
"cty41009","Columbia County, OR",45103
"cty26147","St. Clair County, MI",45094
"cty36057","Montgomery County, NY",45084
"cty51840","Winchester city, VA",45081
"cty36089","St. Lawrence County, NY",45075
"cty16083","Twin Falls County, ID",45072
"cty29173","Ralls County, MO",45071
"cty18039","Elkhart County, IN",45070
"cty24043","Washington County, MD",45064
"cty18115","Ohio County, IN",45061
"cty17017","Cass County, IL",45060
"cty12109","St. Johns County, FL",45057
"cty22087","St. Bernard Parish, LA",45057
"cty20205","Wilson County, KS",45045
"cty49037","San Juan County, UT",45041
"cty16085","Valley County, ID",45038
"cty17125","Mason County, IL",45030
"cty50003","Bennington County, VT",45023
"cty50015","Lamoille County, VT",45008
"cty10003","New Castle County, DE",44982
"cty18133","Putnam County, IN",44981
"cty39043","Erie County, OH",44974
"cty48469","Victoria County, TX",44966
"cty30029","Flathead County, MT",44965
"cty48391","Refugio County, TX",44965
"cty16063","Lincoln County, ID",44951
"cty26057","Gratiot County, MI",44949
"cty51171","Shenandoah County, VA",44936
"cty18141","St. Joseph County, IN",44934
"cty48193","Hamilton County, TX",44931
"cty48105","Crockett County, TX",44900
"cty29115","Linn County, MO",44895
"cty24029","Kent County, MD",44891
"cty42089","Monroe County, PA",44875
"cty16055","Kootenai County, ID",44873
"cty29139","Montgomery County, MO",44867
"cty48123","DeWitt County, TX",44849
"cty16047","Gooding County, ID",44847
"cty18145","Shelby County, IN",44845
"cty54009","Brooke County, WV",44837
"cty36031","Essex County, NY",44813
"cty36075","Oswego County, NY",44810
"cty51087","Henrico County, VA",44804
"cty17057","Fulton County, IL",44800
"cty16053","Jerome County, ID",44795
"cty28073","Lamar County, MS",44792
"cty36015","Chemung County, NY",44789
"cty46031","Corson County, SD",44788
"cty18071","Jackson County, IN",44774
"cty30023","Deer Lodge County, MT",44768
"cty39151","Stark County, OH",44746
"cty55137","Waushara County, WI",44737
"cty21179","Nelson County, KY",44735
"cty39167","Washington County, OH",44726
"cty21007","Ballard County, KY",44715
"cty48139","Ellis County, TX",44693
"cty53053","Pierce County, WA",44675
"cty53049","Pacific County, WA",44661
"cty39019","Carroll County, OH",44658
"cty40137","Stephens County, OK",44655
"cty30067","Park County, MT",44645
"cty17061","Greene County, IL",44644
"cty48209","Hays County, TX",44614
"cty39061","Hamilton County, OH",44609
"cty48151","Fisher County, TX",44608
"cty22075","Plaquemines Parish, LA",44596
"cty51015","Augusta County, VA",44589
"cty22063","Livingston Parish, LA",44588
"cty12117","Seminole County, FL",44586
"cty51031","Campbell County, VA",44574
"cty26065","Ingham County, MI",44573
"cty54097","Upshur County, WV",44570
"cty17143","Peoria County, IL",44561
"cty48167","Galveston County, TX",44559
"cty24015","Cecil County, MD",44547
"cty39083","Knox County, OH",44546
"cty36013","Chautauqua County, NY",44543
"cty48227","Howard County, TX",44512
"cty18169","Wabash County, IN",44505
"cty20035","Cowley County, KS",44493
"cty51005","Alleghany County, VA",44491
"cty21055","Crittenden County, KY",44488
"cty50005","Caledonia County, VT",44481
"cty47165","Sumner County, TN",44472
"cty29163","Pike County, MO",44460
"cty37059","Davie County, NC",44450
"cty35025","Lea County, NM",44433
"cty20019","Chautauqua County, KS",44418
"cty17029","Coles County, IL",44417
"cty08041","El Paso County, CO",44416
"cty30053","Lincoln County, MT",44416
"cty46095","Mellette County, SD",44410
"cty46071","Jackson County, SD",44397
"cty27021","Cass County, MN",44385
"cty12085","Martin County, FL",44369
"cty26155","Shiawassee County, MI",44356
"cty20037","Crawford County, KS",44342
"cty51810","Virginia Beach city, VA",44340
"cty21229","Washington County, KY",44297
"cty06011","Colusa County, CA",44294
"cty36115","Washington County, NY",44293
"cty02100","Haines Borough, AK",44281
"cty16017","Bonner County, ID",44276
"cty18021","Clay County, IN",44261
"cty41053","Polk County, OR",44250
"cty26003","Alger County, MI",44247
"cty51115","Mathews County, VA",44243
"cty36045","Jefferson County, NY",44240
"cty39091","Logan County, OH",44237
"cty39077","Huron County, OH",44233
"cty17181","Union County, IL",44213
"cty50019","Orleans County, VT",44190
"cty48321","Matagorda County, TX",44181
"cty30041","Hill County, MT",44180
"cty26007","Alpena County, MI",44173
"cty54029","Hancock County, WV",44168
"cty36123","Yates County, NY",44167
"cty17045","Edgar County, IL",44160
"cty06009","Calaveras County, CA",44152
"cty23011","Kennebec County, ME",44150
"cty17165","Saline County, IL",44149
"cty53059","Skamania County, WA",44144
"cty20099","Labette County, KS",44139
"cty18163","Vanderburgh County, IN",44136
"cty08007","Archuleta County, CO",44115
"cty48207","Haskell County, TX",44106
"cty42087","Mifflin County, PA",44096
"cty21177","Muhlenberg County, KY",44075
"cty29121","Macon County, MO",44069
"cty51091","Highland County, VA",44066
"cty29227","Worth County, MO",44058
"cty20093","Kearny County, KS",44053
"cty39153","Summit County, OH",44043
"cty06083","Santa Barbara County, CA",44042
"cty51027","Buchanan County, VA",44036
"cty37189","Watauga County, NC",44033
"cty51660","Harrisonburg city, VA",44027
"cty51101","King William County, VA",44011
"cty21157","Marshall County, KY",44010
"cty26157","Tuscola County, MI",43999
"cty39003","Allen County, OH",43999
"cty30085","Roosevelt County, MT",43986
"cty06063","Plumas County, CA",43985
"cty21155","Marion County, KY",43985
"cty29073","Gasconade County, MO",43981
"cty42023","Cameron County, PA",43981
"cty42121","Venango County, PA",43979
"cty39099","Mahoning County, OH",43977
"cty48331","Milam County, TX",43971
"cty15007","Kauai County, HI",43969
"cty51073","Gloucester County, VA",43963
"cty20107","Linn County, KS",43960
"cty40099","Murray County, OK",43951
"cty18109","Morgan County, IN",43949
"cty26011","Arenac County, MI",43945
"cty29053","Cooper County, MO",43934
"cty17069","Hardin County, IL",43931
"cty29101","Johnson County, MO",43929
"cty17115","Macon County, IL",43927
"cty31173","Thurston County, NE",43907
"cty53031","Jefferson County, WA",43899
"cty18077","Jefferson County, IN",43892
"cty16045","Gem County, ID",43880
"cty48417","Shackelford County, TX",43874
"cty40071","Kay County, OK",43873
"cty18017","Cass County, IN",43868
"cty48251","Johnson County, TX",43846
"cty18105","Monroe County, IN",43835
