"cty","Name","Household_Income_rP_gP_pall"
"cty20179","Sheridan County, KS",58052
"cty38047","Logan County, ND",58038
"cty08035","Douglas County, CO",58011
"cty40053","Grant County, OK",58003
"cty31137","Phelps County, NE",57962
"cty46125","Turner County, SD",57940
"cty31065","Furnas County, NE",57933
"cty46079","Lake County, SD",57927
"cty19165","Shelby County, IA",57922
"cty49033","Rich County, UT",57920
"cty55091","Pepin County, WI",57914
"cty46083","Lincoln County, SD",57880
"cty17013","Calhoun County, IL",57872
"cty27117","Pipestone County, MN",57848
"cty27083","Lyon County, MN",57845
"cty38101","Ward County, ND",57837
"cty38017","Cass County, ND",57814
"cty27041","Douglas County, MN",57812
"cty27073","Lac qui Parle County, MN",57807
"cty20195","Trego County, KS",57805
"cty31081","Hamilton County, NE",57790
"cty55109","St. Croix County, WI",57757
"cty38093","Stutsman County, ND",57741
"cty46051","Grant County, SD",57722
"cty31141","Platte County, NE",57716
"cty46011","Brookings County, SD",57705
"cty49047","Uintah County, UT",57700
"cty17027","Clinton County, IL",57659
"cty38003","Barnes County, ND",57659
"cty46089","McPherson County, SD",57615
"cty31171","Thomas County, NE",57607
"cty27079","Le Sueur County, MN",57606
"cty27045","Fillmore County, MN",57570
"cty17203","Woodford County, IL",57527
"cty24031","Montgomery County, MD",57519
"cty46003","Aurora County, SD",57457
"cty31023","Butler County, NE",57395
"cty27157","Wabasha County, MN",57393
"cty19095","Iowa County, IA",57382
"cty42017","Bucks County, PA",57376
"cty49031","Piute County, UT",57302
"cty19189","Winnebago County, IA",57258
"cty20193","Thomas County, KS",57249
"cty19031","Cedar County, IA",57246
"cty02230","Skagway Municipality, AK",57181
"cty20051","Ellis County, KS",57171
"cty27151","Swift County, MN",57166
"cty46057","Hamlin County, SD",57157
"cty27093","Meeker County, MN",57107
"cty36119","Westchester County, NY",57101
"cty20039","Decatur County, KS",57073
"cty19043","Clayton County, IA",57041
"cty09013","Tolland County, CT",57024
"cty56009","Converse County, WY",56993
"cty31181","Webster County, NE",56941
"cty19093","Ida County, IA",56925
"cty27103","Nicollet County, MN",56905
"cty19083","Hardin County, IA",56890
"cty27109","Olmsted County, MN",56886
"cty31107","Knox County, NE",56880
"cty48295","Lipscomb County, TX",56880
"cty56017","Hot Springs County, WY",56873
"cty27067","Kandiyohi County, MN",56867
"cty31185","York County, NE",56857
"cty19019","Buchanan County, IA",56844
"cty38039","Griggs County, ND",56805
"cty31013","Box Butte County, NE",56780
"cty34023","Middlesex County, NJ",56756
"cty19105","Jones County, IA",56751
"cty27063","Jackson County, MN",56746
"cty46127","Union County, SD",56729
"cty48285","Lavaca County, TX",56696
"cty48033","Borden County, TX",56626
"cty56031","Platte County, WY",56625
"cty31029","Chase County, NE",56624
"cty38099","Walsh County, ND",56621
"cty48393","Roberts County, TX",56603
"cty20117","Marshall County, KS",56584
"cty19143","Osceola County, IA",56542
"cty27147","Steele County, MN",56522
"cty46115","Spink County, SD",56520
"cty31089","Holt County, NE",56507
"cty36085","Richmond County, NY",56457
"cty56023","Lincoln County, WY",56452
"cty27171","Wright County, MN",56420
"cty06041","Marin County, CA",56418
"cty20187","Stanton County, KS",56403
"cty17111","McHenry County, IL",56326
"cty31095","Jefferson County, NE",56283
"cty27027","Clay County, MN",56215
"cty51735","Poquoson city, VA",56161
"cty46111","Sanborn County, SD",56133
"cty53043","Lincoln County, WA",56117
"cty19049","Dallas County, IA",56088
"cty19081","Hancock County, IA",56077
"cty27113","Pennington County, MN",56071
"cty19005","Allamakee County, IA",56046
"cty46069","Hyde County, SD",56040
"cty25019","Nantucket County, MA",56014
"cty46013","Brown County, SD",56012
"cty30043","Jefferson County, MT",56007
"cty46053","Gregory County, SD",55961
"cty19157","Poweshiek County, IA",55953
"cty27051","Grant County, MN",55953
"cty19125","Marion County, IA",55952
"cty20053","Ellsworth County, KS",55948
"cty55087","Outagamie County, WI",55938
"cty27055","Houston County, MN",55869
"cty19059","Dickinson County, IA",55865
"cty20123","Mitchell County, KS",55841
"cty49027","Millard County, UT",55813
"cty38035","Grand Forks County, ND",55808
"cty31041","Custer County, NE",55788
"cty46105","Perkins County, SD",55739
"cty56037","Sweetwater County, WY",55730
"cty24013","Carroll County, MD",55721
